"year","fips","state","county","bedrooms","rent"
"2006",1500999999,15,9,0,969
"2006",1600199999,16,1,0,520
"2006",1600399999,16,3,0,425
"2006",1600599999,16,5,0,380
"2006",1600799999,16,7,0,375
"2006",1600999999,16,9,0,500
"2006",1601199999,16,11,0,380
"2006",1601399999,16,13,0,781
"2006",1601599999,16,15,0,520
"2006",1601799999,16,17,0,486
"2006",1601999999,16,19,0,424
"2006",1602199999,16,21,0,500
"2006",1602399999,16,23,0,409
"2006",1602599999,16,25,0,454
"2006",1602799999,16,27,0,520
"2006",1602999999,16,29,0,375
"2006",1603199999,16,31,0,454
"2006",1603399999,16,33,0,409
"2006",1603599999,16,35,0,430
"2006",1603799999,16,37,0,409
"2006",1603999999,16,39,0,384
"2006",1604199999,16,41,0,470
"2006",1604399999,16,43,0,409
"2006",1604599999,16,45,0,428
"2006",1604799999,16,47,0,454
"2006",1604999999,16,49,0,411
"2006",1605199999,16,51,0,424
"2006",1605399999,16,53,0,454
"2006",1605599999,16,55,0,509
"2006",1605799999,16,57,0,431
"2006",1605999999,16,59,0,409
"2006",1606199999,16,61,0,430
"2006",1606399999,16,63,0,454
"2006",1606599999,16,65,0,418
"2006",1606799999,16,67,0,347
"2006",1606999999,16,69,0,449
"2006",1607199999,16,71,0,375
"2006",1607399999,16,73,0,520
"2006",1607599999,16,75,0,389
"2006",1607799999,16,77,0,380
"2006",1607999999,16,79,0,432
"2006",1608199999,16,81,0,409
"2006",1608399999,16,83,0,412
"2006",1608599999,16,85,0,425
"2006",1608799999,16,87,0,425
"2006",1700199999,17,1,0,342
"2006",1700399999,17,3,0,436
"2006",1700599999,17,5,0,361
"2006",1700799999,17,7,0,449
"2006",1700999999,17,9,0,340
"2006",1701199999,17,11,0,373
"2006",1701399999,17,13,0,513
"2006",1701599999,17,15,0,392
"2006",1701799999,17,17,0,396
"2006",1701999999,17,19,0,458
"2006",1702199999,17,21,0,343
"2006",1702399999,17,23,0,340
"2006",1702599999,17,25,0,362
"2006",1702799999,17,27,0,513
"2006",1702999999,17,29,0,362
"2006",1703199999,17,31,0,701
"2006",1703399999,17,33,0,343
"2006",1703599999,17,35,0,356
"2006",1703799999,17,37,0,536
"2006",1703999999,17,39,0,421
"2006",1704199999,17,41,0,344
"2006",1704399999,17,43,0,701
"2006",1704599999,17,45,0,342
"2006",1704799999,17,47,0,436
"2006",1704999999,17,49,0,458
"2006",1705199999,17,51,0,436
"2006",1705399999,17,53,0,458
"2006",1705599999,17,55,0,339
"2006",1705799999,17,57,0,353
"2006",1705999999,17,59,0,436
"2006",1706199999,17,61,0,359
"2006",1706399999,17,63,0,527
"2006",1706599999,17,65,0,436
"2006",1706799999,17,67,0,416
"2006",1706999999,17,69,0,436
"2006",1707199999,17,71,0,349
"2006",1707399999,17,73,0,436
"2006",1707599999,17,75,0,365
"2006",1707799999,17,77,0,352
"2006",1707999999,17,79,0,362
"2006",1708199999,17,81,0,453
"2006",1708399999,17,83,0,513
"2006",1708599999,17,85,0,435
"2006",1708799999,17,87,0,436
"2006",1708999999,17,89,0,701
"2006",1709199999,17,91,0,498
"2006",1709399999,17,93,0,701
"2006",1709599999,17,95,0,355
"2006",1709799999,17,97,0,701
"2006",1709999999,17,99,0,415
"2006",1710199999,17,101,0,341
"2006",1710399999,17,103,0,362
"2006",1710599999,17,105,0,384
"2006",1710799999,17,107,0,440
"2006",1710999999,17,109,0,347
"2006",1711199999,17,111,0,701
"2006",1711399999,17,113,0,467
"2006",1711599999,17,115,0,371
"2006",1711799999,17,117,0,426
"2006",1711999999,17,119,0,513
"2006",1712199999,17,121,0,434
"2006",1712399999,17,123,0,426
"2006",1712599999,17,125,0,340
"2006",1712799999,17,127,0,437
"2006",1712999999,17,129,0,402
"2006",1713199999,17,131,0,436
"2006",1713399999,17,133,0,513
"2006",1713599999,17,135,0,436
"2006",1713799999,17,137,0,375
"2006",1713999999,17,139,0,346
"2006",1714199999,17,141,0,425
"2006",1714399999,17,143,0,426
"2006",1714599999,17,145,0,340
"2006",1714799999,17,147,0,458
"2006",1714999999,17,149,0,340
"2006",1715199999,17,151,0,436
"2006",1715399999,17,153,0,436
"2006",1715599999,17,155,0,351
"2006",1715799999,17,157,0,341
"2006",1715999999,17,159,0,363
"2006",1716199999,17,161,0,436
"2006",1716399999,17,163,0,513
"2006",1716599999,17,165,0,341
"2006",1716799999,17,167,0,402
"2006",1716999999,17,169,0,340
"2006",1717199999,17,171,0,359
"2006",1717399999,17,173,0,434
"2006",1717599999,17,175,0,426
"2006",1717799999,17,177,0,386
"2006",1717999999,17,179,0,426
"2006",1718199999,17,181,0,436
