MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
10000,5,93,453,312,338,597,670,AR,Mississippi,57525,40,,ARKANSAS,500093
10000,5,95,418,279,326,554,619,AR,Monroe,11333,40,,ARKANSAS,500095
10000,5,97,418,275,326,554,619,AR,Montgomery,7841,40,,ARKANSAS,500097
10000,5,99,418,275,326,572,619,AR,Nevada,10101,40,,ARKANSAS,500099
10000,5,101,418,275,326,554,619,AR,Newton,7666,40,,ARKANSAS,500101
10000,5,103,418,320,326,577,680,AR,Ouachita,30574,40,,ARKANSAS,500103
10000,5,105,418,275,326,554,619,AR,Perry,7969,40,,ARKANSAS,500105
10000,5,107,418,275,326,554,619,AR,Phillips,28838,40,,ARKANSAS,500107
10000,5,109,418,275,326,554,619,AR,Pike,10086,40,,ARKANSAS,500109
10000,5,111,418,275,326,554,619,AR,Poinsett,24664,40,,ARKANSAS,500111
10000,5,113,418,275,326,554,619,AR,Polk,17347,40,,ARKANSAS,500113
10000,5,115,452,273,357,626,722,AR,Pope,45883,40,,ARKANSAS,500115
10000,5,117,418,275,326,554,619,AR,Prairie,9518,40,,ARKANSAS,500117
10000,5,121,418,275,326,554,619,AR,Randolph,16558,40,,ARKANSAS,500121
10000,5,123,418,275,333,565,665,AR,St. Francis,28497,40,,ARKANSAS,500123
10000,5,127,418,275,326,554,619,AR,Scott,10205,40,,ARKANSAS,500127
10000,5,129,418,275,326,554,619,AR,Searcy,7841,40,,ARKANSAS,500129
10000,5,133,418,300,326,554,619,AR,Sevier,13637,40,,ARKANSAS,500133
10000,5,135,418,275,326,554,619,AR,Sharp,14109,40,,ARKANSAS,500135
10000,5,137,418,275,326,554,619,AR,Stone,9775,40,,ARKANSAS,500137
10000,5,139,447,351,371,599,733,AR,Union,46719,40,,ARKANSAS,500139
10000,5,141,418,275,326,554,683,AR,Van Buren,14008,40,,ARKANSAS,500141
10000,5,145,418,275,326,572,619,AR,White,54676,40,,ARKANSAS,500145
10000,5,147,418,275,326,554,619,AR,Woodruff,9520,40,,ARKANSAS,500147
10000,5,149,418,285,326,554,619,AR,Yell,17759,40,,ARKANSAS,500149
680,6,29,607,430,484,844,934,CA,Kern,543477,40,"Bakersfield, CA",CALIFORNIA,680
1620,6,7,664,388,499,910,1089,CA,Butte,182120,40,"Chico-Paradise, CA",CALIFORNIA,1620
2840,6,19,608,455,509,846,976,CA,Fresno,667490,40,"Fresno, CA",CALIFORNIA,2840
2840,6,39,608,455,509,846,976,CA,Madera,88090,40,"Fresno, CA",CALIFORNIA,2840
4480,6,37,1037,684,819,1399,1671,CA,Los Angeles,8863164,40,"Los Angeles-Long Beach, CA",CALIFORNIA,4480
4940,6,47,638,466,526,882,1041,CA,Merced,178403,40,"Merced, CA",CALIFORNIA,4940
5170,6,99,729,555,597,1016,1197,CA,Stanislaus,370522,40,"Modesto, CA",CALIFORNIA,5170
5775,6,1,1374,905,1095,1883,2249,CA,Alameda,1279182,50,"Oakland, CA",CALIFORNIA,5775
5775,6,13,1374,905,1095,1883,2249,CA,Contra Costa,803732,50,"Oakland, CA",CALIFORNIA,5775
5945,6,59,1155,855,934,1607,1788,CA,Orange,2410556,50,"Orange County, CA",CALIFORNIA,5945
