State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
8,NCNTY08071N08071,"Las Animas County, CO",407,555,625,793,818,CO,15207
8,NCNTY08073N08073,"Lincoln County, CO",476,477,574,765,886,CO,6087
8,NCNTY08075N08075,"Logan County, CO",455,457,575,829,856,CO,20504
8,NCNTY08079N08079,"Mineral County, CO",723,875,1110,1553,1946,CO,831
8,NCNTY08081N08081,"Moffat County, CO",516,582,728,1004,1247,CO,13184
8,NCNTY08083N08083,"Montezuma County, CO",460,546,627,772,967,CO,23830
8,NCNTY08085N08085,"Montrose County, CO",444,598,682,940,1187,CO,33432
8,NCNTY08087N08087,"Morgan County, CO",519,546,627,813,949,CO,27171
8,NCNTY08089N08089,"Otero County, CO",421,460,555,812,884,CO,20311
8,NCNTY08091N08091,"Ouray County, CO",723,875,1110,1553,1946,CO,3742
8,NCNTY08095N08095,"Phillips County, CO",476,477,574,765,886,CO,4480
8,NCNTY08097N08097,"Pitkin County, CO",1009,1178,1550,2086,2722,CO,14872
8,NCNTY08099N08099,"Prowers County, CO",409,498,555,754,973,CO,14483
8,NCNTY08103N08103,"Rio Blanco County, CO",654,733,814,1105,1374,CO,5986
8,NCNTY08105N08105,"Rio Grande County, CO",410,498,555,779,852,CO,12413
8,NCNTY08107N08107,"Routt County, CO",698,838,1074,1331,1886,CO,19690
8,NCNTY08109N08109,"Saguache County, CO",406,494,555,766,844,CO,5917
8,NCNTY08111N08111,"San Juan County, CO",519,649,744,988,1226,CO,558
8,NCNTY08113N08113,"San Miguel County, CO",745,942,1141,1664,1713,CO,6594
8,NCNTY08115N08115,"Sedgwick County, CO",476,477,574,765,886,CO,2747
8,NCNTY08117N08117,"Summit County, CO",794,926,1220,1746,2142,CO,23548
8,NCNTY08121N08121,"Washington County, CO",476,477,574,765,886,CO,4926
8,NCNTY08125N08125,"Yuma County, CO",476,477,574,765,886,CO,9841
9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",826,1036,1257,1502,1826,CT,345708
9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",1000,1238,1526,1879,2257,CT,183303
9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1172,1417,1801,2374,3085,CT,353556
