State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
5,NCNTY05061N05061,"Howard County, AR",327,390,474,602,622,AR,14300
5,NCNTY05063N05063,"Independence County, AR",378,463,517,658,749,AR,34233
5,NCNTY05065N05065,"Izard County, AR",386,387,488,641,741,AR,13249
5,NCNTY05067N05067,"Jackson County, AR",392,410,474,632,652,AR,18418
5,NCNTY05071N05071,"Johnson County, AR",321,440,494,666,869,AR,22781
5,NCNTY05073N05073,"Lafayette County, AR",409,446,524,628,723,AR,8559
5,NCNTY05075N05075,"Lawrence County, AR",309,389,474,591,735,AR,17774
5,NCNTY05077N05077,"Lee County, AR",398,399,488,666,766,AR,12580
5,NCNTY05081N05081,"Little River County, AR",409,446,524,640,723,AR,13628
5,NCNTY05083N05083,"Logan County, AR",308,426,474,690,731,AR,22486
5,NCNTY05089N05089,"Marion County, AR",385,386,483,648,701,AR,16140
5,NCNTY05093N05093,"Mississippi County, AR",347,421,519,700,821,AR,51979
5,NCNTY05095N05095,"Monroe County, AR",414,414,497,654,675,AR,10254
5,NCNTY05097N05097,"Montgomery County, AR",385,461,580,735,756,AR,9245
5,NCNTY05099N05099,"Nevada County, AR",409,446,524,628,723,AR,9955
5,NCNTY05101N05101,"Newton County, AR",426,428,512,663,752,AR,8608
5,NCNTY05103N05103,"Ouachita County, AR",341,428,474,647,728,AR,28790
5,NCNTY05107N05107,"Phillips County, AR",394,397,474,598,616,AR,26445
5,NCNTY05109N05109,"Pike County, AR",409,446,524,628,723,AR,11303
5,NCNTY05113N05113,"Polk County, AR",394,427,474,656,743,AR,20229
5,NCNTY05115N05115,"Pope County, AR",378,403,524,743,766,AR,54469
5,NCNTY05117N05117,"Prairie County, AR",414,414,497,654,675,AR,9539
5,NCNTY05121N05121,"Randolph County, AR",315,396,484,579,826,AR,18195
5,NCNTY05123N05123,"St. Francis County, AR",405,443,515,730,871,AR,29329
5,NCNTY05127N05127,"Scott County, AR",393,395,474,619,831,AR,10996
5,NCNTY05129N05129,"Searcy County, AR",426,428,512,663,752,AR,8261
5,NCNTY05133N05133,"Sevier County, AR",394,421,474,645,724,AR,15757
5,NCNTY05135N05135,"Sharp County, AR",410,411,493,615,635,AR,17119
5,NCNTY05137N05137,"Stone County, AR",386,387,488,641,741,AR,11499
5,NCNTY05139N05139,"Union County, AR",436,454,526,671,925,AR,45629
5,NCNTY05141N05141,"Van Buren County, AR",394,394,474,624,734,AR,16192
5,NCNTY05145N05145,"White County, AR",413,414,526,719,740,AR,67165
5,NCNTY05147N05147,"Woodruff County, AR",414,414,497,654,675,AR,8741
5,NCNTY05149N05149,"Yell County, AR",402,403,492,640,660,AR,21139
6,METRO12540M12540,"Bakersfield, CA MSA",534,576,683,996,1200,CA,661645
6,METRO17020M17020,"Chico, CA MSA",524,619,748,1054,1252,CA,203171
6,METRO20940M20940,"El Centro, CA MSA",535,602,710,1019,1245,CA,142361
6,METRO23420M23420,"Fresno, CA MSA",594,657,760,1105,1264,CA,799407
6,METRO25260M25260,"Hanford-Corcoran, CA MSA",556,581,671,978,1180,CA,129461
6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",905,1094,1371,1869,2301,CA,9519338
6,METRO31100MM5945,"Orange County, CA HUD Metro FMR Area",1103,1238,1485,2125,2441,CA,2846289
6,METRO31460M31460,"Madera, CA MSA",531,568,737,1058,1090,CA,123109
6,METRO32900M32900,"Merced, CA MSA",519,572,691,1006,1213,CA,210554
6,METRO33700M33700,"Modesto, CA MSA",636,689,807,1152,1373,CA,446997
