MSA,State,County,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4
10000,5,123,29329,St. Francis County,,40,Arkansas,AR,275,333,418,566,665
10000,5,127,10996,Scott County,,40,Arkansas,AR,275,326,418,554,619
10000,5,129,8261,Searcy County,,40,Arkansas,AR,275,326,418,554,619
10000,5,133,15757,Sevier County,,40,Arkansas,AR,299,326,418,554,619
10000,5,135,17119,Sharp County,,40,Arkansas,AR,275,326,418,554,619
10000,5,137,11499,Stone County,,40,Arkansas,AR,275,326,418,554,619
10000,5,139,45629,Union County,,40,Arkansas,AR,352,372,447,600,734
10000,5,141,16192,Van Buren County,,40,Arkansas,AR,275,326,418,554,683
10000,5,145,67165,White County,,40,Arkansas,AR,275,326,418,572,619
10000,5,147,8741,Woodruff County,,40,Arkansas,AR,275,326,418,554,619
10000,5,149,21139,Yell County,,40,Arkansas,AR,285,326,418,554,619
680,6,29,661645,Kern County,"Bakersfield, CA MSA",40,California,CA,445,500,628,872,965
1620,6,7,203171,Butte County,"Chico--Paradise, CA MSA",40,California,CA,401,517,688,943,1128
2840,6,19,799407,Fresno County,"Fresno, CA MSA",40,California,CA,472,527,630,877,1010
2840,6,39,123109,Madera County,"Fresno, CA MSA",40,California,CA,472,527,630,877,1010
4480,6,37,9519338,Los Angeles County,"Los Angeles--Long Beach, CA PMSA",40,California,CA,723,865,1095,1478,1765
4940,6,47,210554,Merced County,"Merced, CA MSA",40,California,CA,482,544,661,914,1078
5170,6,99,446997,Stanislaus County,"Modesto, CA MSA",40,California,CA,576,619,755,1053,1242
5775,6,1,1443741,Alameda County,"Oakland, CA PMSA",50,California,CA,936,1132,1420,1947,2325
5775,6,13,948816,Contra Costa County,"Oakland, CA PMSA",50,California,CA,936,1132,1420,1947,2325
5945,6,59,2846289,Orange County,"Orange County, CA PMSA",50,California,CA,903,987,1220,1698,1889
6690,6,89,163256,Shasta County,"Redding, CA MSA",40,California,CA,457,507,635,881,1038
6780,6,65,1545387,Riverside County,"Riverside--San Bernardino, CA PMSA",40,California,CA,568,632,773,1072,1266
6780,6,71,1709434,San Bernardino County,"Riverside--San Bernardino, CA PMSA",40,California,CA,568,632,773,1072,1266
6920,6,17,156299,El Dorado County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
6920,6,61,248399,Placer County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
6920,6,67,1223499,Sacramento County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
7120,6,53,401762,Monterey County,"Salinas, CA MSA",40,California,CA,761,891,1074,1492,1565
7320,6,73,2813833,San Diego County,"San Diego, CA MSA",50,California,CA,822,939,1175,1636,1928
7360,6,41,247289,Marin County,"San Francisco, CA PMSA",40,California,CA,1297,1680,2124,2913,3083
7360,6,75,776733,San Francisco County,"San Francisco, CA PMSA",40,California,CA,1297,1680,2124,2913,3083
7360,6,81,707161,San Mateo County,"San Francisco, CA PMSA",40,California,CA,1297,1680,2124,2913,3083
7400,6,85,1682585,Santa Clara County,"San Jose, CA PMSA",50,California,CA,1294,1475,1821,2496,2803
7460,6,79,246681,San Luis Obispo County,"San Luis Obispo--Atascadero--Paso Robles, CA MSA",40,California,CA,681,769,975,1356,1601
7480,6,83,399347,Santa Barbara County,"Santa Barbara--Santa Maria--Lompoc, CA MSA",40,California,CA,794,882,1118,1556,1757
7485,6,87,255602,Santa Cruz County,"Santa Cruz--Watsonville, CA PMSA",40,California,CA,897,1068,1426,1983,2323
7500,6,97,458614,Sonoma County,"Santa Rosa, CA PMSA",40,California,CA,828,938,1215,1690,1996
8120,6,77,563598,San Joaquin County,"Stockton--Lodi, CA MSA",40,California,CA,548,618,794,1106,1304
8720,6,55,124279,Napa County,"Vallejo--Fairfield--Napa, CA PMSA",40,California,CA,845,960,1171,1626,1918
8720,6,95,394542,Solano County,"Vallejo--Fairfield--Napa, CA PMSA",40,California,CA,845,960,1171,1626,1918
8735,6,111,753197,Ventura County,"Ventura, CA PMSA",50,California,CA,785,902,1142,1518,1769
8780,6,107,368021,Tulare County,"Visalia--Tulare--Porterville, CA MSA",40,California,CA,451,481,626,874,998
9270,6,113,168660,Yolo County,"Yolo, CA PMSA",40,California,CA,581,663,821,1136,1343
9340,6,101,78930,Sutter County,"Yuba City, CA MSA",40,California,CA,403,471,605,844,975
9340,6,115,60219,Yuba County,"Yuba City, CA MSA",40,California,CA,403,471,605,844,975
10000,6,3,1208,Alpine County,,40,California,CA,359,538,609,845,910
10000,6,5,35100,Amador County,,40,California,CA,502,553,738,1028,1146
10000,6,9,40554,Calaveras County,,40,California,CA,449,519,692,964,1134
10000,6,11,18804,Colusa County,,40,California,CA,397,445,572,797,922
10000,6,15,27507,Del Norte County,,40,California,CA,368,504,670,935,1101
10000,6,21,26453,Glenn County,,40,California,CA,363,445,572,797,922
10000,6,23,126518,Humboldt County,,40,California,CA,378,524,687,959,1133
10000,6,25,142361,Imperial County,,40,California,CA,405,508,625,871,912
10000,6,27,17945,Inyo County,,40,California,CA,377,508,652,855,922
10000,6,31,129461,Kings County,,40,California,CA,412,481,599,834,982
10000,6,33,58309,Lake County,,40,California,CA,414,527,705,887,1156
10000,6,35,33828,Lassen County,,40,California,CA,445,451,586,799,924
10000,6,43,17130,Mariposa County,,40,California,CA,400,508,653,855,1008
10000,6,45,86265,Mendocino County,,40,California,CA,505,609,747,1040,1048
10000,6,49,9449,Modoc County,,40,California,CA,397,445,572,797,922
10000,6,51,12853,Mono County,,40,California,CA,550,660,878,1222,1443
10000,6,57,92033,Nevada County,,40,California,CA,465,636,848,1178,1364
10000,6,63,20824,Plumas County,,40,California,CA,401,445,572,797,922
10000,6,69,53234,San Benito County,,40,California,CA,620,730,914,1273,1490
10000,6,91,3555,Sierra County,,40,California,CA,359,483,593,824,972
10000,6,93,44301,Siskiyou County,,40,California,CA,381,445,572,797,922
10000,6,103,56039,Tehama County,,40,California,CA,380,445,572,797,922
10000,6,105,13022,Trinity County,,40,California,CA,407,445,572,797,922
10000,6,109,54501,Tuolumne County,,40,California,CA,404,551,735,1023,1206
1125,8,13,291288,Boulder County,"Boulder--Longmont, CO PMSA",40,Colorado,CO,684,819,1051,1465,1726
1720,8,41,516929,El Paso County,"Colorado Springs, CO MSA",40,Colorado,CO,518,557,742,1034,1220
2080,8,1,363857,Adams County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
2080,8,5,487967,Arapahoe County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
2080,8,31,554636,Denver County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
2080,8,35,175766,Douglas County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
2080,8,59,527056,Jefferson County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
2670,8,69,251494,Larimer County,"Fort Collins--Loveland, CO MSA",40,Colorado,CO,518,640,791,1099,1299
2995,8,77,116255,Mesa County,"Grand Junction, CO MSA",40,Colorado,CO,469,488,611,823,979
3060,8,123,180936,Weld County,"Greeley, CO PMSA",40,Colorado,CO,569,628,790,1096,1297
6560,8,101,141472,Pueblo County,"Pueblo, CO MSA",40,Colorado,CO,499,516,646,870,1038
10000,8,3,14966,Alamosa County,,40,Colorado,CO,451,467,585,788,939
10000,8,7,9898,Archuleta County,,40,Colorado,CO,529,580,686,925,1100
10000,8,9,4517,Baca County,,40,Colorado,CO,455,471,590,795,948
