"fips_st","fips_puma","owner_occ","total","per_owner"
12,3607,246,360,68.3333333333333
12,3608,482,600,80.3333333333333
12,3609,367,524,70.0381679389313
12,3610,544,598,90.9698996655518
12,3611,420,506,83.00395256917
12,3612,381,472,80.7203389830508
12,3613,370,536,69.0298507462687
12,3701,570,721,79.0568654646325
12,3702,546,655,83.3587786259542
12,3800,488,607,80.3953871499176
12,3901,698,828,84.2995169082126
12,3902,618,740,83.5135135135135
12,3903,463,642,72.1183800623053
12,4001,323,434,74.4239631336406
12,4002,238,315,75.5555555555556
12,4003,295,396,74.4949494949495
12,4004,207,332,62.3493975903614
12,4005,214,391,54.7314578005115
12,4006,177,296,59.7972972972973
12,4007,256,388,65.979381443299
12,4008,313,537,58.2867783985102
12,4009,128,331,38.6706948640483
12,4010,149,448,33.2589285714286
12,4011,291,535,54.392523364486
12,4012,339,532,63.7218045112782
12,4013,275,351,78.3475783475783
12,4014,325,449,72.3830734966593
12,4015,358,448,79.9107142857143
12,4016,283,350,80.8571428571429
12,4017,321,410,78.2926829268293
12,4018,285,354,80.5084745762712
12,4019,300,447,67.1140939597315
12,4020,339,486,69.7530864197531
13,100,490,611,80.1963993453355
13,200,554,722,76.7313019390582
13,300,661,830,79.6385542168675
13,400,498,628,79.2993630573248
13,500,514,790,65.0632911392405
13,600,484,631,76.703645007924
13,700,546,677,80.6499261447563
13,800,712,795,89.559748427673
13,900,326,401,81.2967581047382
13,1000,360,468,76.923076923077
13,1101,444,551,80.5807622504537
13,1102,514,735,69.9319727891156
13,1103,324,516,62.7906976744186
13,1104,225,484,46.4876033057851
13,1105,151,289,52.2491349480969
13,1106,155,336,46.1309523809524
13,1107,382,542,70.479704797048
13,1201,346,536,64.5522388059701
13,1202,294,494,59.5141700404858
13,1203,273,399,68.421052631579
13,1204,245,382,64.1361256544503
13,1205,312,414,75.3623188405797
13,1206,275,362,75.9668508287293
13,1301,274,414,66.183574879227
13,1302,418,447,93.5123042505593
13,1303,266,470,56.5957446808511
13,1304,352,467,75.3747323340471
13,1305,638,745,85.6375838926175
13,1401,251,399,62.907268170426
13,1402,326,431,75.6380510440835
