"fips_st","fips_puma","owner_occ","total","per_owner","year"
36,901,170,342,49.7076023391813,2005
37,901,250,395,63.2911392405063,2005
39,901,516,600,86,2005
42,901,278,437,63.6155606407323,2005
53,901,229,290,78.9655172413793,2005
1,902,231,351,65.8119658119658,2005
8,902,301,443,67.9458239277652,2005
24,902,410,529,77.5047258979206,2005
29,902,610,762,80.0524934383202,2005
31,902,310,388,79.8969072164949,2005
34,902,508,645,78.7596899224806,2005
36,902,196,423,46.3356973995272,2005
37,902,229,350,65.4285714285714,2005
39,902,339,470,72.1276595744681,2005
42,902,380,458,82.9694323144105,2005
53,902,273,408,66.9117647058823,2005
1,903,436,605,72.0661157024793,2005
8,903,292,432,67.5925925925926,2005
31,903,156,261,59.7701149425287,2005
34,903,239,408,58.578431372549,2005
37,903,199,342,58.187134502924,2005
39,903,270,384,70.3125,2005
42,903,709,873,81.2142038946163,2005
1,904,574,683,84.0409956076135,2005
8,904,410,534,76.7790262172285,2005
31,904,174,280,62.1428571428571,2005
34,904,409,523,78.2026768642448,2005
37,904,214,398,53.7688442211055,2005
39,904,351,434,80.8755760368664,2005
1,905,339,414,81.8840579710145,2005
8,905,257,376,68.3510638297872,2005
34,905,392,561,69.8752228163993,2005
37,905,499,628,79.4585987261146,2005
1,1000,373,467,79.8715203426124,2005
5,1000,475,643,73.8724727838258,2005
6,1000,370,503,73.558648111332,2005
8,1000,320,396,80.8080808080808,2005
9,1000,379,499,75.9519038076152,2005
13,1000,336,431,77.9582366589327,2005
17,1000,750,927,80.906148867314,2005
18,1000,523,588,88.9455782312925,2005
19,1000,681,833,81.7527010804322,2005
20,1000,395,486,81.275720164609,2005
21,1000,412,525,78.4761904761905,2005
22,1000,273,414,65.9420289855072,2005
23,1000,637,819,77.7777777777778,2005
25,1000,333,432,77.0833333333333,2005
26,1000,798,956,83.4728033472803,2005
28,1000,380,496,76.6129032258064,2005
33,1000,319,359,88.857938718663,2005
35,1000,356,487,73.1006160164271,2005
37,1000,684,832,82.2115384615385,2005
39,1000,472,603,78.2752902155887,2005
40,1000,419,488,85.860655737705,2005
41,1000,365,489,74.642126789366,2005
42,1000,542,695,77.9856115107914,2005
47,1000,344,460,74.7826086956522,2005
48,1000,604,788,76.6497461928934,2005
51,1000,457,694,65.850144092219,2005
54,1000,311,393,79.1348600508906,2005
55,1000,944,1153,81.8733738074588,2005
12,1001,220,449,48.9977728285078,2005
24,1001,412,438,94.0639269406393,2005
27,1001,452,476,94.9579831932773,2005
29,1001,356,490,72.6530612244898,2005
34,1001,501,584,85.7876712328767,2005
36,1001,453,541,83.7338262476895,2005
45,1001,387,520,74.4230769230769,2005
53,1001,291,502,57.9681274900398,2005
12,1002,385,553,69.620253164557,2005
24,1002,326,414,78.743961352657,2005
27,1002,272,346,78.6127167630058,2005
29,1002,161,350,46,2005
34,1002,510,608,83.8815789473684,2005
36,1002,394,508,77.5590551181102,2005
45,1002,441,513,85.9649122807018,2005
53,1002,437,604,72.3509933774834,2005
24,1003,457,642,71.183800623053,2005
29,1003,283,424,66.7452830188679,2005
36,1003,423,516,81.9767441860465,2005
53,1003,319,394,80.9644670050761,2005
24,1004,693,868,79.8387096774193,2005
29,1004,262,378,69.3121693121693,2005
36,1004,517,661,78.21482602118,2005
53,1004,355,425,83.5294117647059,2005
24,1005,402,516,77.906976744186,2005
36,1005,330,399,82.7067669172932,2005
53,1005,446,549,81.2386156648452,2005
24,1006,292,372,78.494623655914,2005
24,1007,224,395,56.7088607594937,2005
1,1100,484,619,78.1906300484653,2005
5,1100,810,1019,79.4896957801766,2005
9,1100,414,536,77.2388059701492,2005
18,1100,538,636,84.5911949685535,2005
19,1100,262,347,75.5043227665706,2005
20,1100,558,697,80.0573888091822,2005
21,1100,468,644,72.6708074534162,2005
22,1100,423,533,79.3621013133208,2005
25,1100,335,473,70.8245243128964,2005
26,1100,1232,1426,86.3955119214586,2005
27,1100,548,614,89.2508143322476,2005
28,1100,450,579,77.720207253886,2005
29,1100,307,405,75.8024691358025,2005
33,1100,410,511,80.2348336594912,2005
35,1100,328,420,78.0952380952381,2005
36,1100,446,567,78.6596119929453,2005
37,1100,789,1029,76.6763848396501,2005
40,1100,838,1321,63.4367903103709,2005
42,1100,511,633,80.7266982622433,2005
45,1100,267,458,58.296943231441,2005
47,1100,391,499,78.3567134268537,2005
48,1100,468,597,78.391959798995,2005
51,1100,629,801,78.5268414481898,2005
53,1100,445,595,74.7899159663866,2005
54,1100,363,451,80.4878048780488,2005
55,1100,316,563,56.1278863232682,2005
6,1101,629,833,75.5102040816327,2005
12,1101,400,495,80.8080808080808,2005
13,1101,422,521,80.9980806142035,2005
17,1101,455,623,73.0337078651685,2005
24,1101,158,285,55.438596491228,2005
34,1101,382,520,73.4615384615385,2005
39,1101,375,426,88.0281690140845,2005
41,1101,371,603,61.5257048092869,2005
6,1102,337,474,71.0970464135021,2005
12,1102,336,526,63.8783269961977,2005
13,1102,531,759,69.9604743083004,2005
17,1102,589,719,81.9193324061196,2005
24,1102,309,448,68.9732142857143,2005
34,1102,520,600,86.6666666666667,2005
39,1102,387,499,77.5551102204409,2005
41,1102,407,513,79.337231968811,2005
6,1103,415,650,63.8461538461538,2005
12,1103,302,441,68.4807256235828,2005
13,1103,318,502,63.3466135458167,2005
24,1103,245,378,64.8148148148148,2005
34,1103,363,496,73.1854838709677,2005
39,1103,347,428,81.0747663551402,2005
12,1104,398,530,75.0943396226415,2005
13,1104,205,448,45.7589285714286,2005
24,1104,229,332,68.9759036144578,2005
34,1104,413,486,84.9794238683128,2005
12,1105,321,483,66.4596273291926,2005
13,1105,150,299,50.1672240802676,2005
24,1105,475,530,89.622641509434,2005
34,1105,363,428,84.8130841121495,2005
12,1106,313,425,73.6470588235294,2005
13,1106,133,296,44.9324324324324,2005
24,1106,392,444,88.2882882882883,2005
12,1107,513,700,73.2857142857143,2005
13,1107,308,418,73.6842105263158,2005
24,1107,206,364,56.5934065934066,2005
1,1200,346,450,76.8888888888889,2005
5,1200,435,552,78.804347826087,2005
9,1200,430,596,72.1476510067114,2005
12,1200,590,702,84.045584045584,2005
18,1200,482,601,80.1996672212978,2005
19,1200,710,882,80.498866213152,2005
20,1200,445,575,77.3913043478261,2005
21,1200,424,555,76.3963963963964,2005
22,1200,376,498,75.5020080321285,2005
25,1200,272,423,64.3026004728132,2005
26,1200,563,658,85.5623100303951,2005
28,1200,335,403,83.1265508684863,2005
29,1200,698,882,79.1383219954648,2005
36,1200,568,685,82.919708029197,2005
37,1200,449,567,79.1887125220459,2005
40,1200,539,654,82.4159021406728,2005
41,1200,447,605,73.8842975206612,2005
