"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"HI",2009,1,203,204.13
"IA",2000,1,153.88,153.81
"IA",2000,2,156.2,154.87
"IA",2000,3,158.56,157.22
"IA",2000,4,158.2,157.67
"IA",2001,1,159.45,159.44
"IA",2001,2,162.42,161.09
"IA",2001,3,163.52,162.05
"IA",2001,4,164.13,163.56
"IA",2002,1,164.68,164.75
"IA",2002,2,167.84,166.47
"IA",2002,3,170.02,168.44
"IA",2002,4,171.14,170.51
"IA",2003,1,172.17,172.35
"IA",2003,2,174.68,173.21
"IA",2003,3,176.89,175.21
"IA",2003,4,177.28,176.62
"IA",2004,1,177.98,178.28
"IA",2004,2,182.13,180.53
"IA",2004,3,184.54,182.72
"IA",2004,4,186.26,185.59
"IA",2005,1,185.21,185.65
"IA",2005,2,191.82,190.06
"IA",2005,3,191.85,189.85
"IA",2005,4,192.43,191.79
"IA",2006,1,193.38,193.98
"IA",2006,2,197.91,196.03
"IA",2006,3,198.82,196.61
"IA",2006,4,198.08,197.47
"IA",2007,1,198.65,199.43
"IA",2007,2,201.83,199.84
"IA",2007,3,204.06,201.67
"IA",2007,4,201.38,200.79
"IA",2008,1,198.99,199.88
"IA",2008,2,201.44,199.44
"IA",2008,3,201.15,198.68
"IA",2008,4,198.71,198.15
"IA",2009,1,196.5,197.47
"ID",2000,1,151.03,150.72
"ID",2000,2,152.58,151.03
"ID",2000,3,151.71,149.89
"ID",2000,4,154.1,154.02
"ID",2001,1,155.54,155.31
"ID",2001,2,158,156.34
"ID",2001,3,159.48,157.44
"ID",2001,4,158.83,158.81
"ID",2002,1,159.83,159.72
"ID",2002,2,163.61,161.9
"ID",2002,3,165.19,162.85
"ID",2002,4,165.22,165.24
"ID",2003,1,167.28,167.41
"ID",2003,2,170.17,168.28
"ID",2003,3,174.62,172.02
"ID",2003,4,174.09,174.14
"ID",2004,1,177.01,177.34
"ID",2004,2,186.61,184.38
"ID",2004,3,192.91,190.01
"ID",2004,4,192.85,192.95
"ID",2005,1,201.76,202.3
"ID",2005,2,208.79,205.99
"ID",2005,3,219.67,216.49
"ID",2005,4,226.84,227.18
"ID",2006,1,234.68,235.12
