CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000001514','1520',2,'3','-6','1','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000001514','3760',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001514','5000',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001514','6440',1,'3','-6','1','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001515','1520',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001515','1840',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001516','1520',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001516','5000',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001517','5000',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001518','3760',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001519','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001519','1840',2,'3','-6','1','2','-9',6,'1','3','1','2','-9','-9','-9','-9','-9'
'000000001519','3760',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001520','1520',1,'3','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001520','1840',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001520','1840',2,'3','-6','1','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000001520','1840',3,'3','-6','2','1','-9',1,'-6','2','2','3','-9','-9','-9','-9','1'
'000000001520','3760',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001520','6440',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001520','6440',2,'3','-6','2','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'000000001521','1520',1,'2','-6','1','1','-9',1,'-6','1','2','1','-9','-9','-9','-9','1'
'000000001522','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001522','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001522','6440',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001523','1840',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001523','6440',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001523','6440',2,'3','-6','2','1','-9',3,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001524','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001524','1840',2,'4','-6','3','2','-9',-7,'-7','2','-7','2','-9','1','-9','-9','-9'
'000000001524','1840',3,'-6','-6','-6','-6','-9',-6,'-6','-6','4','3','-9','-9','-9','1','-9'
'000000001528','1840',1,'3','-6','2','1','-9',7,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001528','1840',2,'3','-6','3','1','-9',4,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001529','1840',1,'3','-6','1','1','-9',5,'-6','3','1','1','-9','-9','-9','-9','-9'
'000000001531','1840',1,'3','-6','1','2','-9',4,'2','3','1','1','-9','-9','-9','-9','-9'
'000000001532','3760',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001532','6440',1,'4','-6','1','2','-9',10,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001533','1520',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001534','1840',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000001534','3760',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001535','3760',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001536','1520',1,'3','-6','3','2','-9',-7,'1','2','2','1','-9','-9','-9','-9','-9'
'000000001536','1840',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001536','5000',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001536','6440',1,'3','-6','1','-9','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'000000001537','1520',1,'3','-6','1','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000001537','1840',1,'3','-6','3','-9','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'000000001537','6440',1,'3','-6','1','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001538','3760',1,'3','-6','2','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'000000001538','6440',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001539','3760',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001541','1840',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001542','1840',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001542','1840',2,'3','-6','2','1','-9',5,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000001542','1840',3,'3','-6','-7','-7','-9',-7,'-6','2','2','3','-9','-9','-9','-9','-9'
'000000001542','5000',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001542','6440',1,'3','-6','1','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'000000001543','3760',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001544','3760',1,'2','-6','1','2','-9',3,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001544','6440',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001548','5000',1,'4','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001549','3760',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001549','5000',1,'2','-6','3','1','-9',1,'-6','1','2','1','-9','-9','-9','-9','1'
'000000001550','3760',1,'3','-6','3','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'000000001550','5000',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001550','5000',2,'4','-6','-7','-7','-9',-7,'-6','2','-7','2','-9','1','-9','-9','-9'
'000000001551','1840',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001551','1840',2,'3','-6','3','1','-9',-7,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001551','1840',3,'3','-6','-7','-7','-9',-7,'-6','2','2','3','-9','-9','-9','-9','-9'
'000000001553','1520',1,'3','-6','1','1','-9',4,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001553','3760',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001553','3760',2,'3','-6','1','2','-9',2,'1','2','2','2','-9','-9','-9','-9','-9'
'000000001553','6440',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001554','5000',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001554','6440',1,'3','-6','3','1','-9',2,'-6','1','3','1','-9','-9','-9','-9','-9'
'000000001555','1520',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001555','6440',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001556','1520',1,'2','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001556','1840',1,'3','-6','3','1','-9',6,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001556','1840',2,'3','-6','1','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001556','5000',1,'2','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001556','6440',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000001557','3760',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001557','5000',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001557','6440',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001558','5000',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001558','6440',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001559','1520',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001559','1840',1,'3','-6','1','1','-9',5,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001559','6440',1,'3','-6','2','2','-9',5,'2','3','2','1','-9','-9','-9','-9','-9'
'000000001560','1840',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001560','1840',2,'3','-6','1','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'000000001560','3760',1,'2','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001560','6440',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000001562','1520',1,'3','-6','2','2','-9',3,'2','2','1','1','-9','-9','-9','-9','-9'
'000000001562','3760',1,'3','-6','1','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
'000000001562','5000',1,'2','-6','1','1','-9',1,'-6','1','2','1','-9','-9','-9','-9','1'
'000000001563','3760',1,'3','-6','1','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001563','5000',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001564','6440',1,'3','-6','1','1','-9',2,'-6','3','2','1','-9','-9','-9','-9','-9'
'000000001565','1840',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001565','3760',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'000000001565','6440',1,'3','-6','1','-9','-9',-7,'-6','1','1','1','-9','-9','-9','1','-9'
'000000001569','3760',1,'-8','-6','-7','-8','-9',-8,'-6','2','-8','1','-9','1','-9','-9','-9'
'000000001569','5000',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001570','1840',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001571','6440',1,'3','-6','1','2','-9',4,'1','2','2','1','-9','-9','-9','-9','-9'
'000000001571','6440',2,'3','-6','-7','1','-9',3,'-6','2','2','2','-9','-9','-9','-9','-9'
'000000001574','1520',1,'3','-6','1','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001574','3760',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000001574','6440',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001574','6440',2,'-6','-6','-6','-6','-9',-6,'-6','-6','4','2','-9','-9','-9','1','-9'
