"state","puma5","cbsa","stab","cbsaname","pop2k","afact"
"FIPS state","puma5","cbsa","State Postal Code","CBSA Name","Total Pop, 2000 census","puma5 to cbsa alloc factor"
"06","02401","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",119187,1 
"06","02402","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",157015,1 
"06","02403","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",125518,1 
"06","02404","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",131451,1 
"06","02405","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",156293,1 
"06","02406","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",130433,1 
"06","02407","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",140428,1 
"06","02408","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",130230,1 
"06","02409","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",181534,1 
"06","02410","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",171652,1 
"06","02500","33700","CA","Modesto, CA Metropolitan Statistical Area",188856,1 
"06","02601","33700","CA","Modesto, CA Metropolitan Statistical Area",138237,1 
"06","02602","33700","CA","Modesto, CA Metropolitan Statistical Area",119904,1 
"06","02701","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",184797,1 
"06","02702","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",135615,1 
"06","02703","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",108439,1 
"06","02704","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",123403,1 
"06","02705","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",104767,1 
"06","02706","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",102115,1 
"06","02707","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",126866,1 
"06","02708","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",126838,1 
"06","02709","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",116043,1 
"06","02710","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",143990,1 
"06","02711","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",100883,1 
"06","02712","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",103304,1 
"06","02713","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",105055,1 
"06","02714","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",100470,1 
"06","02801","42100","CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area",122562,1 
"06","02802","42100","CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area",133040,1 
"06","02900","41500","CA","Salinas, CA Metropolitan Statistical Area",151060,1 
"06","03001","41500","CA","Salinas, CA Metropolitan Statistical Area",130206,1 
"06","03002","41500","CA","Salinas, CA Metropolitan Statistical Area",120496,0.694 
"06","03002","41940","CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",53234,0.306 
"06","03100","32900","CA","Merced, CA Metropolitan Statistical Area",210554,1 
"06","03200","31460","CA","Madera, CA Metropolitan Statistical Area",123109,1 
"06","03301","23420","CA","Fresno, CA Metropolitan Statistical Area",296056,1 
"06","03302","23420","CA","Fresno, CA Metropolitan Statistical Area",131596,1 
"06","03401","23420","CA","Fresno, CA Metropolitan Statistical Area",139883,1 
"06","03402","23420","CA","Fresno, CA Metropolitan Statistical Area",231872,1 
"06","03501","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area",105125,1 
"06","03502","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area",119014,1 
"06","03503","47300","CA","Visalia-Porterville, CA Metropolitan Statistical Area",143882,1 
"06","03600","25260","CA","Hanford-Corcoran, CA Metropolitan Statistical Area",129461,1 
"06","03701","42020","CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",117927,1 
"06","03702","42020","CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",128754,1 
"06","03800","12540","CA","Bakersfield, CA Metropolitan Statistical Area",247057,1 
"06","03901","12540","CA","Bakersfield, CA Metropolitan Statistical Area",125980,1 
"06","03902","12540","CA","Bakersfield, CA Metropolitan Statistical Area",146717,1 
"06","03903","12540","CA","Bakersfield, CA Metropolitan Statistical Area",141891,1 
"06","04000","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",158007,1 
"06","04100","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",127743,1 
"06","04200","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",128929,1 
"06","04300","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",185401,1 
"06","04401","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",145990,1 
"06","04402","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",108047,1 
"06","04403","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",204331,1 
"06","04404","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",188687,1 
"06","04405","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",166142,1 
"06","04406","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",185721,1 
"06","04407","40140","CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",110436,1 
"06","04500","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",118718,1 
"06","04600","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",116670,1 
"06","04700","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",151088,1 
"06","04800","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",100316,1 
"06","04900","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",194973,1 
"06","05000","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",133936,1 
"06","05100","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",115965,1 
"06","05200","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",149473,1 
"06","05300","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",124283,1 
"06","05401","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",162235,1 
"06","05402","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",126845,1 
"06","05403","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",120285,1 
"06","05404","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",131131,1 
"06","05405","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",128277,1 
"06","05406","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",133680,1 
"06","05407","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",159064,1 
"06","05408","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",160836,1 
"06","05409","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",150282,1 
"06","05410","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",156616,1 
"06","05411","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",194388,1 
"06","05412","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",164698,1 
"06","05413","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",233983,1 
"06","05414","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",123129,1 
"06","05415","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",193704,1 
"06","05416","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",228910,1 
