"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
"Metro","04","00400","AZ",116320,0 
"Metro","04","00500","AZ",167517,0.001 
"Metro","04","00600","AZ",155032,0.001 
"Metro","04","00700","AZ",160026,0.001 
"Metro","04","00800","AZ",179727,0.001 
"Metro","05","00100","AR",153406,0.001 
"Metro","05","00200","AR",157715,0.001 
"Metro","05","00300","AR",14243,0 
"Metro","05","00500","AR",82148,0 
"Metro","05","00600","AR",50866,0 
"Metro","05","00700","AR",25614,0 
"Metro","05","00900","AR",183133,0.001 
"Metro","05","01000","AR",178341,0.001 
"Metro","05","01100","AR",222371,0.001 
"Metro","05","01200","AR",10209,0 
"Metro","05","01300","AR",168318,0.001 
"Metro","05","01400","AR",17771,0 
"Metro","05","01500","AR",88068,0 
"Metro","05","01600","AR",100742,0 
"Metro","05","01700","AR",23063,0 
"Metro","05","01900","AR",40443,0 
"Metro","06","00300","CA",163256,0.001 
"Metro","06","00600","CA",203171,0.001 
"Metro","06","00800","CA",139149,0.001 
"Metro","06","00900","CA",168660,0.001 
"Metro","06","01000","CA",124279,0.001 
"Metro","06","01101","CA",177541,0.001 
"Metro","06","01102","CA",115251,0 
"Metro","06","01103","CA",165822,0.001 
"Metro","06","01201","CA",100916,0 
"Metro","06","01202","CA",146373,0.001 
"Metro","06","01301","CA",146849,0.001 
"Metro","06","01302","CA",126603,0.001 
"Metro","06","01303","CA",121090,0.001 
"Metro","06","01401","CA",127590,0.001 
"Metro","06","01402","CA",108826,0 
"Metro","06","01403","CA",170602,0.001 
"Metro","06","01501","CA",133925,0.001 
"Metro","06","01502","CA",106738,0 
"Metro","06","01503","CA",142880,0.001 
"Metro","06","01504","CA",169571,0.001 
"Metro","06","01505","CA",162285,0.001 
"Metro","06","01506","CA",101082,0 
"Metro","06","01601","CA",135702,0.001 
"Metro","06","01602","CA",112697,0 
"Metro","06","01700","CA",156299,0.001 
"Metro","06","01901","CA",110315,0 
"Metro","06","01902","CA",133456,0.001 
"Metro","06","02001","CA",149825,0.001 
"Metro","06","02002","CA",170002,0.001 
"Metro","06","02101","CA",126004,0.001 
"Metro","06","02102","CA",116435,0.001 
"Metro","06","02103","CA",106258,0 
"Metro","06","02104","CA",149173,0.001 
"Metro","06","02105","CA",111307,0 
"Metro","06","02106","CA",119237,0.001 
"Metro","06","02107","CA",108255,0 
"Metro","06","02108","CA",112147,0 
"Metro","06","02201","CA",136975,0.001 
"Metro","06","02202","CA",107285,0 
"Metro","06","02203","CA",107054,0 
"Metro","06","02204","CA",109355,0 
"Metro","06","02205","CA",105532,0 
"Metro","06","02206","CA",105194,0 
"Metro","06","02207","CA",105338,0 
"Metro","06","02301","CA",140752,0.001 
"Metro","06","02302","CA",112191,0 
"Metro","06","02303","CA",100602,0 
"Metro","06","02304","CA",114773,0 
"Metro","06","02305","CA",124010,0.001 
"Metro","06","02306","CA",114833,0 
"Metro","06","02401","CA",119187,0.001 
"Metro","06","02402","CA",157015,0.001 
"Metro","06","02403","CA",125518,0.001 
"Metro","06","02404","CA",131451,0.001 
"Metro","06","02405","CA",156293,0.001 
"Metro","06","02406","CA",130433,0.001 
"Metro","06","02407","CA",140428,0.001 
"Metro","06","02408","CA",130230,0.001 
"Metro","06","02409","CA",181534,0.001 
"Metro","06","02410","CA",171652,0.001 
"Metro","06","02500","CA",188856,0.001 
"Metro","06","02601","CA",138237,0.001 
"Metro","06","02602","CA",119904,0.001 
"Metro","06","02701","CA",184797,0.001 
"Metro","06","02702","CA",135615,0.001 
"Metro","06","02703","CA",108439,0 
"Metro","06","02704","CA",123403,0.001 
"Metro","06","02705","CA",104767,0 
"Metro","06","02706","CA",102115,0 
"Metro","06","02707","CA",126866,0.001 
"Metro","06","02708","CA",126838,0.001 
"Metro","06","02709","CA",116043,0 
"Metro","06","02710","CA",143990,0.001 
"Metro","06","02711","CA",100883,0 
"Metro","06","02712","CA",103304,0 
"Metro","06","02713","CA",105055,0 
"Metro","06","02714","CA",100470,0 
"Metro","06","02801","CA",122562,0.001 
"Metro","06","02802","CA",133040,0.001 
"Metro","06","02900","CA",151060,0.001 
"Metro","06","03001","CA",130206,0.001 
"Metro","06","03002","CA",173730,0.001 
"Metro","06","03100","CA",210554,0.001 
"Metro","06","03200","CA",123109,0.001 
"Metro","06","03301","CA",296056,0.001 
"Metro","06","03302","CA",131596,0.001 
"Metro","06","03401","CA",139883,0.001 
"Metro","06","03402","CA",231872,0.001 
"Metro","06","03501","CA",105125,0 
"Metro","06","03502","CA",119014,0.001 
"Metro","06","03503","CA",143882,0.001 
"Metro","06","03600","CA",129461,0.001 
"Metro","06","03701","CA",117927,0.001 
"Metro","06","03702","CA",128754,0.001 
"Metro","06","03800","CA",247057,0.001 
"Metro","06","03901","CA",125980,0.001 
"Metro","06","03902","CA",146717,0.001 
"Metro","06","03903","CA",141891,0.001 
"Metro","06","04000","CA",158007,0.001 
"Metro","06","04100","CA",127743,0.001 
"Metro","06","04200","CA",128929,0.001 
"Metro","06","04300","CA",185401,0.001 
"Metro","06","04401","CA",145990,0.001 
"Metro","06","04402","CA",108047,0 
"Metro","06","04403","CA",204331,0.001 
"Metro","06","04404","CA",188687,0.001 
"Metro","06","04405","CA",166142,0.001 
"Metro","06","04406","CA",185721,0.001 
"Metro","06","04407","CA",110436,0 
"Metro","06","04500","CA",118718,0.001 
"Metro","06","04600","CA",116670,0.001 
"Metro","06","04700","CA",151088,0.001 
"Metro","06","04800","CA",100316,0 
"Metro","06","04900","CA",194973,0.001 
"Metro","06","05000","CA",133936,0.001 
"Metro","06","05100","CA",115965,0 
