"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"162","Melbourne-Titusville-Palm  Bay* FL MSA","312",265,2,0,45,2
"163","Memphis  TN-AR-MS MSA","722",374,0,0,348,30
"164","Merced* CA MSA","62",62,0,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","2645",1419,20,52,1154,94
"166","Milwaukee-Racine  WI CMSA","357",279,14,12,52,8
"167","Minneapolis-St. Paul  MN-WI  MSA","1031",836,18,7,170,12
"168","Missoula* MT MSA","11",11,0,0,0,0
"169","Mobile* AL MSA","292",276,0,0,16,2
"170","Modesto* CA MSA","246",246,0,0,0,0
"171","Monroe* LA MSA","26",18,8,0,0,0
"172","Montgomery* AL MSA","325",101,0,0,224,15
"173","Muncie* IN MSA","13",13,0,0,0,0
"174","Myrtle Beach* SC MSA","205",148,6,4,47,5
"175","Naples* FL MSA","469",246,0,4,219,13
"176","Nashville  TN MSA","922",773,6,30,113,5
"177","New London-Norwich* CT-RI MSA","51",51,0,0,0,0
"178","New Orleans* LA MSA","504",233,6,0,265,23
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","3268",1983,160,110,1015,48
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","530",501,0,8,21,2
"181","Ocala* FL MSA","198",196,2,0,0,0
"182","Odessa-Midland* TX MSA","18",18,0,0,0,0
"183","Oklahoma City* OK MSA","287",271,16,0,0,0
"184","Omaha* NE-IA MSA","234",234,0,0,0,0
"185","Orlando  FL MSA","1318",1257,4,0,57,4
"186","Owensboro* KY MSA","53",53,0,0,0,0
"187","Panama City* FL MSA","41",39,2,0,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","4",4,0,0,0,0
"189","Pensacola* FL MSA","168",166,2,0,0,0
"190","Peoria-Pekin* IL MSA","66",56,2,8,0,0
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","1297",1139,62,4,92,13
"192","Phoenix-Mesa  AZ MSA","2837",2606,6,51,174,12
"193","Pine Bluff* AR MSA","3",3,0,0,0,0
"194","Pittsburgh  PA MSA","276",238,0,22,16,2
"195","Pittsfield* MA MSA","1",1,0,0,0,0
"196","Pocatello* ID MSA","8",8,0,0,0,0
"197","Portland* ME MSA","83",76,0,7,0,0
"198","Portland-Salem  OR-WA CMSA","1187",924,26,56,181,11
"199","Providence-Fall River-  Warwick* RI-MA MSA","188",156,6,12,14,2
"200","Provo-Orem* UT MSA","225",166,6,20,33,2
"201","Pueblo* CO MSA","82",78,4,0,0,0
"202","Punta Gorda* FL MSA","110",96,2,7,5,1
"203","Raleigh-Durham-Chapel Hill  NC MSA","1487",1098,10,0,379,24
"204","Rapid City* SD MSA","27",22,0,0,5,1
"205","Reading* PA MSA","46",46,0,0,0,0
"206","Redding* CA MSA","71",69,2,0,0,0
"207","Reno* NV MSA","675",281,2,0,392,39
"208","Richland-Kennewick-Pasco*  WA MSA","66",61,0,0,5,1
"209","Richmond-Petersburg  VA MSA","422",416,0,0,6,1
"210","Roanoke* VA MSA","93",83,10,0,0,0
"211","Rochester* MN MSA","67",45,6,3,13,1
"212","Rochester* NY MSA","128",98,0,15,15,3
"213","Rockford* IL MSA","92",76,0,16,0,0
"214","Rocky Mount* NC MSA","52",41,2,0,9,1
"215","Sacramento-Yolo  CA CMSA","1244",1128,2,4,110,7
"216","Saginaw-Bay City-Midland*  MI MSA","28",19,4,0,5,1
"217","St. Cloud* MN MSA","26",26,0,0,0,0
"218","St. Joseph* MO MSA","2",2,0,0,0,0
"219","St. Louis  MO-IL MSA","691",541,14,22,114,5
"220","Salinas* CA MSA","91",91,0,0,0,0
"221","Salt Lake City-Ogden  UT MSA","545",457,2,46,40,2
"222","San Angelo* TX MSA","22",22,0,0,0,0
"223","San Antonio* TX MSA","919",647,4,0,268,18
"224","San Diego  CA MSA","1919",745,2,24,1148,15
"225","San Francisco-Oakland-San  Jose  CA CMSA","2415",1538,60,23,794,35
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","164",141,0,0,23,3
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","57",37,0,7,13,2
"228","Santa Fe* NM MSA","30",30,0,0,0,0
"229","Sarasota-Bradenton* FL MSA","812",540,0,16,256,26
"230","Savannah* GA MSA","115",102,0,8,5,1
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","21",21,0,0,0,0
"232","Seattle-Tacoma-Bremerton  WA CMSA","2384",1221,44,34,1085,47
"233","Sharon* PA MSA","6",6,0,0,0,0
"234","Sheboygan* WI MSA","3",3,0,0,0,0
"235","Sherman-Denison* TX MSA","5",5,0,0,0,0
"236","Shreveport-Bossier City* LA  MSA","79",76,0,3,0,0
"237","Sioux City* IA-NE MSA","7",5,2,0,0,0
"238","Sioux Falls* SD MSA","66",62,4,0,0,0
"239","South Bend* IN MSA","48",46,2,0,0,0
"240","Spokane* WA MSA","63",63,0,0,0,0
"241","Springfield* IL MSA","24",24,0,0,0,0
"242","Springfield* MO MSA","143",115,4,4,20,2
"243","Springfield* MA MSA","22",22,0,0,0,0
"244","State College* PA MSA","26",21,2,3,0,0
"245","Steubenville-Weirton* OH-WV  MSA","3",3,0,0,0,0
"246","Stockton-Lodi* CA MSA","561",561,0,0,0,0
"247","Sumter* SC MSA","22",20,2,0,0,0
"248","Syracuse* NY MSA","29",29,0,0,0,0
"249","Tallahassee* FL MSA","82",69,2,0,11,2
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","1411",1338,34,4,35,5
"251","Terre Haute* IN MSA","11",11,0,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","13",13,0,0,0,0
"253","Toledo* OH MSA","128",104,8,0,16,1
"254","Topeka* KS MSA","39",39,0,0,0,0
"255","Tucson* AZ MSA","426",424,2,0,0,0
"256","Tulsa* OK MSA","198",193,0,0,5,1
"257","Tuscaloosa* AL MSA","74",62,0,0,12,1
"258","Tyler* TX MSA","30",25,0,0,5,1
"259","Utica-Rome* NY MSA","4",4,0,0,0,0
"260","Victoria* TX MSA","6",6,0,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","122",122,0,0,0,0
"262","Waco* TX MSA","193",43,24,0,126,1
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","3589",2920,2,3,664,25
"264","Waterloo-Cedar Falls* IA MSA","6",4,2,0,0,0
"265","Wausau* WI MSA","15",15,0,0,0,0
"266","West Palm Beach-Boca Raton  FL MSA","701",681,0,4,16,1
"267","Wheeling* WV-OH MSA","2",2,0,0,0,0
"268","Wichita* KS MSA","121",111,10,0,0,0
"269","Wichita Falls* TX MSA","154",14,0,140,0,0
"270","Wilmington* NC MSA","411",235,0,0,176,8
"271","Yakima* WA MSA","11",11,0,0,0,0
"272","York* PA MSA","82",82,0,0,0,0
"273","Youngstown-Warren* OH MSA","66",60,2,4,0,0
"274","Yuba City* CA MSA","16",16,0,0,0,0
"275","Yuma* AZ MSA","85",85,0,0,0,0
