"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"209","Miami-Fort Lauderdale-Miami Beach,*  FL","1465",804,44,29,588,32
"210","Michigan City-La Porte, IN","22",22,0,0,0,0
"211","Midland,* TX","44",44,0,0,0,0
"212","Milwaukee-Waukesha-West Allis,* WI","194",176,4,9,5,1
"213","Minneapolis-St. Paul-Bloomington,*  MN-WI","1083",795,0,4,284,14
"214","Missoula,* MT","68",64,0,4,0,0
"215","Mobile, AL","209",193,0,0,16,2
"216","Modesto, CA","170",170,0,0,0,0
"217","Monroe, LA","49",35,0,0,14,2
"218","Monroe, MI","17",17,0,0,0,0
"219","Montgomery, AL","100",100,0,0,0,0
"220","Morgantown, WV","1",1,0,0,0,0
"221","Morristown, TN","49",49,0,0,0,0
"222","Mount Vernon-Anacortes, WA","58",58,0,0,0,0
"223","Muncie, IN","2",2,0,0,0,0
"224","Muskegon-Norton Shores, MI","14",10,4,0,0,0
"225","Myrtle Beach-Conway-North Myrtle Beach,  SC","505",384,0,0,121,8
"226","Napa, CA","7",5,2,0,0,0
"227","Naples-Marco Island,* FL","253",69,2,64,118,19
"228","Nashville-Davidson--Murfreesboro,*  TN","1288",1252,4,14,18,2
"229","New Haven-Milford, CT","90",55,0,4,31,3
"230","New Orleans-Metairie-Kenner,* LA","388",318,6,16,48,1
"231","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","4204",1079,486,417,2222,62
"232","Niles-Benton Harbor, MI","11",11,0,0,0,0
"233","Norwich-New London, CT","32",30,2,0,0,0
"234","Ocala,* FL","700",309,4,3,384,26
"235","Ocean City,* NJ","64",48,8,8,0,0
"236","Odessa,* TX","16",16,0,0,0,0
"237","Ogden-Clearfield, UT","295",252,4,39,0,0
"238","Oklahoma City,* OK","635",574,4,0,57,5
"239","Olympia, WA","202",202,0,0,0,0
"240","Omaha-Council Bluffs,* NE-IA","366",334,0,0,32,2
"241","Orlando-Kissimmee,* FL","2104",1402,4,8,690,36
"242","Oshkosh-Neenah, WI","90",38,2,0,50,1
"243","Owensboro, KY","24",24,0,0,0,0
"244","Oxnard-Thousand Oaks-Ventura, CA","291",171,26,3,91,3
"245","Palm Bay-Melbourne-Titusville,* FL","271",173,2,0,96,1
"246","Palm Coast, FL","59",57,2,0,0,0
"247","Panama City-Lynn Haven, FL","52",52,0,0,0,0
"248","Parkersburg-Marietta-Vienna, WV-OH","17",17,0,0,0,0
"249","Pascagoula, MS","82",78,0,4,0,0
"250","Pensacola-Ferry Pass-Brent,* FL","264",220,10,4,30,1
"251","Peoria, IL","73",67,6,0,0,0
"252","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1239",858,4,10,367,21
"253","Phoenix-Mesa-Scottsdale,* AZ","4942",3410,18,50,1464,61
"254","Pine Bluff, AR","12",7,0,0,5,1
"255","Pittsburgh,* PA","626",302,8,6,310,8
"256","Pittsfield, MA","1",1,0,0,0,0
"257","Pocatello, ID","33",33,0,0,0,0
"258","Port St. Lucie,* FL","271",238,0,8,25,1
"259","Portland-South Portland-Biddeford,  ME","163",141,10,7,5,1
"260","Portland-Vancouver-Beaverton,* OR-WA","1356",928,28,44,356,NA
"261","Prescott, AZ","120",118,2,0,0,0
"262","Providence-New Bedford-Fall River,  RI-MA","233",194,26,8,5,1
"263","Provo-Orem, UT","463",406,6,35,16,3
"264","Pueblo,* CO","74",74,0,0,0,0
"265","Punta Gorda,* FL","109",74,8,11,16,1
"266","Racine, WI","62",60,2,0,0,0
"267","Raleigh-Cary,* NC","1931",1195,0,15,721,32
"268","Rapid City, SD","53",53,0,0,0,0
"269","Reading, PA","54",54,0,0,0,0
"270","Redding, CA","53",53,0,0,0,0
"271","Reno-Sparks,* NV","142",131,2,4,5,1
"272","Richmond,* VA","768",604,2,0,162,1
"273","Riverside-San Bernardino-Ontario,*  CA","2476",1981,28,168,299,12
"274","Roanoke, VA","94",89,0,0,5,1
"275","Rochester, MN","38",38,0,0,0,0
"276","Rochester, NY","105",101,0,4,0,0
"277","Rockford, IL","126",110,6,0,10,2
"278","Rocky Mount, NC","57",49,4,4,0,0
"279","Rome, GA","32",28,4,0,0,0
"280","Sacramento--Arden-Arcade--Roseville,*  CA","1020",839,26,11,144,8
"281","Saginaw-Saginaw Township North, MI","7",5,2,0,0,0
"282","Salem, OR","109",80,4,3,22,2
"283","Salinas, CA","75",48,2,0,25,1
"284","Salisbury, MD","48",38,0,0,10,1
"285","Salt Lake City,* UT","499",408,8,13,70,5
"286","San Angelo,* TX","35",35,0,0,0,0
"287","San Antonio,* TX","1250",1066,14,36,134,12
"288","San Diego-Carlsbad-San Marcos,* CA","1283",375,34,11,863,26
"289","San Francisco-Oakland-Fremont,* CA","1202",579,4,16,603,16
"290","San Jose-Sunnyvale-Santa Clara,* CA","287",195,2,4,86,12
"291","San Luis Obispo-Paso Robles, CA","73",71,2,0,0,0
"292","Sandusky, OH","0",0,0,0,0,0
"293","Santa Barbara-Santa Maria, CA","26",21,0,0,5,1
"294","Santa Cruz-Watsonville, CA","10",10,0,0,0,0
"295","Santa Fe,* NM","34",34,0,0,0,0
"296","Santa Rosa-Petaluma, CA","151",88,8,0,55,3
"297","Sarasota-Bradenton-Venice,* FL","361",228,8,8,117,2
"298","Savannah, GA","281",244,4,3,30,2
"299","Scranton--Wilkes-Barre, PA","21",21,0,0,0,0
"300","Seattle-Tacoma-Bellevue,* WA","2421",1343,144,140,794,61
"301","Sebastian-Vero Beach,* FL","249",237,4,3,5,1
"302","Sheboygan, WI","6",6,0,0,0,0
"303","Sherman-Denison, TX","2",2,0,0,0,0
"304","Shreveport-Bossier City, LA","172",125,10,0,37,1
"305","Sioux City, IA-NE-SD","9",9,0,0,0,0
"306","Sioux Falls, SD","246",153,6,8,79,2
"307","South Bend-Mishawaka, IN-MI","97",67,0,0,30,5
"308","Spartanburg, SC","186",186,0,0,0,0
"309","Spokane, WA","123",123,0,0,0,0
"310","Springfield, IL","35",20,10,0,5,1
"311","Springfield, MA","46",40,6,0,0,0
"312","Springfield, MO","202",141,6,0,55,2
"313","Springfield, OH","119",55,44,20,0,0
"314","St. Cloud, MN","51",38,0,3,10,2
"315","St. George, UT","192",180,0,0,12,1
"316","St. Joseph, MO-KS","13",13,0,0,0,0
"317","St. Louis,* MO-IL","998",819,26,23,130,12
"318","State College, PA","19",19,0,0,0,0
"319","Stockton,* CA","380",376,0,4,0,0
"320","Sumter,* SC","43",37,6,0,0,0
"321","Syracuse, NY","66",52,0,0,14,2
"322","Tallahassee, FL","314",207,4,20,83,4
"323","Tampa-St. Petersburg-Clearwater,* FL","1589",833,26,35,695,NA
"324","Texarkana, TX-Texarkana, AR","17",17,0,0,0,0
"325","Toledo, OH","96",86,2,0,8,1
"326","Topeka, KS","187",70,2,0,115,4
"327","Trenton-Ewing,* NJ","40",40,0,0,0,0
"328","Tucson,* AZ","548",513,18,8,9,1
"329","Tulsa,* OK","516",516,0,0,0,0
"330","Tuscaloosa, AL","105",76,0,0,29,2
"331","Tyler, TX","39",29,0,3,7,1
"332","Utica-Rome, NY","3",3,0,0,0,0
"333","Valdosta, GA","65",58,2,0,5,1
"334","Vallejo-Fairfield, CA","108",108,0,0,0,0
"335","Victoria, TX","7",7,0,0,0,0
"336","Vineland-Millville-Bridgeton,* NJ","124",48,2,0,74,1
"337","Virginia Beach-Norfolk-Newport News,*  VA-NC","643",534,10,27,72,6
"338","Visalia-Porterville, CA","215",190,0,25,0,0
"339","Waco, TX","90",88,2,0,0,0
"340","Warner Robins, GA","111",111,0,0,0,0
"341","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","2655",1615,0,0,1040,11
"342","Waterloo-Cedar Falls, IA","42",42,0,0,0,0
"343","Wausau, WI","36",36,0,0,0,0
"344","Weirton-Steubenville, WV-OH","7",7,0,0,0,0
"345","Wenatchee, WA","71",67,0,4,0,0
"346","Wheeling, WV-OH","0",0,0,0,0,0
"347","Wichita Falls, TX","27",21,6,0,0,0
"348","Wichita, KS","217",217,0,0,0,0
"349","Williamsport, PA","2",2,0,0,0,0
"350","Wilmington,* NC","547",486,12,0,49,3
"351","Winchester, VA-WV","80",80,0,0,0,0
"352","Winston-Salem, NC","341",341,0,0,0,0
"353","Worcester, MA","139",105,8,9,17,2
"354","Yakima, WA","40",40,0,0,0,0
"355","York-Hanover, PA","129",94,0,4,31,2
"356","Youngstown-Warren-Boardman, OH-PA","44",34,4,6,0,0
"357","Yuba City, CA","286",214,0,0,72,7
"358","Yuma, AZ","70",70,0,0,0,0
