"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"223","Naples-Marco Island,  FL","79",47,0,16,16,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","536",530,6,0,0,0,NA
"225","New Orleans-Metairie-Kenner,  LA","480",296,4,0,180,1,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","2463",603,278,66,1516,63,NA
"227","Norwich-New London, CT","23",23,0,0,0,0,87
"228","Ocala,  FL","103",101,2,0,0,0,100
"229","Ocean City,  NJ","34",32,2,0,0,0,100
"230","Odessa,  TX","27",27,0,0,0,0,100
"231","Ogden-Clearfield, UT","107",96,0,3,8,1,86
"232","Oklahoma City,  OK","355",343,2,0,10,1,100
"233","Olympia, WA","71",67,4,0,0,0,93
"234","Omaha-Council Bluffs,  NE-IA","165",150,0,3,12,2,100
"235","Orlando-Kissimmee,  FL","846",611,0,0,235,15,100
"236","Oshkosh-Neenah, WI","11",9,2,0,0,0,87
"237","Owensboro, KY","15",15,0,0,0,0,96
"238","Oxnard-Thousand Oaks-Ventura, CA","155",61,0,0,94,3,97
"239","Palm Bay-Melbourne-Titusville,  FL","150",108,0,0,42,2,100
"240","Palm Coast, FL","19",19,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","250",34,0,0,216,9,98
"242","Parkersburg-Marietta-Vienna, WV-OH","10",10,0,0,0,0,0
"243","Pascagoula, MS","242",45,0,0,197,12,98
"244","Pensacola-Ferry Pass-Brent,  FL","113",111,2,0,0,0,100
"245","Peoria, IL","47",23,8,0,16,1,50
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","782",597,8,19,158,23,NA
"247","Pine Bluff, AR","3",3,0,0,0,0,88
"248","Pittsburgh,  PA","255",191,2,3,59,7,100
"249","Pittsfield, MA","1",1,0,0,0,0,9
"250","Pocatello, ID","16",16,0,0,0,0,93
"251","Port St. Lucie,  FL","196",72,0,0,124,7,100
"252","Portland-South Portland-Biddeford,  ME","68",63,0,0,5,1,88
"253","Portland-Vancouver-Beaverton,  OR-WA","957",386,12,11,548,8,NA
"254","Prescott, AZ","68",68,0,0,0,0,87
"255","Providence-New Bedford-Fall River,  RI-MA","87",85,2,0,0,0,83
"256","Provo-Orem, UT","96",79,0,12,5,1,98
"257","Pueblo,  CO","38",36,2,0,0,0,100
"258","Punta Gorda,  FL","29",29,0,0,0,0,100
"259","Racine, WI","14",14,0,0,0,0,59
"260","Raleigh-Cary,  NC","1083",756,2,0,325,15,100
"261","Rapid City, SD","42",42,0,0,0,0,97
"262","Reading, PA","17",15,2,0,0,0,63
"263","Redding, CA","25",25,0,0,0,0,83
"264","Reno-Sparks,  NV","86",86,0,0,0,0,100
"265","Richmond,  VA","597",395,4,8,190,1,100
"266","Riverside-San Bernardino-Ontario,  CA","1176",550,2,8,616,34,NA
"267","Rochester, MN","19",17,2,0,0,0,89
"268","Rochester, NY","60",52,0,8,0,0,62
"269","Rockford, IL","18",18,0,0,0,0,97
"270","Rocky Mount, NC","33",33,0,0,0,0,94
"271","Rome, GA","17",15,2,0,0,0,100
"272","Sacramento--Arden-Arcade--Roseville,  CA","376",220,2,0,154,17,NA
"273","Salem, OR","105",45,0,0,60,5,74
"274","Salinas, CA","21",21,0,0,0,0,74
"275","Salisbury, MD","33",20,0,0,13,1,80
"276","Salt Lake City,  UT","207",156,6,12,33,3,100
"277","San Angelo,  TX","24",24,0,0,0,0,100
"278","San Antonio,  TX","1109",501,0,0,608,30,100
"279","San Diego-Carlsbad-San Marcos,  CA","327",136,4,0,187,14,100
"280","San Francisco-Oakland-Fremont,  CA","457",183,10,3,261,17,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","213",79,0,0,134,13,100
"282","San Luis Obispo-Paso Robles, CA","34",34,0,0,0,0,68
"283","Sandusky, OH","0",0,0,0,0,0,1
"284","Santa Barbara-Santa Maria, CA","7",7,0,0,0,0,64
"285","Santa Cruz-Watsonville, CA","29",29,0,0,0,0,51
"286","Santa Fe,  NM","12",12,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","22",22,0,0,0,0,89
"288","Savannah, GA","192",142,2,43,5,1,81
"289","Scranton--Wilkes-Barre, PA","14",14,0,0,0,0,26
"290","Seattle-Tacoma-Bellevue,  WA","1436",580,192,126,538,17,100
"291","Sebastian-Vero Beach,  FL","82",46,0,0,36,6,100
"292","Sheboygan, WI","9",4,0,0,5,1,59
"293","Sherman-Denison, TX","1",1,0,0,0,0,4
"294","Shreveport-Bossier City, LA","68",68,0,0,0,0,94
"295","Sioux City, IA-NE-SD","9",9,0,0,0,0,98
"296","Sioux Falls, SD","81",52,6,8,15,1,82
"297","South Bend-Mishawaka, IN-MI","40",28,0,6,6,1,99
"298","Spartanburg, SC","108",108,0,0,0,0,94
"299","Spokane, WA","85",57,2,0,26,2,75
"300","Springfield, IL","13",8,2,3,0,0,54
"301","Springfield, MA","18",14,0,4,0,0,62
"302","Springfield, MO","88",36,12,3,37,1,78
"303","Springfield, OH","5",5,0,0,0,0,100
"304","St. Cloud, MN","13",13,0,0,0,0,74
"305","St. George, UT","76",76,0,0,0,0,96
"306","St. Joseph, MO-KS","3",3,0,0,0,0,50
"307","St. Louis,  MO-IL","426",377,12,11,26,4,100
"308","State College, PA","19",19,0,0,0,0,69
"309","Stockton,  CA","46",46,0,0,0,0,100
"310","Sumter,  SC","31",31,0,0,0,0,100
"311","Syracuse, NY","24",24,0,0,0,0,63
"312","Tallahassee, FL","117",80,2,4,31,3,100
"313","Tampa-St. Petersburg-Clearwater,  FL","632",477,22,15,118,8,NA
"314","Texarkana, TX-Texarkana, AR","8",8,0,0,0,0,100
"315","Toledo, OH","60",44,8,0,8,1,88
"316","Topeka, KS","30",30,0,0,0,0,86
"317","Trenton-Ewing,  NJ","47",17,0,0,30,1,100
"318","Tucson,  AZ","248",230,6,4,8,1,100
"319","Tulsa,  OK","339",269,32,0,38,1,100
"320","Tuscaloosa, AL","125",41,0,0,84,5,94
"321","Tyler, TX","21",15,0,0,6,1,74
"322","Utica-Rome, NY","1",1,0,0,0,0,5
"323","Valdosta, GA","65",57,0,0,8,1,91
"324","Vallejo-Fairfield, CA","13",13,0,0,0,0,82
"325","Victoria, TX","5",5,0,0,0,0,60
"326","Vineland-Millville-Bridgeton,  NJ","18",18,0,0,0,0,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","407",375,4,4,24,4,NA
"328","Waco, TX","79",55,0,0,24,4,69
"329","Warner Robins, GA","54",54,0,0,0,0,70
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1431",846,12,3,570,16,NA
"331","Wausau, WI","39",17,2,0,20,1,67
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,0
"333","Wenatchee, WA","33",14,0,0,19,2,70
"334","Wheeling, WV-OH","0",0,0,0,0,0,57
"335","Wichita Falls, TX","14",12,2,0,0,0,75
"336","Wichita, KS","175",125,2,0,48,1,91
"337","Williamsport, PA","0",0,0,0,0,0,9
"338","Wilmington,  NC","458",280,0,4,174,9,100
"339","Winchester, VA-WV","33",33,0,0,0,0,91
"340","Winston-Salem, NC","125",125,0,0,0,0,89
"341","Worcester, MA","28",28,0,0,0,0,72
"342","Yakima, WA","12",12,0,0,0,0,45
"343","York-Hanover, PA","78",73,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","16",14,2,0,0,0,97
"345","Yuba City, CA","69",9,0,0,60,7,95
"346","Yuma, AZ","58",58,0,0,0,0,91
