"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","2037",982,28,4,1023,78
"251","Terre Haute* IN MSA","8",8,0,0,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","22",22,0,0,0,0
"253","Toledo* OH MSA","143",111,0,4,28,1
"254","Topeka* KS MSA","53",48,0,0,5,1
"255","Tucson* AZ MSA","553",551,2,0,0,0
"256","Tulsa* OK MSA","255",244,0,4,7,1
"257","Tuscaloosa* AL MSA","70",57,0,0,13,2
"258","Tyler* TX MSA","35",24,0,3,8,1
"259","Utica-Rome* NY MSA","6",6,0,0,0,0
"260","Victoria* TX MSA","7",7,0,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","125",113,0,0,12,1
"262","Waco* TX MSA","36",36,0,0,0,0
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","3440",2708,4,3,725,39
"264","Waterloo-Cedar Falls* IA MSA","14",12,2,0,0,0
"265","Wausau* WI MSA","32",32,0,0,0,0
"266","West Palm Beach-Boca Raton  FL MSA","1124",603,2,4,515,37
"267","Wheeling* WV-OH MSA","1",1,0,0,0,0
"268","Wichita* KS MSA","116",112,4,0,0,0
"269","Wichita Falls* TX MSA","23",15,0,0,8,1
"270","Wilmington* NC MSA","177",153,0,0,24,2
"271","Yakima* WA MSA","38",22,4,12,0,0
"272","York* PA MSA","121",101,4,8,8,1
"273","Youngstown-Warren* OH MSA","481",463,4,14,0,0
"274","Yuba City* CA MSA","24",24,0,0,0,0
"275","Yuma* AZ MSA","78",78,0,0,0,0
