"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"286","Santa Fe,  NM","16",16,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","29",29,0,0,0,0,92
"288","Savannah, GA","429",173,0,0,256,9,87
"289","Scranton--Wilkes-Barre, PA","20",20,0,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1485",627,46,58,754,21,100
"291","Sebastian-Vero Beach,  FL","46",46,0,0,0,0,100
"292","Sheboygan, WI","6",6,0,0,0,0,47
"293","Sherman-Denison, TX","1",1,0,0,0,0,2
"294","Shreveport-Bossier City, LA","104",104,0,0,0,0,98
"295","Sioux City, IA-NE-SD","17",17,0,0,0,0,96
"296","Sioux Falls, SD","148",102,14,0,32,4,88
"297","South Bend-Mishawaka, IN-MI","38",35,0,3,0,0,98
"298","Spartanburg, SC","114",114,0,0,0,0,94
"299","Spokane, WA","77",77,0,0,0,0,66
"300","Springfield, IL","16",12,4,0,0,0,53
"301","Springfield, MA","22",22,0,0,0,0,58
"302","Springfield, MO","165",78,6,0,81,4,83
"303","Springfield, OH","9",9,0,0,0,0,100
"304","St. Cloud, MN","44",39,0,0,5,1,74
"305","St. George, UT","89",80,0,0,9,1,96
"306","St. Joseph, MO-KS","7",7,0,0,0,0,0
"307","St. Louis,  MO-IL","550",503,8,11,28,3,100
"308","State College, PA","45",17,0,0,28,2,62
"309","Stockton,  CA","120",108,0,7,5,1,100
"310","Sumter,  SC","57",34,6,0,17,1,100
"311","Syracuse, NY","75",46,0,0,29,2,61
"312","Tallahassee, FL","127",81,4,0,42,2,100
"313","Tampa-St. Petersburg-Clearwater,  FL","956",353,10,6,587,13,NA
"314","Texarkana, TX-Texarkana, AR","8",8,0,0,0,0,100
"315","Toledo, OH","52",52,0,0,0,0,92
"316","Topeka, KS","36",30,0,6,0,0,90
"317","Trenton-Ewing,  NJ","82",28,0,3,51,2,100
"318","Tucson,  AZ","357",314,4,7,32,2,100
"319","Tulsa,  OK","258",258,0,0,0,0,100
"320","Tuscaloosa, AL","114",57,0,0,57,3,93
"321","Tyler, TX","21",16,0,0,5,1,79
"322","Utica-Rome, NY","2",2,0,0,0,0,5
"323","Valdosta, GA","94",54,0,0,40,2,87
"324","Vallejo-Fairfield, CA","54",49,0,0,5,1,92
"325","Victoria, TX","6",6,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","41",36,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","377",303,2,0,72,4,NA
"328","Waco, TX","41",41,0,0,0,0,77
"329","Warner Robins, GA","219",65,0,0,154,7,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1177",697,2,0,478,8,NA
"331","Wausau, WI","24",22,2,0,0,0,74
"332","Weirton-Steubenville, WV-OH","3",3,0,0,0,0,53
"333","Wenatchee, WA","50",50,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","12",10,2,0,0,0,89
"336","Wichita, KS","158",139,4,0,15,1,88
"337","Williamsport, PA","2",2,0,0,0,0,16
"338","Wilmington,  NC","408",331,2,4,71,5,100
"339","Winchester, VA-WV","53",53,0,0,0,0,84
"340","Winston-Salem, NC","157",157,0,0,0,0,90
"341","Worcester, MA","60",58,2,0,0,0,69
"342","Yakima, WA","26",26,0,0,0,0,40
"343","York-Hanover, PA","104",99,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","39",37,2,0,0,0,96
"345","Yuba City, CA","21",21,0,0,0,0,91
"346","Yuma, AZ","64",64,0,0,0,0,72
