"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"225","New Orleans-Metairie-Kenner,  LA","131",115,12,4,0,0,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","1496",523,18,42,913,47,NA
"227","Norwich-New London, CT","13",13,0,0,0,0,94
"228","Ocala,  FL","48",44,4,0,0,0,100
"229","Ocean City,  NJ","49",24,10,0,15,2,100
"230","Odessa,  TX","11",11,0,0,0,0,100
"231","Ogden-Clearfield, UT","85",70,0,3,12,2,84
"232","Oklahoma City,  OK","205",194,2,0,9,1,100
"233","Olympia, WA","65",35,0,0,30,4,82
"234","Omaha-Council Bluffs,  NE-IA","165",137,4,0,24,1,100
"235","Orlando-Kissimmee,  FL","452",221,2,6,223,2,100
"236","Oshkosh-Neenah, WI","14",12,2,0,0,0,83
"237","Owensboro, KY","10",10,0,0,0,0,97
"238","Oxnard-Thousand Oaks-Ventura, CA","26",10,0,3,13,1,97
"239","Palm Bay-Melbourne-Titusville,  FL","67",67,0,0,0,0,100
"240","Palm Coast, FL","13",13,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","27",25,2,0,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","5",5,0,0,0,0,0
"243","Pascagoula, MS","25",25,0,0,0,0,98
"244","Pensacola-Ferry Pass-Brent,  FL","87",87,0,0,0,0,100
"245","Peoria, IL","34",29,0,0,5,1,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","468",331,6,11,120,8,NA
"247","Pine Bluff, AR","2",2,0,0,0,0,89
"248","Pittsburgh,  PA","171",126,6,10,29,2,100
"249","Pittsfield, MA","1",1,0,0,0,0,19
"250","Pocatello, ID","11",7,0,4,0,0,92
"251","Port St. Lucie,  FL","36",29,0,0,7,1,100
"252","Portland-South Portland-Biddeford,  ME","69",51,0,0,18,1,89
"253","Portland-Vancouver-Beaverton,  OR-WA","285",164,0,16,105,9,NA
"254","Prescott, AZ","94",21,2,3,68,5,84
"255","Providence-New Bedford-Fall River,  RI-MA","90",80,2,0,8,1,86
"256","Provo-Orem, UT","46",40,0,6,0,0,97
"257","Pueblo,  CO","20",20,0,0,0,0,100
"258","Punta Gorda,  FL","12",12,0,0,0,0,100
"259","Racine, WI","10",10,0,0,0,0,69
"260","Raleigh-Cary,  NC","395",216,12,0,167,2,100
"261","Rapid City, SD","22",22,0,0,0,0,98
"262","Reading, PA","19",12,0,0,7,1,48
"263","Redding, CA","9",9,0,0,0,0,93
"264","Reno-Sparks,  NV","41",41,0,0,0,0,100
"265","Richmond,  VA","161",148,0,7,6,1,100
