"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"229","Ocean City,  NJ","41",32,4,0,5,1,100
"230","Odessa,  TX","25",25,0,0,0,0,100
"231","Ogden-Clearfield, UT","200",140,0,12,48,2,84
"232","Oklahoma City,  OK","410",378,4,0,28,2,100
"233","Olympia, WA","115",115,0,0,0,0,82
"234","Omaha-Council Bluffs,  NE-IA","333",303,4,4,22,2,100
"235","Orlando-Kissimmee,  FL","1603",495,0,0,1108,19,100
"236","Oshkosh-Neenah, WI","42",36,2,4,0,0,83
"237","Owensboro, KY","20",20,0,0,0,0,97
"238","Oxnard-Thousand Oaks-Ventura, CA","71",47,2,0,22,2,97
"239","Palm Bay-Melbourne-Titusville,  FL","179",130,0,0,49,3,100
"240","Palm Coast, FL","26",19,0,0,7,1,100
"241","Panama City-Lynn Haven, FL","42",42,0,0,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","18",18,0,0,0,0,0
"243","Pascagoula, MS","101",38,0,0,63,1,98
"244","Pensacola-Ferry Pass-Brent,  FL","105",105,0,0,0,0,100
"245","Peoria, IL","43",41,2,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","1080",654,40,10,376,15,NA
"247","Pine Bluff, AR","8",3,0,0,5,1,89
"248","Pittsburgh,  PA","335",300,4,10,21,4,100
"249","Pittsfield, MA","1",1,0,0,0,0,19
"250","Pocatello, ID","26",26,0,0,0,0,92
"251","Port St. Lucie,  FL","172",132,0,11,29,4,100
"252","Portland-South Portland-Biddeford,  ME","128",113,4,0,11,2,89
"253","Portland-Vancouver-Beaverton,  OR-WA","550",425,34,3,88,10,NA
"254","Prescott, AZ","57",57,0,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","170",134,12,0,24,2,86
"256","Provo-Orem, UT","125",84,0,30,11,2,97
"257","Pueblo,  CO","82",80,2,0,0,0,100
"258","Punta Gorda,  FL","24",24,0,0,0,0,100
"259","Racine, WI","22",22,0,0,0,0,69
"260","Raleigh-Cary,  NC","1537",720,0,0,817,30,100
"261","Rapid City, SD","57",52,0,0,5,1,98
"262","Reading, PA","41",41,0,0,0,0,48
"263","Redding, CA","36",28,2,0,6,1,93
