"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"224","Nashville-Davidson--Murfreesboro,  TN","521",487,2,0,32,4,NA
"225","New Orleans-Metairie-Kenner,  LA","263",239,24,0,0,0,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","20802",823,194,244,19541,363,NA
"227","Norwich-New London, CT","32",26,6,0,0,0,94
"228","Ocala,  FL","122",118,4,0,0,0,100
"229","Ocean City,  NJ","25",23,2,0,0,0,100
"230","Odessa,  TX","31",31,0,0,0,0,100
"231","Ogden-Clearfield, UT","221",142,0,6,73,1,84
"232","Oklahoma City,  OK","365",333,6,3,23,3,100
"233","Olympia, WA","116",114,2,0,0,0,82
"234","Omaha-Council Bluffs,  NE-IA","519",349,0,0,170,3,100
"235","Orlando-Kissimmee,  FL","1198",653,0,16,529,10,100
"236","Oshkosh-Neenah, WI","34",32,2,0,0,0,83
"237","Owensboro, KY","40",20,0,12,8,1,97
"238","Oxnard-Thousand Oaks-Ventura, CA","55",30,0,0,25,1,97
"239","Palm Bay-Melbourne-Titusville,  FL","288",134,2,4,148,21,100
"240","Palm Coast, FL","34",31,0,3,0,0,100
"241","Panama City-Lynn Haven, FL","41",39,2,0,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","8",8,0,0,0,0,0
"243","Pascagoula, MS","45",36,0,0,9,1,98
"244","Pensacola-Ferry Pass-Brent,  FL","111",99,0,0,12,1,100
"245","Peoria, IL","49",49,0,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","1119",611,8,3,497,23,NA
"247","Pine Bluff, AR","9",4,0,0,5,1,89
"248","Pittsburgh,  PA","377",250,4,7,116,7,100
"249","Pittsfield, MA","2",2,0,0,0,0,19
"250","Pocatello, ID","26",26,0,0,0,0,92
"251","Port St. Lucie,  FL","135",110,0,7,18,3,100
"252","Portland-South Portland-Biddeford,  ME","150",109,2,3,36,3,89
"253","Portland-Vancouver-Beaverton,  OR-WA","801",438,2,9,352,12,NA
"254","Prescott, AZ","66",64,2,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","186",109,8,3,66,4,86
"256","Provo-Orem, UT","129",126,0,3,0,0,97
"257","Pueblo,  CO","24",24,0,0,0,0,100
"258","Punta Gorda,  FL","44",35,2,7,0,0,100
"259","Racine, WI","25",25,0,0,0,0,69
"260","Raleigh-Cary,  NC","925",747,2,0,176,28,100
"261","Rapid City, SD","41",41,0,0,0,0,98
"262","Reading, PA","42",42,0,0,0,0,48
"263","Redding, CA","39",39,0,0,0,0,93
"264","Reno-Sparks,  NV","109",107,2,0,0,0,100
"265","Richmond,  VA","377",362,2,8,5,1,100
"266","Riverside-San Bernardino-Ontario,  CA","1338",766,6,15,551,27,NA
"267","Rochester, MN","46",46,0,0,0,0,87
"268","Rochester, NY","116",106,0,0,10,2,62
"269","Rockford, IL","29",29,0,0,0,0,97
"270","Rocky Mount, NC","22",22,0,0,0,0,78
"271","Rome, GA","18",16,2,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","896",484,2,0,410,5,NA
"273","Salem, OR","144",59,2,0,83,7,85
"274","Salinas, CA","77",54,0,0,23,3,92
"275","Salisbury, MD","26",15,0,0,11,1,67
"276","Salt Lake City,  UT","313",165,4,7,137,8,100
"277","San Angelo,  TX","17",17,0,0,0,0,100
"278","San Antonio,  TX","716",614,14,18,70,5,100
"279","San Diego-Carlsbad-San Marcos,  CA","924",299,24,28,573,5,100
"280","San Francisco-Oakland-Fremont,  CA","386",271,10,11,94,12,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","189",140,0,0,49,7,100
"282","San Luis Obispo-Paso Robles, CA","66",56,4,0,6,1,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","31",31,0,0,0,0,71
"285","Santa Cruz-Watsonville, CA","26",9,2,3,12,1,64
"286","Santa Fe,  NM","16",16,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","32",32,0,0,0,0,92
"288","Savannah, GA","156",156,0,0,0,0,87
"289","Scranton--Wilkes-Barre, PA","28",26,2,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1849",589,70,43,1147,25,100
"291","Sebastian-Vero Beach,  FL","46",46,0,0,0,0,100
"292","Sheboygan, WI","10",10,0,0,0,0,47
"293","Sherman-Denison, TX","0",0,0,0,0,0,2
"294","Shreveport-Bossier City, LA","94",88,6,0,0,0,98
"295","Sioux City, IA-NE-SD","11",7,4,0,0,0,96
"296","Sioux Falls, SD","237",76,8,0,153,6,88
"297","South Bend-Mishawaka, IN-MI","34",28,0,6,0,0,98
"298","Spartanburg, SC","106",106,0,0,0,0,94
"299","Spokane, WA","106",106,0,0,0,0,66
"300","Springfield, IL","16",12,4,0,0,0,53
"301","Springfield, MA","30",30,0,0,0,0,58
"302","Springfield, MO","187",70,4,4,109,5,83
"303","Springfield, OH","5",5,0,0,0,0,100
"304","St. Cloud, MN","122",57,0,0,65,3,74
"305","St. George, UT","62",62,0,0,0,0,96
"306","St. Joseph, MO-KS","5",5,0,0,0,0,0
"307","St. Louis,  MO-IL","612",496,6,0,110,11,100
"308","State College, PA","15",15,0,0,0,0,62
"309","Stockton,  CA","102",102,0,0,0,0,100
"310","Sumter,  SC","55",32,4,0,19,1,100
"311","Syracuse, NY","52",50,2,0,0,0,61
"312","Tallahassee, FL","148",98,2,0,48,2,100
"313","Tampa-St. Petersburg-Clearwater,  FL","939",335,4,18,582,25,NA
"314","Texarkana, TX-Texarkana, AR","23",13,2,0,8,1,100
"315","Toledo, OH","58",53,0,0,5,1,92
"316","Topeka, KS","26",24,2,0,0,0,90
"317","Trenton-Ewing,  NJ","28",28,0,0,0,0,100
"318","Tucson,  AZ","311",297,2,3,9,1,100
"319","Tulsa,  OK","297",297,0,0,0,0,100
"320","Tuscaloosa, AL","117",49,0,0,68,4,93
"321","Tyler, TX","21",16,0,0,5,1,79
"322","Utica-Rome, NY","1",1,0,0,0,0,5
"323","Valdosta, GA","63",56,2,0,5,1,87
"324","Vallejo-Fairfield, CA","52",52,0,0,0,0,92
"325","Victoria, TX","6",6,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","65",31,0,3,31,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","953",303,2,16,632,25,NA
"328","Waco, TX","31",29,2,0,0,0,77
"329","Warner Robins, GA","60",60,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1295",940,0,0,355,11,NA
"331","Wausau, WI","21",19,2,0,0,0,74
"332","Weirton-Steubenville, WV-OH","4",4,0,0,0,0,53
"333","Wenatchee, WA","33",33,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","48",9,2,3,34,2,89
"336","Wichita, KS","219",163,2,0,54,1,88
"337","Williamsport, PA","0",0,0,0,0,0,16
"338","Wilmington,  NC","314",314,0,0,0,0,100
"339","Winchester, VA-WV","47",47,0,0,0,0,84
"340","Winston-Salem, NC","118",116,2,0,0,0,90
"341","Worcester, MA","72",55,0,4,13,1,69
"342","Yakima, WA","15",15,0,0,0,0,40
"343","York-Hanover, PA","100",69,0,0,31,3,79
"344","Youngstown-Warren-Boardman, OH-PA","32",30,2,0,0,0,96
"345","Yuba City, CA","16",16,0,0,0,0,91
"346","Yuma, AZ","72",70,2,0,0,0,72
