"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"220","Morristown, TN","42",37,2,3,0,0
"221","Mount Vernon-Anacortes, WA","61",61,0,0,0,0
"222","Muncie, IN","10",10,0,0,0,0
"223","Muskegon-Norton Shores, MI","33",27,6,0,0,0
"224","Myrtle Beach-Conway-North Myrtle Beach,  SC","865",659,0,0,206,9
"225","Napa, CA","9",9,0,0,0,0
"226","Naples-Marco Island,* FL","320",198,0,64,58,8
"227","Nashville-Davidson--Murfreesboro,*  TN","1462",1269,28,0,165,12
"228","New Haven-Milford, CT","187",84,14,0,89,3
"229","New Orleans-Metairie-Kenner,* LA","442",417,16,0,9,1
"230","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","6228",1585,686,845,3112,97
"231","Niles-Benton Harbor, MI","9",9,0,0,0,0
"232","Norwich-New London, CT","78",68,4,0,6,1
"233","Ocala,* FL","706",664,18,11,13,2
"234","Ocean City,* NJ","81",39,16,15,11,2
"235","Odessa,* TX","22",22,0,0,0,0
"236","Ogden-Clearfield, UT","446",446,0,0,0,0
"237","Oklahoma City,* OK","721",703,2,0,16,1
"238","Olympia, WA","470",290,2,0,178,11
"239","Omaha-Council Bluffs,* NE-IA","542",406,4,0,132,3
"240","Orlando-Kissimmee,* FL","2995",2419,4,38,534,30
"241","Oshkosh-Neenah, WI","53",33,6,8,6,1
"242","Owensboro, KY","42",40,2,0,0,0
"243","Oxnard-Thousand Oaks-Ventura, CA","249",201,2,7,39,1
"244","Palm Bay-Melbourne-Titusville,* FL","389",340,2,0,47,4
"245","Panama City-Lynn Haven, FL","407",69,4,0,334,14
"246","Parkersburg-Marietta-Vienna, WV-OH","22",22,0,0,0,0
"247","Pascagoula, MS","97",77,4,16,0,0
"248","Pensacola-Ferry Pass-Brent,* FL","192",192,0,0,0,0
"249","Peoria, IL","93",51,10,0,32,2
"250","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1579",1115,6,16,442,17
"251","Phoenix-Mesa-Scottsdale,* AZ","4538",3800,4,54,680,51
"252","Pine Bluff, AR","13",8,0,0,5,1
"253","Pittsburgh,* PA","557",467,16,12,62,6
"254","Pittsfield, MA","3",3,0,0,0,0
"255","Pocatello, ID","53",49,4,0,0,0
"256","Port St. Lucie-Fort Pierce,* FL","527",480,0,10,37,3
"257","Portland-South Portland-Biddeford,  ME","242",210,14,10,8,1
"258","Portland-Vancouver-Beaverton,* OR-WA","1694",1031,14,20,629,NA
"259","Prescott, AZ","230",216,10,4,0,0
"260","Providence-New Bedford-Fall River,  RI-MA","335",247,34,10,44,4
"261","Provo-Orem, UT","631",561,8,12,50,5
"262","Pueblo,* CO","119",115,4,0,0,0
"263","Punta Gorda,* FL","325",239,8,16,62,5
"264","Racine, WI","47",47,0,0,0,0
"265","Raleigh-Cary,* NC","1986",1385,2,8,591,28
"266","Rapid City, SD","122",68,0,0,54,4
"267","Reading, PA","51",49,2,0,0,0
"268","Redding, CA","79",63,0,16,0,0
"269","Reno-Sparks,* NV","486",351,0,11,124,11
"270","Richmond,* VA","714",695,2,12,5,1
"271","Riverside-San Bernardino-Ontario,*  CA","4428",3750,70,95,513,44
"272","Roanoke, VA","124",117,2,0,5,1
"273","Rochester, MN","99",71,0,0,28,1
"274","Rochester, NY","147",135,4,8,0,0
"275","Rockford, IL","164",150,14,0,0,0
"276","Rocky Mount, NC","58",50,4,4,0,0
"277","Rome, GA","49",35,6,0,8,1
"278","Sacramento--Arden-Arcade--Roseville,*  CA","1267",1064,6,0,197,10
"279","Saginaw-Saginaw Township North, MI","11",9,2,0,0,0
"280","Salem, OR","160",133,4,0,23,3
"281","Salinas, CA","62",58,0,4,0,0
"282","Salisbury, MD","162",73,0,0,89,5
"283","Salt Lake City,* UT","877",754,12,13,98,4
"284","San Angelo,* TX","32",32,0,0,0,0
"285","San Antonio,* TX","1820",1475,2,0,343,13
"286","San Diego-Carlsbad-San Marcos,* CA","1350",420,34,46,850,34
"287","San Francisco-Oakland-Fremont,* CA","1245",663,18,35,529,18
"288","San Jose-Sunnyvale-Santa Clara,* CA","323",233,2,0,88,5
"289","San Luis Obispo-Paso Robles, CA","257",198,24,15,20,4
"290","Sandusky, OH","0",0,0,0,0,0
"291","Santa Barbara-Santa Maria, CA","49",44,0,0,5,1
"292","Santa Cruz-Watsonville, CA","30",26,0,4,0,0
"293","Santa Fe,* NM","45",45,0,0,0,0
"294","Santa Rosa-Petaluma, CA","130",85,4,7,34,2
"295","Sarasota-Bradenton-Venice,* FL","584",523,6,11,44,5
"296","Savannah, GA","337",320,4,3,10,2
"297","Scranton--Wilkes-Barre, PA","34",34,0,0,0,0
"298","Seattle-Tacoma-Bellevue,* WA","2325",1450,60,38,777,25
"299","Sebastian-Vero Beach,* FL","220",200,0,4,16,2
"300","Sheboygan, WI","23",17,6,0,0,0
"301","Sherman-Denison, TX","2",2,0,0,0,0
"302","Shreveport-Bossier City, LA","201",146,12,0,43,2
"303","Sioux City, IA-NE-SD","21",21,0,0,0,0
"304","Sioux Falls, SD","161",149,4,0,8,1
"305","South Bend-Mishawaka, IN-MI","55",46,2,0,7,1
"306","Spartanburg, SC","180",180,0,0,0,0
"307","Spokane, WA","394",197,0,0,197,11
"308","Springfield, IL","27",17,10,0,0,0
"309","Springfield, MA","79",67,12,0,0,0
"310","Springfield, MO","242",150,6,0,86,6
"311","Springfield, OH","42",42,0,0,0,0
"312","St. Cloud, MN","98",92,0,0,6,1
"313","St. George, UT","209",201,0,8,0,0
"314","St. Joseph, MO-KS","12",10,2,0,0,0
"315","St. Louis,* MO-IL","1152",989,28,16,119,5
"316","State College, PA","41",37,4,0,0,0
"317","Stockton,* CA","304",296,0,8,0,0
"318","Sumter,* SC","52",48,4,0,0,0
"319","Syracuse, NY","98",87,0,0,11,1
"320","Tallahassee, FL","330",217,2,16,95,4
"321","Tampa-St. Petersburg-Clearwater,* FL","2098",1865,12,94,127,NA
"322","Texarkana, TX-Texarkana, AR","21",21,0,0,0,0
"323","Toledo, OH","237",165,6,0,66,3
"324","Topeka, KS","70",70,0,0,0,0
"325","Trenton-Ewing,* NJ","196",87,18,0,91,3
"326","Tucson,* AZ","827",792,14,7,14,2
"327","Tulsa,* OK","451",449,2,0,0,0
"328","Tuscaloosa, AL","131",96,0,0,35,2
"329","Tyler, TX","49",38,0,3,8,1
"330","Utica-Rome, NY","3",3,0,0,0,0
"331","Valdosta, GA","136",132,4,0,0,0
"332","Vallejo-Fairfield, CA","110",102,0,8,0,0
"333","Victoria, TX","11",11,0,0,0,0
"334","Vineland-Millville-Bridgeton,* NJ","76",73,0,3,0,0
"335","Virginia Beach-Norfolk-Newport News,*  VA-NC","630",438,22,24,146,13
"336","Visalia-Porterville, CA","302",298,0,4,0,0
"337","Waco, TX","47",47,0,0,0,0
"338","Warner Robins, GA","103",103,0,0,0,0
"339","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","2379",1830,6,0,543,13
"340","Waterloo-Cedar Falls, IA","47",33,4,0,10,1
"341","Wausau, WI","45",43,2,0,0,0
"342","Weirton-Steubenville, WV-OH","4",4,0,0,0,0
"343","Wenatchee, WA","71",67,4,0,0,0
"344","Wheeling, WV-OH","0",0,0,0,0,0
"345","Wichita Falls, TX","26",26,0,0,0,0
"346","Wichita, KS","609",245,28,0,336,10
"347","Williamsport, PA","2",2,0,0,0,0
"348","Wilmington,* NC","615",566,2,0,47,2
"349","Winchester, VA-WV","152",152,0,0,0,0
"350","Winston-Salem, NC","452",251,0,0,201,14
"351","Worcester, MA","162",135,12,10,5,1
"352","Yakima, WA","32",32,0,0,0,0
"353","York-Hanover, PA","204",175,0,24,5,1
"354","Youngstown-Warren-Boardman, OH-PA","86",81,2,3,0,0
"355","Yuba City, CA","67",67,0,0,0,0
"356","Yuma, AZ","134",127,2,0,5,1
