"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"220","Muskegon-Norton Shores, MI","5",5,0,0,0,0,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","700",162,0,0,538,17,99
"222","Napa, CA","31",31,0,0,0,0,69
"223","Naples-Marco Island,  FL","110",76,0,28,6,1,100
"224","Nashville-Davidson--Murfreesboro,  TN","703",495,2,3,203,14,NA
"225","New Orleans-Metairie-Kenner,  LA","341",257,20,0,64,5,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","3334",727,262,197,2148,71,NA
"227","Norwich-New London, CT","35",27,8,0,0,0,94
"228","Ocala,  FL","149",149,0,0,0,0,100
"229","Ocean City,  NJ","33",27,0,6,0,0,100
"230","Odessa,  TX","59",29,0,0,30,1,100
"231","Ogden-Clearfield, UT","208",126,0,0,82,4,84
"232","Oklahoma City,  OK","359",332,2,0,25,1,100
"233","Olympia, WA","94",88,6,0,0,0,82
"234","Omaha-Council Bluffs,  NE-IA","477",382,0,0,95,4,100
"235","Orlando-Kissimmee,  FL","641",620,6,0,15,2,100
"236","Oshkosh-Neenah, WI","44",42,2,0,0,0,83
"237","Owensboro, KY","29",29,0,0,0,0,97
"238","Oxnard-Thousand Oaks-Ventura, CA","38",18,0,0,20,2,97
"239","Palm Bay-Melbourne-Titusville,  FL","151",139,0,0,12,2,100
"240","Palm Coast, FL","258",34,0,0,224,7,100
"241","Panama City-Lynn Haven, FL","35",31,0,4,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","65",17,0,0,48,6,0
"243","Pascagoula, MS","50",30,0,3,17,1,98
"244","Pensacola-Ferry Pass-Brent,  FL","87",87,0,0,0,0,100
"245","Peoria, IL","134",38,0,0,96,2,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","711",602,8,15,86,10,NA
"247","Pine Bluff, AR","11",9,2,0,0,0,89
"248","Pittsburgh,  PA","311",280,14,7,10,2,100
"249","Pittsfield, MA","2",2,0,0,0,0,19
"250","Pocatello, ID","17",14,0,3,0,0,92
"251","Port St. Lucie,  FL","54",54,0,0,0,0,100
"252","Portland-South Portland-Biddeford,  ME","114",96,8,0,10,2,89
"253","Portland-Vancouver-Beaverton,  OR-WA","972",416,10,4,542,14,NA
"254","Prescott, AZ","42",42,0,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","159",133,12,4,10,2,86
"256","Provo-Orem, UT","139",84,0,7,48,4,97
"257","Pueblo,  CO","38",34,4,0,0,0,100
"258","Punta Gorda,  FL","76",54,4,0,18,1,100
"259","Racine, WI","23",23,0,0,0,0,69
"260","Raleigh-Cary,  NC","2850",769,4,3,2074,54,100
"261","Rapid City, SD","66",66,0,0,0,0,98
"262","Reading, PA","23",23,0,0,0,0,48
"263","Redding, CA","27",22,0,0,5,1,93
"264","Reno-Sparks,  NV","81",54,2,0,25,5,100
"265","Richmond,  VA","447",387,2,8,50,3,100
"266","Riverside-San Bernardino-Ontario,  CA","817",659,8,26,124,15,NA
"267","Rochester, MN","100",33,0,0,67,1,87
"268","Rochester, NY","112",96,4,12,0,0,62
"269","Rockford, IL","36",32,4,0,0,0,97
"270","Rocky Mount, NC","34",32,2,0,0,0,78
"271","Rome, GA","44",12,2,0,30,1,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","414",362,2,0,50,3,NA
"273","Salem, OR","55",45,2,0,8,1,85
"274","Salinas, CA","29",13,2,0,14,2,92
"275","Salisbury, MD","33",19,0,0,14,1,67
"276","Salt Lake City,  UT","375",170,4,3,198,13,100
"277","San Angelo,  TX","18",18,0,0,0,0,100
"278","San Antonio,  TX","754",641,4,52,57,3,100
"279","San Diego-Carlsbad-San Marcos,  CA","331",171,4,4,152,2,100
"280","San Francisco-Oakland-Fremont,  CA","537",259,6,16,256,4,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","178",100,0,4,74,9,100
"282","San Luis Obispo-Paso Robles, CA","74",67,0,0,7,1,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","11",11,0,0,0,0,71
"285","Santa Cruz-Watsonville, CA","49",31,0,0,18,1,64
"286","Santa Fe,  NM","13",13,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","69",40,8,4,17,1,92
"288","Savannah, GA","168",103,0,0,65,3,87
"289","Scranton--Wilkes-Barre, PA","21",18,0,3,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1116",590,68,83,375,19,100
"291","Sebastian-Vero Beach,  FL","59",59,0,0,0,0,100
"292","Sheboygan, WI","11",6,0,0,5,1,47
"293","Sherman-Denison, TX","0",0,0,0,0,0,2
"294","Shreveport-Bossier City, LA","94",86,8,0,0,0,98
"295","Sioux City, IA-NE-SD","13",13,0,0,0,0,96
"296","Sioux Falls, SD","228",131,8,8,81,8,88
"297","South Bend-Mishawaka, IN-MI","30",30,0,0,0,0,98
"298","Spartanburg, SC","106",106,0,0,0,0,94
"299","Spokane, WA","73",60,0,0,13,1,66
"300","Springfield, IL","21",10,8,3,0,0,53
"301","Springfield, MA","39",35,4,0,0,0,58
"302","Springfield, MO","189",88,16,0,85,2,83
"303","Springfield, OH","12",12,0,0,0,0,100
"304","St. Cloud, MN","36",31,0,0,5,1,74
"305","St. George, UT","63",60,0,3,0,0,96
"306","St. Joseph, MO-KS","5",5,0,0,0,0,0
"307","St. Louis,  MO-IL","534",460,10,30,34,5,100
"308","State College, PA","30",30,0,0,0,0,62
"309","Stockton,  CA","85",85,0,0,0,0,100
"310","Sumter,  SC","57",31,2,0,24,1,100
"311","Syracuse, NY","86",62,0,0,24,1,61
"312","Tallahassee, FL","141",79,2,0,60,1,100
"313","Tampa-St. Petersburg-Clearwater,  FL","570",518,10,30,12,2,NA
"314","Texarkana, TX-Texarkana, AR","20",7,2,0,11,1,100
"315","Toledo, OH","61",50,0,6,5,1,92
"316","Topeka, KS","33",33,0,0,0,0,90
"317","Trenton-Ewing,  NJ","48",32,2,0,14,1,100
"318","Tucson,  AZ","282",266,4,3,9,1,100
"319","Tulsa,  OK","256",256,0,0,0,0,100
"320","Tuscaloosa, AL","42",42,0,0,0,0,93
"321","Tyler, TX","22",15,0,0,7,1,79
"322","Utica-Rome, NY","2",2,0,0,0,0,5
"323","Valdosta, GA","64",51,2,0,11,2,87
"324","Vallejo-Fairfield, CA","261",33,0,0,228,7,92
"325","Victoria, TX","6",6,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","40",35,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","345",255,6,0,84,8,NA
"328","Waco, TX","84",34,2,0,48,1,77
"329","Warner Robins, GA","52",52,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1320",846,6,0,468,10,NA
"331","Wausau, WI","82",14,0,0,68,1,74
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,53
"333","Wenatchee, WA","37",37,0,0,0,0,72
