"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"276","Rocky Mount, NC","49",47,2,0,0,0
"277","Rome,* GA","42",31,6,0,5,1
"278","Sacramento--Arden-Arcade--Roseville,*  CA","1087",987,8,10,82,7
"279","Saginaw-Saginaw Township North, MI","15",15,0,0,0,0
"280","Salem,* OR","87",77,2,8,0,0
"281","Salinas, CA","109",104,0,0,5,1
"282","Salisbury, MD","65",51,0,0,14,1
"283","Salt Lake City,* UT","893",547,4,12,330,17
"284","San Angelo, TX","20",20,0,0,0,0
"285","San Antonio, TX","1457",1092,8,3,354,15
"286","San Diego-Carlsbad-San Marcos,* CA","600",348,2,66,184,18
"287","San Francisco-Oakland-Fremont,* CA","1673",439,8,16,1210,21
"288","San Jose-Sunnyvale-Santa Clara,* CA","343",200,0,16,127,7
"289","San Luis Obispo-Paso Robles,* CA","194",113,0,0,81,13
"290","Sandusky, OH","0",0,0,0,0,0
"291","Santa Barbara-Santa Maria-Goleta,  CA","38",29,0,4,5,1
"292","Santa Cruz-Watsonville, CA","30",28,2,0,0,0
"293","Santa Fe,* NM","39",39,0,0,0,0
"294","Santa Rosa-Petaluma, CA","219",106,4,0,109,12
"295","Sarasota-Bradenton-Venice,* FL","988",856,6,22,104,13
"296","Savannah, GA","208",192,0,0,16,3
"297","Scranton--Wilkes-Barre, PA","36",33,0,3,0,0
"298","Seattle-Tacoma-Bellevue,* WA","2503",1304,60,32,1107,38
"299","Sheboygan, WI","39",33,2,4,0,0
"300","Sherman-Denison, TX","3",3,0,0,0,0
"301","Shreveport-Bossier City, LA","260",127,0,0,133,9
"302","Sioux City, IA-NE-SD","18",16,2,0,0,0
"303","Sioux Falls, SD","102",96,2,4,0,0
"304","South Bend-Mishawaka, IN-MI","65",65,0,0,0,0
"305","Spartanburg, SC","193",193,0,0,0,0
"306","Spokane, WA","217",171,14,0,32,1
"307","Springfield, IL","24",16,8,0,0,0
"308","Springfield, MA","84",73,6,0,5,1
"309","Springfield, MO","263",239,0,0,24,1
"310","Springfield, OH","24",24,0,0,0,0
"311","St. Cloud, MN","87",75,0,0,12,2
"312","St. George, UT","217",205,2,0,10,1
