"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"258","Port St. Lucie,* FL","202",138,0,0,64,4
"259","Portland-South Portland-Biddeford,  ME","114",102,4,3,5,1
"260","Portland-Vancouver-Beaverton,* OR-WA","1655",728,38,13,876,NA
"261","Prescott, AZ","126",118,8,0,0,0
"262","Providence-New Bedford-Fall River,  RI-MA","440",108,18,19,295,11
"263","Provo-Orem, UT","395",365,2,16,12,1
"264","Pueblo,* CO","77",75,2,0,0,0
"265","Punta Gorda,* FL","115",107,8,0,0,0
"266","Racine, WI","21",21,0,0,0,0
"267","Raleigh-Cary,* NC","1118",1025,0,9,84,2
"268","Rapid City, SD","35",27,0,8,0,0
"269","Reading, PA","41",36,0,0,5,1
"270","Redding, CA","34",32,2,0,0,0
"271","Reno-Sparks,* NV","222",181,2,0,39,1
"272","Richmond,* VA","531",516,0,4,11,2
"273","Riverside-San Bernardino-Ontario,*  CA","1871",1538,22,12,299,27
"274","Roanoke, VA","67",67,0,0,0,0
"275","Rochester, MN","90",24,0,0,66,1
"276","Rochester, NY","54",52,2,0,0,0
"277","Rockford, IL","85",69,6,0,10,2
"278","Rocky Mount, NC","59",53,2,4,0,0
"279","Rome, GA","34",26,4,4,0,0
"280","Sacramento--Arden-Arcade--Roseville,*  CA","858",727,4,24,103,14
"281","Saginaw-Saginaw Township North, MI","9",9,0,0,0,0
"282","Salem, OR","99",76,4,3,16,2
"283","Salinas, CA","16",16,0,0,0,0
"284","Salisbury, MD","38",14,0,0,24,1
"285","Salt Lake City,* UT","637",283,6,11,337,15
"286","San Angelo,* TX","22",22,0,0,0,0
"287","San Antonio,* TX","1761",896,30,36,799,26
"288","San Diego-Carlsbad-San Marcos,* CA","554",314,16,13,211,11
"289","San Francisco-Oakland-Fremont,* CA","597",422,4,19,152,11
"290","San Jose-Sunnyvale-Santa Clara,* CA","320",229,10,0,81,11
"291","San Luis Obispo-Paso Robles, CA","57",57,0,0,0,0
"292","Sandusky, OH","0",0,0,0,0,0
"293","Santa Barbara-Santa Maria-Goleta,  CA","62",25,2,3,32,4
"294","Santa Cruz-Watsonville, CA","15",15,0,0,0,0
"295","Santa Fe,* NM","25",25,0,0,0,0
"296","Santa Rosa-Petaluma, CA","128",70,22,3,33,2
"297","Sarasota-Bradenton-Venice,* FL","199",181,4,8,6,1
"298","Savannah, GA","346",225,0,3,118,7
"299","Scranton--Wilkes-Barre, PA","18",18,0,0,0,0
"300","Seattle-Tacoma-Bellevue,* WA","2802",1108,102,83,1509,25
"301","Sebastian-Vero Beach,* FL","175",166,0,4,5,1
"302","Sheboygan, WI","6",4,2,0,0,0
"303","Sherman-Denison, TX","1",1,0,0,0,0
"304","Shreveport-Bossier City, LA","126",126,0,0,0,0
"305","Sioux City, IA-NE-SD","10",10,0,0,0,0
"306","Sioux Falls, SD","67",59,4,4,0,0
"307","South Bend-Mishawaka, IN-MI","38",38,0,0,0,0
"308","Spartanburg, SC","163",163,0,0,0,0
"309","Spokane, WA","118",114,0,4,0,0
"310","Springfield, IL","20",11,4,0,5,1
"311","Springfield, MA","39",35,4,0,0,0
"312","Springfield, MO","165",118,6,0,41,2
"313","Springfield, OH","6",6,0,0,0,0
"314","St. Cloud, MN","28",18,0,0,10,2
"315","St. George, UT","165",163,2,0,0,0
"316","St. Joseph, MO-KS","9",9,0,0,0,0
"317","St. Louis,* MO-IL","808",620,30,78,80,12
"318","State College, PA","16",16,0,0,0,0
"319","Stockton,* CA","270",249,0,0,21,2
"320","Sumter,* SC","34",30,4,0,0,0
"321","Syracuse, NY","28",28,0,0,0,0
"322","Tallahassee, FL","251",161,4,16,70,3
"323","Tampa-St. Petersburg-Clearwater,* FL","756",672,16,46,22,NA
"324","Texarkana, TX-Texarkana, AR","37",27,10,0,0,0
"325","Toledo, OH","46",46,0,0,0,0
"326","Topeka, KS","32",32,0,0,0,0
"327","Trenton-Ewing,* NJ","38",38,0,0,0,0
"328","Tucson,* AZ","540",507,12,11,10,1
"329","Tulsa,* OK","700",297,6,9,388,5
"330","Tuscaloosa, AL","99",95,0,4,0,0
"331","Tyler, TX","34",25,0,3,6,1
"332","Utica-Rome, NY","1",1,0,0,0,0
"333","Valdosta, GA","50",48,2,0,0,0
"334","Vallejo-Fairfield, CA","48",48,0,0,0,0
"335","Victoria, TX","6",6,0,0,0,0
"336","Vineland-Millville-Bridgeton,* NJ","37",35,2,0,0,0
"337","Virginia Beach-Norfolk-Newport News,*  VA-NC","694",391,12,21,270,23
"338","Visalia-Porterville, CA","223",187,4,8,24,3
"339","Waco, TX","67",53,6,8,0,0
"340","Warner Robins, GA","103",103,0,0,0,0
"341","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","2200",1616,0,11,573,10
"342","Waterloo-Cedar Falls, IA","7",5,2,0,0,0
"343","Wausau, WI","16",16,0,0,0,0
"344","Weirton-Steubenville, WV-OH","4",4,0,0,0,0
"345","Wenatchee, WA","32",32,0,0,0,0
"346","Wheeling, WV-OH","0",0,0,0,0,0
"347","Wichita Falls, TX","94",14,4,0,76,5
"348","Wichita, KS","141",135,6,0,0,0
"349","Williamsport, PA","2",2,0,0,0,0
"350","Wilmington,* NC","741",363,0,0,378,18
"351","Winchester, VA-WV","40",40,0,0,0,0
"352","Winston-Salem, NC","215",213,2,0,0,0
"353","Worcester, MA","50",50,0,0,0,0
"354","Yakima, WA","18",18,0,0,0,0
"355","York-Hanover, PA","71",67,4,0,0,0
"356","Youngstown-Warren-Boardman, OH-PA","61",16,2,11,32,4
"357","Yuba City, CA","66",66,0,0,0,0
"358","Yuma, AZ","71",71,0,0,0,0
