"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"321","Tucson,  AZ","157",138,4,3,12,2,100
"322","Tulsa,  OK","247",209,0,0,38,1,100
"323","Tuscaloosa, AL","29",27,2,0,0,0,93
"324","Tyler, TX","18",10,0,3,5,1,79
"325","Utica-Rome, NY","0",0,0,0,0,0,5
"326","Valdosta, GA","35",33,2,0,0,0,87
"327","Vallejo-Fairfield, CA","16",16,0,0,0,0,92
"328","Victoria, TX","3",3,0,0,0,0,55
"329","Vineland-Millville-Bridgeton,  NJ","24",21,0,3,0,0,100
"330","Virginia Beach-Norfolk-Newport News,  VA-NC","298",219,20,0,59,6,NA
"331","Waco, TX","27",25,2,0,0,0,77
"332","Warner Robins, GA","36",36,0,0,0,0,82
"333","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1057",764,0,4,289,6,NA
"334","Wausau, WI","34",4,2,0,28,2,74
"335","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,53
"336","Wenatchee-East Wenatchee, WA","20",20,0,0,0,0,72
"337","Wheeling, WV-OH","0",0,0,0,0,0,68
"338","Wichita Falls, TX","9",9,0,0,0,0,89
"339","Wichita, KS","264",92,4,0,168,15,88
"340","Williamsport, PA","1",1,0,0,0,0,16
"341","Wilmington,  NC","113",109,0,4,0,0,100
"342","Winchester, VA-WV","22",22,0,0,0,0,84
"343","Winston-Salem, NC","61",61,0,0,0,0,90
"344","Worcester, MA","33",31,2,0,0,0,69
"345","Yakima, WA","16",16,0,0,0,0,40
"346","York-Hanover, PA","58",53,0,0,5,1,79
"347","Youngstown-Warren-Boardman, OH-PA","16",14,2,0,0,0,96
"348","Yuba City, CA","21",21,0,0,0,0,91
"349","Yuma, AZ","42",42,0,0,0,0,72
