Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN090050,09,005,"Litchfield County, CT",2000,"99,272     ","97,333     ","1,939     ",2.0     
CN090070,09,007,"Middlesex County, CT",2000,"85,321     ","83,607     ","1,714     ",2.0     
CN090090,09,009,"New Haven County, CT",2000,"413,770     ","403,592     ","10,178     ",2.5     
CN090110,09,011,"New London County, CT",2000,"131,618     ","128,697     ","2,921     ",2.2     
CN090130,09,013,"Tolland County, CT",2000,"75,553     ","74,182     ","1,371     ",1.8     
CN090150,09,015,"Windham County, CT",2000,"57,491     ","56,054     ","1,437     ",2.5     
CN100010,10,001,"Kent County, DE",2000,"63,919     ","61,650     ","2,269     ",3.5     
CN100030,10,003,"New Castle County, DE",2000,"272,540     ","263,830     ","8,710     ",3.2     
PA100100,10,005,"Sussex County, DE",2000,"80,045     ","77,297     ","2,748     ",3.4     
PS110050,11,001,District of Columbia,2000,"309,421     ","291,916     ","17,505     ",5.7     
CN120010,12,001,"Alachua County, FL",2000,"116,195     ","112,700     ","3,495     ",3.0     
CN120030,12,003,"Baker County, FL",2000,"10,396     ","10,083     ",313     ,3.0     
PA121150,12,005,"Bay County, FL",2000,"71,998     ","68,658     ","3,340     ",4.6     
CN120070,12,007,"Bradford County, FL",2000,"10,585     ","10,188     ",397     ,3.8     
PS120030,12,009,"Brevard County, FL",2000,"232,007     ","223,587     ","8,420     ",3.6     
PS120050,12,011,"Broward County, FL",2000,"855,214     ","824,113     ","31,101     ",3.6     
CN120130,12,013,"Calhoun County, FL",2000,"5,154     ","4,911     ",243     ,4.7     
CN120150,12,015,"Charlotte County, FL",2000,"55,163     ","53,120     ","2,043     ",3.7     
PA121550,12,017,"Citrus County, FL",2000,"43,743     ","41,699     ","2,044     ",4.7     
PA121450,12,019,"Clay County, FL",2000,"73,871     ","71,638     ","2,233     ",3.0     
PA121400,12,021,"Collier County, FL",2000,"116,109     ","111,798     ","4,311     ",3.7     
CN120230,12,023,"Columbia County, FL",2000,"25,680     ","24,671     ","1,009     ",3.9     
CN120270,12,027,"DeSoto County, FL",2000,"13,277     ","12,688     ",589     ,4.4     
CN120290,12,029,"Dixie County, FL",2000,"5,129     ","4,901     ",228     ,4.4     
PA120600,12,031,"Duval County, FL",2000,"408,336     ","394,803     ","13,533     ",3.3     
PS120100,12,033,"Escambia County, FL",2000,"132,487     ","127,149     ","5,338     ",4.0     
CN120350,12,035,"Flagler County, FL",2000,"21,008     ","20,255     ",753     ,3.6     
CN120370,12,037,"Franklin County, FL",2000,"4,414     ","4,240     ",174     ,3.9     
CN120390,12,039,"Gadsden County, FL",2000,"19,954     ","19,155     ",799     ,4.0     
CN120410,12,041,"Gilchrist County, FL",2000,"6,430     ","6,200     ",230     ,3.6     
CN120430,12,043,"Glades County, FL",2000,"4,086     ","3,894     ",192     ,4.7     
CN120450,12,045,"Gulf County, FL",2000,"5,247     ","4,930     ",317     ,6.0     
CN120470,12,047,"Hamilton County, FL",2000,"4,581     ","4,337     ",244     ,5.3     
CN120490,12,049,"Hardee County, FL",2000,"10,754     ","10,121     ",633     ,5.9     
CN120510,12,051,"Hendry County, FL",2000,"16,296     ","15,125     ","1,171     ",7.2     
CN120530,12,053,"Hernando County, FL",2000,"49,595     ","47,436     ","2,159     ",4.4     
CN120550,12,055,"Highlands County, FL",2000,"33,174     ","31,587     ","1,587     ",4.8     
CN120570,12,057,"Hillsborough County, FL",2000,"528,979     ","511,734     ","17,245     ",3.3     
CN120590,12,059,"Holmes County, FL",2000,"7,740     ","7,368     ",372     ,4.8     
PA121600,12,061,"Indian River County, FL",2000,"51,057     ","48,453     ","2,604     ",5.1     
CN120630,12,063,"Jackson County, FL",2000,"19,399     ","18,509     ",890     ,4.6     
CN120650,12,065,"Jefferson County, FL",2000,"6,067     ","5,844     ",223     ,3.7     
CN120670,12,067,"Lafayette County, FL",2000,"2,719     ","2,609     ",110     ,4.0     
PS120640,12,069,"Lake County, FL",2000,"93,300     ","89,959     ","3,341     ",3.6     
PS120170,12,071,"Lee County, FL",2000,"207,750     ","201,047     ","6,703     ",3.2     
CN120730,12,073,"Leon County, FL",2000,"134,833     ","130,726     ","4,107     ",3.0     
CN120750,12,075,"Levy County, FL",2000,"14,400     ","13,841     ",559     ,3.9     
CN120770,12,077,"Liberty County, FL",2000,"2,622     ","2,513     ",109     ,4.2     
CN120790,12,079,"Madison County, FL",2000,"7,698     ","7,385     ",313     ,4.1     
CN120810,12,081,"Manatee County, FL",2000,"123,240     ","119,326     ","3,914     ",3.2     
PS120570,12,083,"Marion County, FL",2000,"109,216     ","104,804     ","4,412     ",4.0     
PA120470,12,085,"Martin County, FL",2000,"56,357     ","54,013     ","2,344     ",4.2     
CN120860,12,086,"Miami-Dade County, FL",2000,"1,103,485     ","1,046,900     ","56,585     ",5.1     
PA120550,12,087,"Monroe County, FL",2000,"45,192     ","43,901     ","1,291     ",2.9     
CN120890,12,089,"Nassau County, FL",2000,"30,282     ","29,283     ",999     ,3.3     
PS120370,12,091,"Okaloosa County, FL",2000,"80,410     ","77,451     ","2,959     ",3.7     
CN120930,12,093,"Okeechobee County, FL",2000,"15,662     ","14,823     ",839     ,5.4     
PS120400,12,095,"Orange County, FL",2000,"499,652     ","484,369     ","15,283     ",3.1     
CN120970,12,097,"Osceola County, FL",2000,"89,582     ","86,639     ","2,943     ",3.3     
PS120420,12,099,"Palm Beach County, FL",2000,"541,759     ","518,947     ","22,812     ",4.2     
PS120450,12,101,"Pasco County, FL",2000,"150,276     ","144,736     ","5,540     ",3.7     
PS120550,12,103,"Pinellas County, FL",2000,"471,195     ","455,745     ","15,450     ",3.3     
CN121050,12,105,"Polk County, FL",2000,"231,280     ","221,751     ","9,529     ",4.1     
CN121070,12,107,"Putnam County, FL",2000,"29,357     ","28,105     ","1,252     ",4.3     
CN121090,12,109,"St. Johns County, FL",2000,"66,464     ","64,501     ","1,963     ",3.0     
PA121350,12,111,"St. Lucie County, FL",2000,"87,455     ","82,438     ","5,017     ",5.7     
PA121370,12,113,"Santa Rosa County, FL",2000,"54,985     ","52,881     ","2,104     ",3.8     
CN121150,12,115,"Sarasota County, FL",2000,"148,844     ","144,088     ","4,756     ",3.2     
PS120500,12,117,"Seminole County, FL",2000,"212,638     ","206,218     ","6,420     ",3.0     
CN121190,12,119,"Sumter County, FL",2000,"16,926     ","16,198     ",728     ,4.3     
CN121210,12,121,"Suwannee County, FL",2000,"15,425     ","14,873     ",552     ,3.6     
CN121230,12,123,"Taylor County, FL",2000,"8,279     ","7,872     ",407     ,4.9     
CN121250,12,125,"Union County, FL",2000,"4,530     ","4,333     ",197     ,4.3     
CN121270,12,127,"Volusia County, FL",2000,"209,694     ","202,623     ","7,071     ",3.4     
CN121290,12,129,"Wakulla County, FL",2000,"11,697     ","11,322     ",375     ,3.2     
CN121310,12,131,"Walton County, FL",2000,"19,418     ","18,746     ",672     ,3.5     
CN121330,12,133,"Washington County, FL",2000,"8,948     ","8,545     ",403     ,4.5     
CN130010,13,001,"Appling County, GA",2000,"8,600     ","8,142     ",458     ,5.3     
CN130030,13,003,"Atkinson County, GA",2000,"3,523     ","3,338     ",185     ,5.3     
CN130050,13,005,"Bacon County, GA",2000,"4,686     ","4,475     ",211     ,4.5     
CN130070,13,007,"Baker County, GA",2000,"1,751     ","1,677     ",74     ,4.2     
CN130090,13,009,"Baldwin County, GA",2000,"19,053     ","18,147     ",906     ,4.8     
CN130110,13,011,"Banks County, GA",2000,"7,842     ","7,609     ",233     ,3.0     
CN130130,13,013,"Barrow County, GA",2000,"25,254     ","24,507     ",747     ,3.0     
CN130150,13,015,"Bartow County, GA",2000,"40,734     ","39,258     ","1,476     ",3.6     
CN130170,13,017,"Ben Hill County, GA",2000,"8,188     ","7,797     ",391     ,4.8     
CN130190,13,019,"Berrien County, GA",2000,"8,091     ","7,773     ",318     ,3.9     
CN130210,13,021,"Bibb County, GA",2000,"70,653     ","67,651     ","3,002     ",4.2     
CN130230,13,023,"Bleckley County, GA",2000,"5,194     ","4,979     ",215     ,4.1     
CN130250,13,025,"Brantley County, GA",2000,"6,819     ","6,536     ",283     ,4.2     
CN130270,13,027,"Brooks County, GA",2000,"7,592     ","7,247     ",345     ,4.5     
CN130290,13,029,"Bryan County, GA",2000,"11,653     ","11,294     ",359     ,3.1     
CN130310,13,031,"Bulloch County, GA",2000,"27,411     ","26,367     ","1,044     ",3.8     
CN130330,13,033,"Burke County, GA",2000,"9,217     ","8,758     ",459     ,5.0     
CN130350,13,035,"Butts County, GA",2000,"9,112     ","8,700     ",412     ,4.5     
CN130370,13,037,"Calhoun County, GA",2000,"2,368     ","2,216     ",152     ,6.4     
CN130390,13,039,"Camden County, GA",2000,"17,881     ","17,240     ",641     ,3.6     
CN130430,13,043,"Candler County, GA",2000,"4,003     ","3,820     ",183     ,4.6     
PA130600,13,045,"Carroll County, GA",2000,"45,063     ","43,410     ","1,653     ",3.7     
CN130470,13,047,"Catoosa County, GA",2000,"29,821     ","29,032     ",789     ,2.6     
CN130490,13,049,"Charlton County, GA",2000,"3,967     ","3,806     ",161     ,4.1     
PS130450,13,051,"Chatham County, GA",2000,"112,109     ","108,156     ","3,953     ",3.5     
CN130530,13,053,"Chattahoochee County, GA",2000,"2,642     ","2,429     ",213     ,8.1     
CN130550,13,055,"Chattooga County, GA",2000,"11,686     ","11,252     ",434     ,3.7     
PA130950,13,057,"Cherokee County, GA",2000,"83,169     ","81,050     ","2,119     ",2.5     
PA130550,13,059,"Clarke County, GA",2000,"54,479     ","52,640     ","1,839     ",3.4     
CN130610,13,061,"Clay County, GA",2000,"1,348     ","1,275     ",73     ,5.4     
PA131050,13,063,"Clayton County, GA",2000,"126,764     ","122,565     ","4,199     ",3.3     
CN130650,13,065,"Clinch County, GA",2000,"2,779     ","2,631     ",148     ,5.3     
PA131100,13,067,"Cobb County, GA",2000,"362,143     ","352,181     ","9,962     ",2.8     
CN130690,13,069,"Coffee County, GA",2000,"17,233     ","16,447     ",786     ,4.6     
CN130710,13,071,"Colquitt County, GA",2000,"19,439     ","18,553     ",886     ,4.6     
CN130730,13,073,"Columbia County, GA",2000,"47,432     ","46,072     ","1,360     ",2.9     
CN130750,13,075,"Cook County, GA",2000,"7,293     ","6,966     ",327     ,4.5     
CN130770,13,077,"Coweta County, GA",2000,"48,903     ","47,316     ","1,587     ",3.2     
CN130790,13,079,"Crawford County, GA",2000,"5,897     ","5,666     ",231     ,3.9     
CN130810,13,081,"Crisp County, GA",2000,"9,774     ","9,323     ",451     ,4.6     
CN130830,13,083,"Dade County, GA",2000,"7,742     ","7,513     ",229     ,3.0     
CN130850,13,085,"Dawson County, GA",2000,"9,068     ","8,826     ",242     ,2.7     
CN130870,13,087,"Decatur County, GA",2000,"12,354     ","11,805     ",549     ,4.4     
CN130890,13,089,"DeKalb County, GA",2000,"382,690     ","370,271     ","12,419     ",3.2     
CN130910,13,091,"Dodge County, GA",2000,"8,545     ","8,144     ",401     ,4.7     
CN130930,13,093,"Dooly County, GA",2000,"4,814     ","4,587     ",227     ,4.7     
CN130950,13,095,"Dougherty County, GA",2000,"41,674     ","39,530     ","2,144     ",5.1     
PA131000,13,097,"Douglas County, GA",2000,"51,658     ","50,151     ","1,507     ",2.9     
CN130990,13,099,"Early County, GA",2000,"5,380     ","5,114     ",266     ,4.9     
CN131010,13,101,"Echols County, GA",2000,"1,866     ","1,803     ",63     ,3.4     
CN131030,13,103,"Effingham County, GA",2000,"19,098     ","18,505     ",593     ,3.1     
CN131050,13,105,"Elbert County, GA",2000,"9,753     ","9,249     ",504     ,5.2     
CN131070,13,107,"Emanuel County, GA",2000,"9,974     ","9,418     ",556     ,5.6     
CN131090,13,109,"Evans County, GA",2000,"4,713     ","4,512     ",201     ,4.3     
CN131110,13,111,"Fannin County, GA",2000,"9,112     ","8,762     ",350     ,3.8     
CN131130,13,113,"Fayette County, GA",2000,"49,985     ","48,676     ","1,309     ",2.6     
PA130900,13,115,"Floyd County, GA",2000,"44,900     ","43,210     ","1,690     ",3.8     
CN131170,13,117,"Forsyth County, GA",2000,"57,527     ","56,164     ","1,363     ",2.4     
CN131190,13,119,"Franklin County, GA",2000,"9,980     ","9,595     ",385     ,3.9     
CN131210,13,121,"Fulton County, GA",2000,"431,874     ","417,210     ","14,664     ",3.4     
CN131230,13,123,"Gilmer County, GA",2000,"11,354     ","10,983     ",371     ,3.3     
CN131250,13,125,"Glascock County, GA",2000,"1,195     ","1,147     ",48     ,4.0     
PA130650,13,127,"Glynn County, GA",2000,"34,957     ","33,744     ","1,213     ",3.5     
CN131290,13,129,"Gordon County, GA",2000,"24,421     ","23,610     ",811     ,3.3     
CN131310,13,131,"Grady County, GA",2000,"11,052     ","10,568     ",484     ,4.4     
CN131330,13,133,"Greene County, GA",2000,"6,399     ","6,120     ",279     ,4.4     
PS130370,13,135,"Gwinnett County, GA",2000,"347,878     ","338,494     ","9,384     ",2.7     
CN131370,13,137,"Habersham County, GA",2000,"18,449     ","17,813     ",636     ,3.4     
PA130700,13,139,"Hall County, GA",2000,"73,894     ","71,738     ","2,156     ",2.9     
CN131410,13,141,"Hancock County, GA",2000,"3,287     ","3,033     ",254     ,7.7     
CN131430,13,143,"Haralson County, GA",2000,"12,451     ","12,015     ",436     ,3.5     
CN131450,13,145,"Harris County, GA",2000,"12,966     ","12,564     ",402     ,3.1     
CN131470,13,147,"Hart County, GA",2000,"11,421     ","10,974     ",447     ,3.9     
CN131490,13,149,"Heard County, GA",2000,"5,148     ","4,947     ",201     ,3.9     
CN131510,13,151,"Henry County, GA",2000,"67,806     ","66,019     ","1,787     ",2.6     
PA130350,13,153,"Houston County, GA",2000,"53,848     ","52,046     ","1,802     ",3.3     
CN131550,13,155,"Irwin County, GA",2000,"4,558     ","4,350     ",208     ,4.6     
CN131570,13,157,"Jackson County, GA",2000,"21,454     ","20,783     ",671     ,3.1     
CN131590,13,159,"Jasper County, GA",2000,"5,803     ","5,619     ",184     ,3.2     
CN131610,13,161,"Jeff Davis County, GA",2000,"5,809     ","5,545     ",264     ,4.5     
CN131630,13,163,"Jefferson County, GA",2000,"6,792     ","6,344     ",448     ,6.6     
CN131650,13,165,"Jenkins County, GA",2000,"3,742     ","3,548     ",194     ,5.2     
CN131670,13,167,"Johnson County, GA",2000,"3,415     ","3,211     ",204     ,6.0     
CN131690,13,169,"Jones County, GA",2000,"11,843     ","11,393     ",450     ,3.8     
CN131710,13,171,"Lamar County, GA",2000,"8,082     ","7,726     ",356     ,4.4     
CN131730,13,173,"Lanier County, GA",2000,"3,348     ","3,186     ",162     ,4.8     
CN131750,13,175,"Laurens County, GA",2000,"21,498     ","20,535     ",963     ,4.5     
CN131770,13,177,"Lee County, GA",2000,"13,206     ","12,762     ",444     ,3.4     
CN131790,13,179,"Liberty County, GA",2000,"19,707     ","18,686     ","1,021     ",5.2     
CN131810,13,181,"Lincoln County, GA",2000,"3,787     ","3,573     ",214     ,5.7     
CN131830,13,183,"Long County, GA",2000,"4,338     ","4,183     ",155     ,3.6     
PA130750,13,185,"Lowndes County, GA",2000,"43,643     ","41,727     ","1,916     ",4.4     
CN131870,13,187,"Lumpkin County, GA",2000,"10,958     ","10,639     ",319     ,2.9     
CN131890,13,189,"McDuffie County, GA",2000,"9,945     ","9,512     ",433     ,4.4     
CN131910,13,191,"McIntosh County, GA",2000,"4,912     ","4,705     ",207     ,4.2     
CN131930,13,193,"Macon County, GA",2000,"5,441     ","5,085     ",356     ,6.5     
