CONTROL,SMSA,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,RUTIL
'000000000204','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000205','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000205','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000206','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000207','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000207','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000208','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000208','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000208','7400','-9','1','-9','1','-9','-9','-9'
'000000000209','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000210','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000210','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000211','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000211','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000212','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000212','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000213','7360','-9','-9','-9','1','-9','-9','-9'
'000000000213','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000213','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000213','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000214','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000214','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000214','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000214','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000215','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000215','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000216','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000216','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000216','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000216','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000217','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000218','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000218','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000218','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000219','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000219','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000220','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000221','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000222','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000223','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000223','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000224','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000224','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000224','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000224','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000224','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000226','5680','-9','-9','-9','-9','-9','-9','-9'
