CONTROL,SMSA,PWT,WEIGHT
'000000000026','5120',246.0386,283.02771244
'000000000026','5680',131.9648,0
'000000000026','5775',188.917,236.84880644
'000000000026','6480',45.25645,47.894742237
'000000000026','6840',96.7736,107.36974449
'000000000026','7160',92.2085067,94.429917822
'000000000026','7360',37.655825,0
'000000000026','7400',123.1232,151.86074201
'000000000026','8280',238.897,0
'000000000026','8840',385.0634,399.231542
'000000000027','0720',223.5291,268.66951133
'000000000027','1000',80.0639,0
'000000000027','1120',305.76015,362.74563205
'000000000027','1640',130.8343,142.18619532
'000000000027','5120',246.0386,0
'000000000027','5680',131.9648,138.19298784
'000000000027','5775',188.917,228.3622246
'000000000027','6480',67.884675,71.842113356
'000000000027','6840',96.7736,107.36974449
'000000000027','7160',92.2085067,94.429917822
'000000000027','7360',150.6233,162.6433386
'000000000027','7400',123.1232,157.07172723
'000000000027','8280',238.897,239.32134473
'000000000027','8840',385.0634,410.05179881
'000000000028','0720',223.5291,274.19974182
'000000000028','1000',80.0639,87.150710167
'000000000028','1120',305.76015,347.15191566
'000000000028','1640',130.8343,142.18619532
'000000000028','5120',123.0193,140.75292879
'000000000028','5680',131.9648,144.90681721
'000000000028','5775',188.917,236.84880644
'000000000028','6480',67.884675,71.842113356
'000000000028','6840',24.1934,27.765476796
'000000000028','7160',92.2085067,98.699619679
'000000000028','7360',150.6233,0
'000000000028','7400',123.1232,151.86074201
'000000000028','8280',119.4485,135.1450774
'000000000028','8840',385.0634,409.97015824
'000000000029','0720',223.5291,268.66951133
'000000000029','1000',80.0639,87.150710167
'000000000029','1640',130.8343,145.77797464
'000000000029','3360',322.27002,364.29138552
'000000000029','5120',184.52895,209.89029344
'000000000029','5680',131.9648,140.0110958
'000000000029','5775',188.917,0
'000000000029','6480',67.884675,91.970029052
'000000000029','6840',24.1934,27.765476796
'000000000029','7160',92.2085067,94.429917822
'000000000029','7360',150.6233,181.87516019
'000000000029','7400',123.1232,157.07172723
'000000000029','8280',238.897,268.04284436
'000000000029','8840',385.0634,421.09652089
'000000000030','0720',223.5291,0
'000000000030','1000',80.0639,87.150710167
'000000000030','1120',305.76015,362.74563205
'000000000030','1640',130.8343,142.18619532
'000000000030','3360',375.99243233,431.15561464
'000000000030','5120',246.0386,281.50585757
'000000000030','5680',131.9648,144.90681721
'000000000030','5775',188.917,0
'000000000030','6480',45.25645,0
'000000000030','6840',24.1934,27.765476796
'000000000030','7160',92.2085067,99.082039962
'000000000030','7360',150.6233,0
'000000000030','7400',123.1232,0
'000000000030','8280',238.897,270.29015479
'000000000030','8840',385.0634,437.03383946
'000000000031','0720',223.5291,249.38588021
'000000000031','1000',80.0639,91.566848047
'000000000031','1640',130.8343,0
'000000000031','5120',61.50965,70.376464394
'000000000031','5680',131.9648,138.37698342
'000000000031','5775',188.917,0
'000000000031','6480',45.25645,47.894742237
'000000000031','6840',48.3868,48.967110744
'000000000031','7160',92.2085067,99.082039962
'000000000031','7360',112.967475,0
'000000000031','7400',123.1232,0
'000000000031','8280',238.897,239.32134473
'000000000031','8840',288.79755,0
'000000000032','0720',167.646825,167.59058491
'000000000032','1000',80.0639,85.645151414
'000000000032','1640',98.125725,104.10957112
'000000000032','5120',246.0386,246.17381866
'000000000032','5680',131.9648,144.90681721
'000000000032','5775',188.917,236.84880644
'000000000032','6480',67.884675,71.842113356
'000000000032','6840',24.1934,27.765476796
'000000000032','7160',92.2085067,99.082039962
'000000000032','7360',150.6233,181.87516019
'000000000032','7400',123.1232,0
'000000000032','8280',238.897,270.29015479
'000000000032','8840',385.0634,432.07193947
'000000000033','0720',223.5291,249.38588021
'000000000033','1000',80.0639,0
'000000000033','1120',305.76015,309.689957
'000000000033','1640',130.8343,141.02818703
'000000000033','3360',322.27002,364.29138552
'000000000033','5120',61.50965,70.376464394
'000000000033','5680',131.9648,132.07374114
'000000000033','5775',188.917,228.3622246
'000000000033','6480',90.5129,0
'000000000033','6840',96.7736,0
'000000000033','7160',92.2085067,99.825913126
'000000000033','7360',150.6233,146.03974626
'000000000033','7400',123.1232,157.07172723
'000000000033','8280',238.897,268.04284436
'000000000033','8840',385.0634,363.41790964
'000000000034','0720',223.5291,0
'000000000034','1000',80.0639,85.645151414
'000000000034','1640',130.8343,134.93734247
'000000000034','3360',698.26245233,720.11521352
'000000000034','5120',246.0386,281.50585757
'000000000034','5680',131.9648,144.54958517
'000000000034','5775',188.917,0
'000000000034','6480',67.884675,90.083414222
'000000000034','6840',48.3868,55.530953592
'000000000034','7160',92.2085067,99.082039962
'000000000034','7360',150.6233,0
'000000000034','7400',123.1232,151.86074201
'000000000034','8280',238.897,270.29015479
'000000000034','8840',385.0634,396.37285538
'000000000035','0720',223.5291,268.66951133
'000000000035','1000',80.0639,85.645151414
'000000000035','1120',305.76015,362.74563205
'000000000035','1640',32.708575,35.257046757
'000000000035','3360',322.27002,357.08819429
'000000000035','5120',184.52895,211.12939318
'000000000035','5680',131.9648,131.74814589
'000000000035','5775',188.917,214.13571507
'000000000035','6480',45.25645,47.894742237
'000000000035','6840',24.1934,27.765476796
'000000000035','7160',92.2085067,99.082039962
'000000000035','7360',150.6233,158.6592112
'000000000035','7400',123.1232,127.43540021
'000000000035','8280',238.897,268.04284436
'000000000035','8840',385.0634,0
'000000000036','0720',223.5291,284.34786842
'000000000036','1000',120.09585,128.46772712
'000000000036','1120',305.76015,362.74563205
'000000000036','1640',130.8343,141.02818703
'000000000036','3360',322.27002,357.08819429
'000000000036','5120',246.0386,0
'000000000036','5680',131.9648,132.11083865
'000000000036','5775',188.917,236.84880644
'000000000036','6480',90.5129,95.789484474
'000000000036','6840',24.1934,27.765476796
'000000000036','7160',92.2085067,99.082039962
'000000000036','7360',150.6233,162.6433386
'000000000036','7400',123.1232,151.86074201
'000000000036','8280',238.897,270.29015479
'000000000036','8840',385.0634,428.21960732
'000000000037','0720',223.5291,272.3558441
'000000000037','1000',80.0639,87.150710167
'000000000037','1120',152.880075,181.37281602
'000000000037','1640',130.8343,138.54133677
'000000000037','5120',246.0386,277.04511405
'000000000037','5680',98.9736,105.69157351
'000000000037','5775',188.917,228.3622246
'000000000037','6480',67.884675,71.842113356
'000000000037','6840',96.7736,97.934221488
'000000000037','7160',92.2085067,99.082039962
'000000000037','7360',150.6233,173.88467889
'000000000037','7400',123.1232,127.43540021
