CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000027','7360',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000027','7400',1,'1','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000027','8840',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000028','1120',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000028','1640',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000028','1640',2,'1','1','3','-6',1,'1','-6','2','-9','2','-9','-9','-9','-9','1'
'000000000028','5775',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000028','7160',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000028','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000028','8840',1,'-8','2','-8','-6',-8,'-8','-6','4','-9','1','-9','1','-9','-9','-9'
'000000000029','1000',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000029','6480',1,'1','3','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000029','7160',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000029','8280',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000029','8840',1,'2','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000030','1120',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000030','1640',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000030','3360',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000030','5120',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000030','8840',1,'1','1','3','-6',4,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000031','1000',1,'2','2','3','-6',2,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000031','5680',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000032','5680',1,'1','1','3','-6',3,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000032','5680',2,'1','1','3','-6',3,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000032','5775',1,'1','1','3','-6',5,'2','1','4','-9','1','-9','-9','-9','-9','-9'
'000000000032','5775',2,'1','1','3','-6',4,'2','1','4','-9','2','-9','-9','-9','-9','-9'
'000000000032','5775',3,'1','1','3','-6',9,'2','1','4','-9','3','-9','-9','-9','-9','-9'
'000000000032','7160',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000033','7160',1,'2','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000033','7160',2,'2','2','3','-6',3,'1','-6','2','-9','2','-9','-9','-9','-9','-9'
'000000000033','8280',1,'1','1','3','-6',3,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000033','8280',2,'2','2','3','-6',1,'1','-6','2','-9','2','-9','-9','-9','-9','1'
'000000000034','7400',1,'1','1','3','-6',3,'2','1','2','-9','1','-9','-9','-9','-9','-9'
'000000000034','7400',2,'1','1','3','-6',5,'2','1','2','-9','2','-9','-9','-9','-9','-9'
'000000000034','7400',3,'1','1','3','-6',5,'2','1','2','-9','3','-9','-9','-9','-9','-9'
'000000000035','3360',1,'1','2','3','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000035','5680',1,'2','2','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000035','7160',1,'2','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000036','0720',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000036','1000',1,'2','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000036','7400',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000036','8840',1,'1','1','3','-6',-7,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000037','0720',1,'1','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000037','1640',1,'2','2','4','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000037','5680',1,'2','1','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000037','6840',1,'1','3','3','-6',5,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000037','7160',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000037','7360',1,'2','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000038','1000',1,'1','1','3','-6',3,'2','2','2','-9','1','-9','-9','-9','-9','-9'
'000000000038','5680',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000038','5775',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000038','7360',1,'2','2','2','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000038','8840',1,'1','1','3','-6',-7,'1','-6','4','-9','1','-9','-9','-9','-9','-9'
