"county","cbsa","cntyname","cbsaname","pop2k","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2000 census","county to cbsa alloc factor"
"05035","32820","Crittenden AR","Memphis, TN-MS-AR Metropolitan Statistical Area",50866,1 
"05037"," ","Cross AR"," ",19526,1 
"05039"," ","Dallas AR"," ",9210,1 
"05041"," ","Desha AR"," ",15341,1 
"05043"," ","Drew AR"," ",18723,1 
"05045","30780","Faulkner AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",86014,1 
"05047","22900","Franklin AR","Fort Smith, AR-OK Metropolitan Statistical Area",17771,1 
"05049"," ","Fulton AR"," ",11642,1 
"05051","26300","Garland AR","Hot Springs, AR Metropolitan Statistical Area",88068,1 
"05053","30780","Grant AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",16464,1 
"05055","37500","Greene AR","Paragould, AR Micropolitan Statistical Area",37331,1 
"05057","26260","Hempstead AR","Hope, AR Micropolitan Statistical Area",23587,1 
"05059"," ","Hot Spring AR"," ",30353,1 
"05061"," ","Howard AR"," ",14300,1 
"05063","12900","Independence AR","Batesville, AR Micropolitan Statistical Area",34233,1 
"05065"," ","Izard AR"," ",13249,1 
"05067"," ","Jackson AR"," ",18418,1 
"05069","38220","Jefferson AR","Pine Bluff, AR Metropolitan Statistical Area",84278,1 
"05071"," ","Johnson AR"," ",22781,1 
"05073"," ","Lafayette AR"," ",8559,1 
"05075"," ","Lawrence AR"," ",17774,1 
"05077"," ","Lee AR"," ",12580,1 
"05079","38220","Lincoln AR","Pine Bluff, AR Metropolitan Statistical Area",14492,1 
"05081"," ","Little River AR"," ",13628,1 
"05083"," ","Logan AR"," ",22486,1 
"05085","30780","Lonoke AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",52828,1 
"05087","22220","Madison AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",14243,1 
"05089"," ","Marion AR"," ",16140,1 
"05091","45500","Miller AR","Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",40443,1 
"05093","14180","Mississippi AR","Blytheville, AR Micropolitan Statistical Area",51979,1 
"05095"," ","Monroe AR"," ",10254,1 
"05097"," ","Montgomery AR"," ",9245,1 
"05099","26260","Nevada AR","Hope, AR Micropolitan Statistical Area",9955,1 
"05101","25460","Newton AR","Harrison, AR Micropolitan Statistical Area",8608,1 
"05103","15780","Ouachita AR","Camden, AR Micropolitan Statistical Area",28790,1 
"05105","30780","Perry AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",10209,1 
"05107","25760","Phillips AR","Helena-West Helena, AR Micropolitan Statistical Area",26445,1 
"05109"," ","Pike AR"," ",11303,1 
"05111","27860","Poinsett AR","Jonesboro, AR Metropolitan Statistical Area",25614,1 
"05113"," ","Polk AR"," ",20229,1 
"05115","40780","Pope AR","Russellville, AR Micropolitan Statistical Area",54469,1 
"05117"," ","Prairie AR"," ",9539,1 
"05119","30780","Pulaski AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",361474,1 
"05121"," ","Randolph AR"," ",18195,1 
"05123","22620","St. Francis AR","Forrest City, AR Micropolitan Statistical Area",29329,1 
"05125","30780","Saline AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",83529,1 
"05127"," ","Scott AR"," ",10996,1 
"05129"," ","Searcy AR"," ",8261,1 
"05131","22900","Sebastian AR","Fort Smith, AR-OK Metropolitan Statistical Area",115071,1 
"05133"," ","Sevier AR"," ",15757,1 
"05135"," ","Sharp AR"," ",17119,1 
"05137"," ","Stone AR"," ",11499,1 
"05139","20980","Union AR","El Dorado, AR Micropolitan Statistical Area",45629,1 
"05141"," ","Van Buren AR"," ",16192,1 
"05143","22220","Washington AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",157715,1 
"05145","42620","White AR","Searcy, AR Micropolitan Statistical Area",67165,1 
"05147"," ","Woodruff AR"," ",8741,1 
"05149","40780","Yell AR","Russellville, AR Micropolitan Statistical Area",21139,1 
