COMBINED STATISTICAL AREAS AND COMPONENT CORE BASED STATISTICAL AREAS, November 2007, WITH CODES

(Combined statistical areas defined by the Office of Management and Budget, November 2007)
336  30460     Lexington-Fayette, KY Metropolitan Statistical Area
336  34460     Mount Sterling, KY Micropolitan Statistical Area
336  40080     Richmond-Berea, KY Micropolitan Statistical Area

338         Lima-Van Wert-Wapakoneta, OH Combined Statistical Area
338  30620     Lima, OH Metropolitan Statistical Area
338  46780     Van Wert, OH Micropolitan Statistical Area
338  47540     Wapakoneta, OH Micropolitan Statistical Area

340         Little Rock-North Little Rock-Pine Bluff, AR Combined Statistical Area
340  30780     Little Rock-North Little Rock, AR Metropolitan Statistical Area
340  38220     Pine Bluff, AR Metropolitan Statistical Area
340  42620     Searcy, AR Micropolitan Statistical Area

346         Longview-Marshall, TX Combined Statistical Area
346  30980     Longview, TX Metropolitan Statistical Area
346  32220     Marshall, TX Micropolitan Statistical Area

348         Los Angeles-Long Beach-Riverside, CA Combined Statistical Area
348  31100     Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area
348  37100     Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
348  40140     Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area

350         Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN Combined Statistical Area
350  21060     Elizabethtown, KY Metropolitan Statistical Area
350  31140     Louisville/Jefferson County, KY-IN Metropolitan Statistical Area
350  42500     Scottsburg, IN Micropolitan Statistical Area

352         Lubbock-Levelland, TX Combined Statistical Area
352  30220     Levelland, TX Micropolitan Statistical Area
352  31180     Lubbock, TX Metropolitan Statistical Area

354         Lumberton-Laurinburg, NC Combined Statistical Area
354  29900     Laurinburg, NC Micropolitan Statistical Area
354  31300     Lumberton, NC Micropolitan Statistical Area

356         Macon-Warner Robins-Fort Valley, GA Combined Statistical Area
356  22980     Fort Valley, GA Micropolitan Statistical Area
356  31420     Macon, GA Metropolitan Statistical Area
356  47580     Warner Robins, GA Metropolitan Statistical Area

358         Madison-Baraboo, WI Combined Statistical Area
358  12660     Baraboo, WI Micropolitan Statistical Area
358  31540     Madison, WI Metropolitan Statistical Area

360         Mansfield-Bucyrus, OH Combined Statistical Area
360  15340     Bucyrus, OH Micropolitan Statistical Area
360  31900     Mansfield, OH Metropolitan Statistical Area

364         Mayagüez-San Germán-Cabo Rojo, PR Combined Statistical Area
364  32420     Mayagüez, PR Metropolitan Statistical Area
364  41900     San Germán-Cabo Rojo, PR Metropolitan Statistical Area

372         Midland-Odessa, TX Combined Statistical Area
372  33260     Midland, TX Metropolitan Statistical Area
372  36220     Odessa, TX Metropolitan Statistical Area

376         Milwaukee-Racine-Waukesha, WI Combined Statistical Area
376  33340     Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
376  39540     Racine, WI Metropolitan Statistical Area

378         Minneapolis-St. Paul-St. Cloud, MN-WI Combined Statistical Area
378  22060     Faribault-Northfield, MN Micropolitan Statistical Area
378  26780     Hutchinson, MN Micropolitan Statistical Area
378  33460     Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
378  39860     Red Wing, MN Micropolitan Statistical Area
378  41060     St. Cloud, MN Metropolitan Statistical Area

380         Mobile-Daphne-Fairhope, AL Combined Statistical Area
380  19300     Daphne-Fairhope, AL Micropolitan Statistical Area
380  33660     Mobile, AL Metropolitan Statistical Area

384         Monroe-Bastrop, LA Combined Statistical Area
384  12820     Bastrop, LA Micropolitan Statistical Area
384  33740     Monroe, LA Metropolitan Statistical Area

388         Montgomery-Alexander City, AL Combined Statistical Area
388  10760     Alexander City, AL Micropolitan Statistical Area
388  33860     Montgomery, AL Metropolitan Statistical Area

396         Myrtle Beach-Conway-Georgetown, SC Combined Statistical Area
396  23860     Georgetown, SC Micropolitan Statistical Area
396  34820     Myrtle Beach-North Myrtle Beach-Conway, SC Metropolitan Statistical Area

400         Nashville-Davidson--Murfreesboro--Columbia, TN Combined Statistical Area
400  17940     Columbia, TN Micropolitan Statistical Area
400  34980     Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area

406         New Orleans-Metairie-Bogalusa, LA Combined Statistical Area
406  14220     Bogalusa, LA Micropolitan Statistical Area
406  35380     New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area

408         New York-Newark-Bridgeport, NY-NJ-CT-PA Combined Statistical Area
408  14860     Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area
408  28740     Kingston, NY Metropolitan Statistical Area
408  35300     New Haven-Milford, CT Metropolitan Statistical Area
408  35620     New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical Area
408  39100     Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area
408  45860     Torrington, CT Micropolitan Statistical Area
408  45940     Trenton-Ewing, NJ Metropolitan Statistical Area

416         Oklahoma City-Shawnee, OK Combined Statistical Area
416  36420     Oklahoma City, OK Metropolitan Statistical Area
416  43060     Shawnee, OK Micropolitan Statistical Area

420         Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area
420  23340     Fremont, NE Micropolitan Statistical Area
420  36540     Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area

422         Orlando-Deltona-Daytona Beach, FL Combined Statistical Area
422  19660     Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
422  36740     Orlando-Kissimmee, FL Metropolitan Statistical Area
422  37380     Palm Coast, FL Metropolitan Statistical Area
422  45540     The Villages, FL Micropolitan Statistical Area

424         Paducah-Mayfield, KY-IL Combined Statistical Area
424  32460     Mayfield, KY Micropolitan Statistical Area
424  37140     Paducah, KY-IL Micropolitan Statistical Area

426         Peoria-Canton, IL Combined Statistical Area
426  15900     Canton, IL Micropolitan Statistical Area
426  37900     Peoria, IL Metropolitan Statistical Area

428         Philadelphia-Camden-Vineland, PA-NJ-DE-MD Combined Statistical Area
428  37980     Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
428  39740     Reading, PA Metropolitan Statistical Area 
428  47220     Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area

430         Pittsburgh-New Castle, PA Combined Statistical Area
430  35260     New Castle, PA Micropolitan Statistical Area
430  38300     Pittsburgh, PA Metropolitan Statistical Area

434         Ponce-Yauco-Coamo, PR Combined Statistical Area
434  17620     Coamo, PR Micropolitan Statistical Area
434  38660     Ponce, PR Metropolitan Statistical Area
434  42180     Santa Isabel, PR Micropolitan Statistical Area
434  49500     Yauco, PR Metropolitan Statistical Area

438         Portland-Lewiston-South Portland, ME Combined Statistical Area
438  30340     Lewiston-Auburn, ME Metropolitan Statistical Area
438  38860     Portland-South Portland-Biddeford, ME Metropolitan Statistical Area

442         Port St. Lucie-Sebastian-Vero Beach, FL Combined Statistical Area
442  38940     Port St. Lucie, FL Metropolitan Statistical Area
442  42680     Sebastian-Vero Beach, FL Metropolitan Statistical Area

450         Raleigh-Durham-Cary, NC Combined Statistical Area
450  20380     Dunn, NC Micropolitan Statistical Area
450  20500     Durham, NC Metropolitan Statistical Area
450  39580     Raleigh-Cary, NC Metropolitan Statistical Area

456         Reno-Sparks-Fernley, NV Combined Statistical Area
456  22280     Fernley, NV Micropolitan Statistical Area
456  39900     Reno-Sparks, NV Metropolitan Statistical Area

464         Rochester-Batavia-Seneca Falls, NY Combined Statistical Area
464  12860     Batavia, NY Micropolitan Statistical Area
464  40380     Rochester, NY Metropolitan Statistical Area
464  42900     Seneca Falls, NY Micropolitan Statistical Area

466         Rockford-Freeport-Rochelle, IL Combined Statistical Area
466  23300     Freeport, IL Micropolitan Statistical Area
466  40300     Rochelle, IL Micropolitan Statistical Area
466  40420     Rockford, IL Metropolitan Statistical Area

472         Sacramento--Arden-Arcade--Yuba City, CA-NV Combined Statistical Area
472  23820     Gardnerville Ranchos, NV Micropolitan Statistical Area
472  40900     Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area
472  46020     Truckee-Grass Valley, CA Micropolitan Statistical Area
472  49700     Yuba City, CA Metropolitan Statistical Area

474         Saginaw-Bay City-Saginaw Township North, MI Combined Statistical Area
474  13020     Bay City, MI Metropolitan Statistical Area
474  40980     Saginaw-Saginaw Township North, MI Metropolitan Statistical Area

476         St. Louis-St. Charles-Farmington, MO-IL Combined Statistical Area
476  22100     Farmington, MO Micropolitan Statistical Area
476  41180     St. Louis, MO-IL Metropolitan Statistical Area

480         Salisbury-Ocean Pines, MD Combined Statistical Area
480  36180     Ocean Pines, MD Micropolitan Statistical Area
480  41540     Salisbury, MD Metropolitan Statistical Area

482         Salt Lake City-Ogden-Clearfield, UT Combined Statistical Area
482  14940     Brigham City, UT Micropolitan Statistical Area
482  25720     Heber, UT Micropolitan Statistical Area
482  36260     Ogden-Clearfield, UT Metropolitan Statistical Area
482  41620     Salt Lake City, UT Metropolitan Statistical Area

488         San Jose-San Francisco-Oakland, CA Combined Statistical Area
488  34900     Napa, CA Metropolitan Statistical Area
488  41860     San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area
488  41940     San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
488  42100     Santa Cruz-Watsonville, CA Metropolitan Statistical Area
488  42220     Santa Rosa-Petaluma, CA Metropolitan Statistical Area
488  46700     Vallejo-Fairfield, CA Metropolitan Statistical Area

490         San Juan-Caguas-Fajardo, PR Combined Statistical Area
490  21940     Fajardo, PR Metropolitan Statistical Area
490  41980     San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area
490  46580     Utuado, PR Micropolitan Statistical Area

492         Santa Fe-Espanola, NM Combined Statistical Area
492  21580     Espanola, NM Micropolitan Statistical Area
492  42140     Santa Fe, NM Metropolitan Statistical Area

494         Sarasota-Bradenton-Punta Gorda, FL Combined Statistical Area
494  14600     Bradenton-Sarasota-Venice, FL Metropolitan Statistical Area
494  39460     Punta Gorda, FL Metropolitan Statistical Area

496         Savannah-Hinesville-Fort Stewart, GA Combined Statistical Area
496  25980     Hinesville-Fort Stewart, GA Metropolitan Statistical Area
496  42340     Savannah, GA Metropolitan Statistical Area

500         Seattle-Tacoma-Olympia, WA Combined Statistical Area
500  14740     Bremerton-Silverdale, WA Metropolitan Statistical Area
500  34580     Mount Vernon-Anacortes, WA Metropolitan Statistical Area
500  36020     Oak Harbor, WA Micropolitan Statistical Area
500  36500     Olympia, WA Metropolitan Statistical Area
500  42660     Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
500  43220     Shelton, WA Micropolitan Statistical Area

508         Shreveport-Bossier City-Minden, LA Combined Statistical Area
508  33380     Minden, LA Micropolitan Statistical Area
508  43340     Shreveport-Bossier City, LA Metropolitan Statistical Area

512         Sioux City-Vermillion, IA-NE-SD Combined Statistical Area
512  43580     Sioux City, IA-NE-SD Metropolitan Statistical Area
512  46820     Vermillion, SD Micropolitan Statistical Area

515         South Bend-Elkhart-Mishawaka, IN-MI Combined Statistical Area
515  21140     Elkhart-Goshen, IN Metropolitan Statistical Area
515  38500     Plymouth, IN Micropolitan Statistical Area
515  43780     South Bend-Mishawaka, IN-MI Metropolitan Statistical Area

526         Sunbury-Lewisburg-Selinsgrove, PA Combined Statistical Area
526  30260     Lewisburg, PA Micropolitan Statistical Area
526  42780     Selinsgrove, PA Micropolitan Statistical Area
526  44980     Sunbury, PA Micropolitan Statistical Area

532         Syracuse-Auburn, NY Combined Statistical Area
532  12180     Auburn, NY Micropolitan Statistical Area
532  45060     Syracuse, NY Metropolitan Statistical Area

534         Toledo-Fremont, OH Combined Statistical Area
534  23380     Fremont, OH Micropolitan Statistical Area
534  45780     Toledo, OH Metropolitan Statistical Area

538         Tulsa-Bartlesville, OK Combined Statistical Area
538  12780     Bartlesville, OK Micropolitan Statistical Area
538  46140     Tulsa, OK Metropolitan Statistical Area

540         Tyler-Jacksonville, TX Combined Statistical Area
540  27380     Jacksonville, TX Micropolitan Statistical Area
540  46340     Tyler, TX Metropolitan Statistical Area

542         Union City-Martin, TN-KY Combined Statistical Area
542  32280     Martin, TN Micropolitan Statistical Area
542  46460     Union City, TN-KY Micropolitan Statistical Area

548         Washington-Baltimore-Northern Virginia, DC-MD-VA-WV Combined Statistical Area
548  12580     Baltimore-Towson, MD Metropolitan Statistical Area
548  19020     Culpeper, VA Micropolitan Statistical Area
548  30500     Lexington Park, MD Micropolitan Statistical Area
548  47900     Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
548  49020     Winchester, VA-WV Metropolitan Statistical Area

554         Wausau-Merrill, WI Combined Statistical Area
554  32980     Merrill, WI Micropolitan Statistical Area
554  48140     Wausau, WI Metropolitan Statistical Area

556         Wichita-Winfield, KS Combined Statistical Area
556  48620     Wichita, KS Metropolitan Statistical Area
556  49060     Winfield, KS Micropolitan Statistical Area

558         Williamsport-Lock Haven, PA Combined Statistical Area
