CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000003209','5120',3,-6,1,10,4,-6,0,'2','2','1','-6','2','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003209','8280',2,-6,1,20,9,-6,0,'2','1','1','-6','2','-9','0615','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003210','5120',1,-6,1,20,8,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003210','8840',1,-6,1,45,24,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003211','5120',1,-6,1,30,15,2,0,'1','2','1','3','1','-9','-7','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003211','5120',2,-6,12,996,996,20,20,'-6','1','-6','6','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003211','8280',1,2,1,150,80,-6,0,'1','1','2','-6','2','-9','0600','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003211','8280',2,-6,1,5,5,-6,0,'2','1','1','-6','2','-9','0530','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003213','5000',4,-6,2,17,10,-6,0,'1','1','1','-6','2','-9','0645','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003213','5000',5,-6,1,8,3,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003213','5120',1,-6,2,40,17,-6,0,'1','1','1','-6','2','-9','0720','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003214','5120',1,-6,2,30,20,10,0,'1','2','1','1','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003214','5120',2,-6,3,38,25,-6,0,'2','1','1','-6','2','-9','0330','-9','-9','-9','2','-9','-9','-9','-9','-9'
'000000003215','1120',1,-6,1,10,4,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003215','1120',2,-6,12,996,996,1,40,'-6','2','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003215','5120',1,-6,1,15,15,-6,2,'1','1','1','-6','2','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003215','8840',1,-6,4,20,3,-6,2,'-8','1','-6','-6','2','-9','-8','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003216','0720',1,-6,11,4,0,-6,0,'2','1','-6','-6','2','-9','1045','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003216','8280',1,-6,12,996,996,-6,40,'-6','1','-6','-6','2','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003216','8280',2,-6,12,996,996,-6,40,'-6','1','-6','-6','2','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000003217','1120',1,-6,1,5,1,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003217','5120',2,-6,2,30,7,-6,0,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003217','8840',1,-6,1,90,45,-6,0,'1','1','1','-6','2','-9','0545','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003217','8840',5,2,1,45,23,-6,-7,'1','-7','2','-6','-7','-9','0630','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000003217','8840',6,2,1,45,23,-6,-7,'1','-7','2','-6','-7','-9','0630','-9','-9','-9','2','2','-9','-9','-9','-9'
