CONTROL,SMSA,OWNHERE,JWNHER
'000000001048','3360','1','-9'
'000000001050','5120','-6','-9'
'000000001053','3360','2','-9'
'000000001055','3360','2','-9'
'000000001056','5000','2','-9'
'000000001057','3360','2','-9'
'000000001057','5000','2','-9'
'000000001061','0720','-6','-9'
'000000001061','5120','2','-9'
'000000001062','5000','2','-9'
'000000001064','8280','-6','-9'
'000000001067','8280','-6','-9'
'000000001067','8840','-6','-9'
'000000001070','1120','1','-9'
'000000001071','3360','2','-9'
'000000001073','1120','2','-9'
'000000001073','3360','-6','-9'
'000000001074','8280','2','-9'
'000000001078','0720','-6','-9'
'000000001078','8840','2','2'
'000000001081','3360','2','-9'
'000000001082','1120','1','2'
'000000001082','5120','2','-9'
'000000001083','1120','2','-9'
'000000001084','1120','2','-9'
'000000001084','3360','1','-9'
'000000001085','8840','2','-9'
'000000001087','8280','-6','-9'
'000000001090','5000','-6','-9'
'000000001091','1120','2','2'
'000000001092','1120','2','-9'
'000000001093','5120','-6','-9'
'000000001095','1120','1','-9'
'000000001097','1120','2','-9'
'000000001098','1120','2','-9'
'000000001099','1120','2','-9'
'000000001100','3360','1','2'
'000000001101','5120','-6','-9'
'000000001102','5120','2','-9'
'000000001104','1120','2','-9'
'000000001108','1120','2','2'
'000000001109','1120','-6','-9'
'000000001110','5000','2','-9'
'000000001116','5000','-6','-9'
'000000001118','8280','-6','-9'
'000000001119','5120','2','-9'
'000000001119','8840','-6','-9'
'000000001120','5000','1','-9'
'000000001124','8840','2','2'
'000000001125','5120','2','-9'
'000000001125','8280','-6','-9'
'000000001125','8840','2','-9'
'000000001127','8840','1','-9'
'000000001129','1120','-6','-9'
'000000001134','0720','-6','-9'
'000000001134','1120','1','-9'
'000000001134','5000','2','-9'
'000000001136','5000','-6','-9'
'000000001140','0720','-6','-9'
'000000001140','5000','-6','-9'
'000000001141','5000','-6','-9'
'000000001141','5120','-6','-9'
'000000001142','5120','1','-9'
'000000001143','8840','2','-9'
'000000001145','1120','2','-9'
'000000001145','5000','1','-9'
'000000001146','1120','-6','-9'
'000000001146','5000','-6','-9'
'000000001147','5120','-6','-9'
'000000001153','8840','-6','-9'
'000000001156','0720','-6','-9'
'000000001160','0720','2','-9'
'000000001162','5000','-6','-9'
'000000001165','5000','2','-9'
'000000001167','5000','-6','-9'
'000000001171','5000','-6','-9'
'000000001172','5000','-6','-9'
'000000001177','8280','-6','-9'
'000000001178','0720','-6','-9'
'000000001179','5000','2','-9'
'000000001182','0720','-6','-9'
'000000001184','3360','1','-9'
'000000001185','5000','2','-9'
'000000001188','5000','-6','-9'
'000000001189','8840','-6','-9'
'000000001190','1120','-6','-9'
'000000001192','5000','1','-9'
'000000001196','8280','2','-9'
'000000001198','5000','-6','-9'
'000000001198','8840','2','-9'
'000000001200','1120','2','-9'
'000000001200','8280','2','-9'
'000000001208','8840','-6','-9'
'000000001210','8280','-6','-9'
'000000001212','5000','-6','-9'
'000000001214','5000','1','2'
'000000001218','5000','1','-9'
'000000001219','5000','2','-9'
'000000001220','0720','-6','-9'
'000000001223','5120','-6','-9'
'000000001224','5000','-6','-9'
'000000001225','5120','-6','-9'
'000000001228','5120','-6','-9'
'000000001236','8840','2','-9'
'000000001237','5000','2','-9'
'000000001238','5120','2','-9'
'000000001239','5000','2','-9'
'000000001239','8280','-6','-9'
'000000001239','8840','2','-9'
'000000001244','5000','1','-9'
'000000001245','5120','-6','-9'
'000000001246','5000','2','-9'
'000000001247','3360','1','2'
'000000001250','5000','1','-9'
'000000001251','3360','2','-9'
'000000001252','3360','2','-9'
'000000001254','3360','2','-9'
'000000001255','5120','-6','-9'
'000000001260','3360','1','-9'
'000000001261','3360','1','-9'
'000000001262','8280','-6','-9'
'000000001264','5000','2','-9'
'000000001267','8280','2','-9'
'000000001268','5000','1','-9'
'000000001270','1120','-6','-9'
'000000001270','5000','2','-9'
'000000001272','1120','-6','-9'
'000000001272','5000','2','-9'
'000000001274','3360','2','-9'
'000000001276','3360','1','-9'
'000000001279','3360','2','-9'
'000000001279','5120','-6','-9'
'000000001279','8280','1','-9'
'000000001280','0720','-6','-9'
'000000001280','8280','-6','-9'
'000000001281','3360','2','2'
'000000001283','3360','2','-9'
'000000001287','5120','-6','-9'
'000000001290','5000','-6','-9'
'000000001290','8280','-6','-9'
'000000001291','8280','2','-9'
'000000001298','5120','-6','-9'
'000000001299','3360','1','-9'
'000000001301','8280','2','-9'
'000000001302','5000','2','-9'
'000000001303','3360','2','-9'
'000000001305','8280','-6','-9'
'000000001307','3360','2','-9'
'000000001307','8840','-6','-9'
'000000001308','8280','1','-9'
'000000001309','5120','1','-9'
'000000001310','3360','1','-9'
'000000001310','8280','2','-9'
'000000001311','8840','1','-9'
'000000001312','8280','-6','-9'
'000000001314','8280','-6','-9'
'000000001314','8840','1','-9'
'000000001315','0720','-6','-9'
'000000001316','5000','2','-9'
'000000001317','8280','2','2'
'000000001320','5000','2','-9'
'000000001321','1120','1','-9'
'000000001322','1120','-6','-9'
'000000001322','5000','-6','-9'
'000000001322','8280','2','-9'
'000000001325','8280','2','-9'
'000000001326','5000','-6','-9'
'000000001327','3360','1','-9'
'000000001327','5000','-6','-9'
'000000001329','8280','2','-9'
'000000001331','1120','1','-9'
'000000001332','0720','-6','-9'
'000000001337','8840','-6','-9'
'000000001338','1120','1','-9'
'000000001339','8280','-6','-9'
'000000001344','8280','-6','-9'
'000000001345','8840','-6','-9'
'000000001346','8280','-6','-9'
'000000001347','1120','2','-9'
'000000001348','8280','-6','-9'
'000000001350','8840','-6','-9'
'000000001352','1120','2','-9'
'000000001352','5000','2','-9'
'000000001353','8280','-6','-9'
'000000001354','0720','-6','-9'
'000000001354','5000','2','-9'
'000000001355','1120','-6','-9'
'000000001355','8280','1','-9'
'000000001356','0720','-6','-9'
'000000001356','3360','-6','-9'
'000000001356','8840','2','-9'
'000000001359','8840','-6','-9'
'000000001363','3360','2','-9'
'000000001364','8280','1','-9'
'000000001365','1120','1','-9'
'000000001368','5000','2','-9'
'000000001368','8280','-6','-9'
'000000001372','5000','2','-9'
'000000001374','5000','2','-9'
'000000001375','8280','2','-9'
'000000001377','8280','2','-9'
'000000001378','0720','-6','-9'
'000000001378','5000','1','-9'
'000000001380','0720','-6','-9'
'000000001380','5000','2','-9'
'000000001380','8280','-6','-9'
'000000001394','1120','2','-9'
'000000001394','5000','1','-9'
'000000001395','8280','-6','-9'
'000000001397','8280','2','-9'
'000000001401','3360','1','-9'
'000000001404','5000','2','-9'
'000000001406','5000','1','-9'
'000000001409','0720','-6','-9'
'000000001409','8280','2','-9'
'000000001411','8280','-6','-9'
'000000001414','3360','2','-9'
'000000001418','8280','-6','-9'
'000000001418','8840','-6','-9'
'000000001419','3360','1','-9'
'000000001419','5000','1','-9'
'000000001419','8280','2','-9'
'000000001420','5120','-6','-9'
'000000001420','8280','-6','-9'
'000000001421','8280','2','-9'
'000000001422','8840','-6','-9'
'000000001426','5000','1','-9'
'000000001427','5120','1','-9'
'000000001428','5120','1','-9'
