"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Virginia Beach-Norfolk-Newport News","VA-NC",89091,85491,960,733,1907
"Visalia-Porterville","CA",29502,28290,184,530,498
"Waco","TX",9451,8916,535,0,0
"Warner Robins","GA",16665,15690,0,585,390
"Washington-Arlington-Alexandria","DC-VA-MD-WV",421418,378253,0,0,43165
"Waterloo-Cedar Falls","IA",7027,6517,510,0,0
"Wausau","WI",12792,12160,632,0,0
"Weirton-Steubenville","WV-OH",1501,1266,0,0,235
"Wenatchee","WA",11614,10121,0,1493,0
"Wheeling","WV-OH",378,378,0,0,0
"Wichita Falls","TX",1990,1990,0,0,0
"Wichita","KS",31582,31054,528,0,0
"Williamsport","PA",285,285,0,0,0
"Wilmington","NC",97737,89977,1128,1562,5070
"Winchester","VA-WV",24144,24144,0,0,0
"Winston-Salem","NC",50413,42464,0,0,7949
"Worcester","MA",63393,50816,1332,1713,9532
"Yakima","WA",4686,3640,1046,0,0
"York-Hanover","PA",22997,22351,0,0,646
"Youngstown-Warren-Boardman","OH-PA",17171,16181,780,210,0
"Yuba City-Marysville","CA",37146,37146,0,0,0
"Yuma","AZ",30025,30025,0,0,0
