"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Laredo","TX",11505,11280,0,0,225
"Las Cruces","NM",23575,22202,0,0,1373
"Las Vegas-Paradise","NV",244089,221646,0,3675,18768
"Lawrence","KS",1889,1889,0,0,0
"Lawton","OK",1380,1380,0,0,0
"Lebanon","PA",2622,2622,0,0,0
"Lewiston","ID-WA",1147,633,514,0,0
"Lewiston-Auburn","ME",4004,3504,0,0,500
"Lexington-Fayette","KY",39767,39252,515,0,0
"Lima","OH",476,476,0,0,0
"Lincoln","NE",15081,13987,308,0,786
"Little Rock-North Little Rock","AR",71399,49919,230,278,20972
"Logan","UT-ID",3770,3520,0,250,0
"Longview","TX",2634,2634,0,0,0
"Longview","WA",3632,3632,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",372162,228867,6817,4974,131504
"Louisville","KY-IN",65803,65165,198,440,0
"Lubbock","TX",18109,16314,1795,0,0
"Lynchburg","VA",17551,17341,210,0,0
"Macon","GA",9119,9119,0,0,0
"Madera","CA",9767,9116,504,147,0
"Madison","WI",45774,29278,189,520,15787
"Manchester-Nashua","NH",24393,16500,0,0,7893
"Mansfield","OH",951,451,500,0,0
"McAllen-Edinburg-Pharr","TX",63885,52748,40,4605,6492
"Medford","OR",22614,21512,0,596,506
"Memphis","TN-MS-AR",116584,116584,0,0,0
"Merced","CA",43279,35986,0,0,7293
"Miami-Fort Lauderdale-Miami Beach","FL",440288,287199,2653,3239,147197
"Michigan City-La Porte","IN",1581,1581,0,0,0
"Midland","TX",2983,2983,0,0,0
"Milwaukee-Waukesha-West Allis","WI",78101,51816,348,1875,24062
"Minneapolis-St. Paul-Bloomington","MN-WI",198652,168418,1059,2861,26314
"Missoula","MT",12264,9782,0,0,2482
"Mobile","AL",21218,21218,0,0,0
"Modesto","CA",50261,47934,0,0,2327
"Monroe","LA",5243,4697,0,0,546
"Monroe","MI",6274,6274,0,0,0
"Montgomery","AL",17971,17971,0,0,0
"Morgantown","WV",105,105,0,0,0
"Morristown","TN",8371,8131,240,0,0
"Mount Vernon-Anacortes","WA",10758,9821,458,0,479
"Muncie","IN",728,728,0,0,0
"Muskegon-Norton Shores","MI",3654,3654,0,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",127356,54416,145,3297,69498
"Napa","CA",17112,12459,0,0,4653
"Naples-Marco Island","FL",110299,91327,1167,6050,11755
"Nashville-Davidson--Murfreesboro","TN",168137,144517,1828,1088,20704
"New Haven-Milford","CT",11352,10946,241,0,165
"New Orleans-Metairie-Kenner","LA",102939,101925,1014,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",479797,284742,31173,30350,133532
"Niles-Benton Harbor","MI",2465,2465,0,0,0
"Norwich-New London","CT",15637,5407,0,1022,9208
"Ocala","FL",60496,59731,590,175,0
"Ocean City","NJ",54534,19464,9720,1903,23447
"Odessa","TX",1837,1837,0,0,0
"Ogden-Clearfield","UT",49338,46529,283,2174,352
"Oklahoma City","OK",100750,81326,145,0,19279
"Olympia","WA",26629,26369,260,0,0
"Omaha-Council Bluffs","NE-IA",36104,34904,540,173,487
"Orlando","FL",385297,281477,517,2394,100909
"Oshkosh-Neenah","WI",4419,3554,100,340,425
"Owensboro","KY",1470,1298,172,0,0
"Oxnard-Thousand Oaks-Ventura","CA",50946,44647,464,0,5835
"Palm Bay-Melbourne-Titusville","FL",86084,72804,0,0,13280
"Panama City-Lynn Haven","FL",66726,16907,145,2879,46795
"Parkersburg-Marietta","WV-OH",445,445,0,0,0
"Pascagoula","MS",7710,7710,0,0,0
"Pensacola-Ferry Pass-Brent","FL",42188,41182,145,0,861
"Peoria","IL",10160,6043,449,0,3668
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",186710,172348,1060,1233,12069
"Phoenix-Mesa-Scottsdale","AZ",670602,621067,1853,6075,41607
"Pine Bluff","AR",247,162,0,0,85
"Pittsburgh","PA",45529,41980,280,922,2347
"Pittsfield","MA",1140,1140,0,0,0
"Pocatello","ID",3740,3740,0,0,0
"Port St. Lucie-Fort Pierce","FL",95065,91298,414,638,2715
"Portland-South Portland-Biddeford","ME",30783,29848,414,521,0
"Portland-Vancouver-Beaverton","OR-WA",177352,149360,2917,10787,14288
"Poughkeepsie-Newburgh-Middletown","NY",17507,16053,0,0,1454
"Prescott","AZ",38179,37916,263,0,0
"Providence-New Bedford-Fall River","RI-MA",33279,29778,1137,246,2118
"Provo-Orem","UT",42941,41410,645,0,886
"Pueblo","CO",14009,13810,199,0,0
"Punta Gorda","FL",44673,38788,490,421,4974
"Racine","WI",9789,9789,0,0,0
"Raleigh-Cary","NC",173854,171923,1760,0,171
"Rapid City","SD",10343,9459,160,336,388
"Reading","PA",8239,8239,0,0,0
"Redding","CA",24168,20413,0,0,3755
"Reno-Sparks","NV",25851,25591,0,260,0
"Richmond","VA",107734,92244,0,4727,10763
"Riverside-San Bernardino-Ontario","CA",476420,436842,0,1102,38476
"Roanoke","VA",12534,12534,0,0,0
"Rochester","MN",12253,11492,0,0,761
"Rochester","NY",18297,17170,883,244,0
"Rockford","IL",9816,9816,0,0,0
"Rocky Mount","NC",4707,4383,324,0,0
"Rome","GA",5072,4703,369,0,0
"Sacramento--Arden-Arcade--Roseville","CA",272239,262728,800,0,8711
"Saginaw-Saginaw Township North","MI",4021,4021,0,0,0
"Salem","OR",28574,27787,451,336,0
"Salinas","CA",10008,10008,0,0,0
"Salisbury","MD",6614,6614,0,0,0
"Salt Lake City","UT",116666,78686,751,344,36885
"San Angelo","TX",3351,3351,0,0,0
"San Antonio","TX",164123,140359,781,2131,20852
"San Diego-Carlsbad-San Marcos","CA",266216,141335,1571,3258,120052
"San Francisco-Oakland-Fremont","CA",142609,123939,462,2035,16173
"San Jose-Sunnyvale-Santa Clara","CA",62136,32751,648,2043,26694
"San Luis Obispo-Paso Robles","CA",15731,13972,344,0,1415
"Sandusky","OH",600,600,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",12411,9565,0,0,2846
