"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Wichita","KS",15570,14308,251,0,1011
"Williamsport","PA",0,0,0,0,0
"Wilmington","NC",79346,68183,1226,0,9937
"Winchester","VA-WV",9557,9557,0,0,0
"Winston-Salem","NC",24887,21457,0,0,3430
"Worcester","MA",8123,7681,235,207,0
"Yakima","WA",5153,5153,0,0,0
"York-Hanover","PA",17100,16540,160,400,0
"Youngstown-Warren-Boardman","OH-PA",5572,4872,0,0,700
"Yuba City","CA",2290,2290,0,0,0
"Yuma","AZ",7316,7316,0,0,0
