"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Raleigh-Cary","NC",160381,158260,0,0,2121
"Rapid City","SD",8959,8959,0,0,0
"Reading","PA",8366,8192,0,0,174
"Redding","CA",14990,11281,0,242,3467
"Reno-Sparks","NV",54086,49817,0,177,4092
"Richmond","VA",101491,95301,0,1421,4769
"Riverside-San Bernardino-Ontario","CA",614563,533312,1828,4211,75212
"Roanoke","VA",13999,13999,0,0,0
"Rochester","MN",30325,30225,0,0,100
"Rochester","NY",24097,20224,1283,1910,680
"Rockford","IL",36734,23196,0,13538,0
"Rocky Mount","NC",3796,3472,324,0,0
"Rome","GA",5159,4703,369,87,0
"Sacramento--Arden-Arcade--Roseville","CA",318933,293917,456,0,24560
"Saginaw-Saginaw Township North","MI",3151,3151,0,0,0
"Salem","OR",21817,20405,457,386,569
"Salinas","CA",17092,17092,0,0,0
"Salisbury","MD",7705,7083,144,0,478
"Salt Lake City","UT",72604,64222,1113,2041,5228
"San Angelo","TX",1974,1974,0,0,0
"San Antonio","TX",177721,138336,1825,848,36712
"San Diego-Carlsbad-San Marcos","CA",188037,121690,2103,4817,59427
"San Francisco-Oakland-Fremont","CA",225847,116190,1563,1251,106843
"San Jose-Sunnyvale-Santa Clara","CA",108469,79851,22,88,28508
"San Luis Obispo-Paso Robles","CA",37473,36787,114,248,324
"Sandusky","OH",862,862,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",29414,26140,80,0,3194
"Santa Cruz-Watsonville","CA",13901,13901,0,0,0
"Santa Fe","NM",5673,5673,0,0,0
"Santa Rosa-Petaluma","CA",56266,49478,558,0,6230
"Sarasota-Bradenton-Venice","FL",193010,131930,1407,1788,57885
"Savannah","GA",36981,36097,0,713,171
"Scranton--Wilkes-Barre","PA",6144,4744,0,1400,0
"Seattle-Tacoma-Bellevue","WA",275395,206447,4802,10320,53826
"Sheboygan","WI",2087,2087,0,0,0
"Sherman-Denison","TX",2177,2177,0,0,0
"Shreveport-Bossier City","LA",20784,20690,0,94,0
"Sioux City","IA-NE-SD",2595,2110,0,485,0
"Sioux Falls","SD",15784,10971,0,0,4813
"South Bend-Mishawaka","IN-MI",9112,9112,0,0,0
"Spartanburg","SC",12310,12310,0,0,0
"Spokane","WA",32255,21569,1981,0,8705
"Springfield","IL",7540,5192,1552,0,796
"Springfield","MA",17661,14937,1843,0,881
"Springfield","MO",31148,30228,920,0,0
"Springfield","OH",2434,2434,0,0,0
"St. Cloud","MN",8971,8402,0,254,315
"St. George","UT",43265,43265,0,0,0
"St. Joseph","MO-KS",1267,1267,0,0,0
"St. Louis","MO-IL",157153,148848,3589,602,4114
"State College","PA",4422,3972,450,0,0
"Stockton","CA",104155,103015,1140,0,0
"Sumter","SC",6887,3669,263,2955,0
"Syracuse","NY",7865,7825,40,0,0
"Tallahassee","FL",25432,16470,145,1795,7022
"Tampa-St. Petersburg-Clearwater","FL",305541,285715,1710,5748,12368
"Terre Haute","IN",922,747,0,0,175
"Texarkana","TX-Texarkana",2175,1569,606,0,0
"Toledo","OH",22656,21737,919,0,0
"Topeka","KS",11881,11881,0,0,0
"Trenton-Ewing","NJ",34553,10872,0,0,23681
"Tucson","AZ",120929,120428,0,0,501
"Tulsa","OK",56587,55204,1178,205,0
"Tuscaloosa","AL",12150,12150,0,0,0
"Tyler","TX",6082,5470,0,150,462
