"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Rome","GA",5386,4517,404,0,465,1
"Sacramento--Arden-Arcade--Roseville","CA",145012,139380,419,1650,3563,1
"Saginaw-Saginaw Township North","MI",2345,2165,180,0,0,1
"Salem","OR",16354,14989,109,156,1100,1
"Salinas","CA",11699,11699,0,0,0,1
"Salisbury","MD",6402,4949,0,0,1453,1
"Salt Lake City","UT",90028,88662,198,254,914,1
"San Angelo","TX",5899,5899,0,0,0,1
"San Antonio","TX",268990,196387,2669,15033,54901,1
"San Diego-Carlsbad-San Marcos","CA",124832,118032,637,1986,4177,1
"San Francisco-Oakland-Fremont","CA",173972,135571,1552,1233,35616,1
"San Jose-Sunnyvale-Santa Clara","CA",61503,44709,0,747,16047,1
"San Luis Obispo-Paso Robles","CA",20324,20324,0,0,0,1
"Sandusky","OH",436,169,0,0,267,1
"Santa Barbara-Santa Maria-Goleta","CA",3601,3436,165,0,0,1
"Santa Cruz-Watsonville","CA",4619,4619,0,0,0,1
"Santa Fe","NM",5000,5000,0,0,0,1
"Santa Rosa-Petaluma","CA",12406,11684,722,0,0,1
"Sarasota-Bradenton-Venice","FL",239530,167688,853,2466,68523,1
"Savannah","GA",35888,33691,331,900,966,1
"Scranton--Wilkes-Barre","PA",2956,2577,0,379,0,1
"Seattle-Tacoma-Bellevue","WA",292584,232951,7471,7394,44768,1
"Sebastian-Vero Beach","FL",75020,75020,0,0,0,1
"Sheboygan","WI",2374,2374,0,0,0,1
"Sherman-Denison","TX",452,452,0,0,0,1
"Shreveport-Bossier City","LA",25140,25140,0,0,0,1
"Sioux City","IA-NE-SD",2816,2816,0,0,0,1
"Sioux Falls","SD",12213,11968,245,0,0,1
"South Bend-Mishawaka","IN-MI",6844,6844,0,0,0,1
"Spartanburg","SC",18429,18429,0,0,0,1
"Spokane","WA",22144,18423,0,0,3721,1
"Springfield","IL",4428,3801,441,0,186,1
"Springfield","MA",8379,7954,425,0,0,1
"Springfield","MO",44429,35279,2990,1590,4570,1
"Springfield","OH",2005,2005,0,0,0,1
"St. Cloud","MN",6750,6050,0,0,700,1
"St. George","UT",41416,37842,0,0,3574,1
"St. Joseph","MO-KS",1363,853,273,0,237,1
"St. Louis","MO-IL",143217,136083,1086,602,5446,1
"State College","PA",8310,7710,600,0,0,1
"Stockton","CA",83160,83160,0,0,0,1
"Sumter","SC",5124,4654,131,339,0,1
"Syracuse","NY",10156,10156,0,0,0,1
"Tallahassee","FL",44407,34528,324,351,9204,1
"Tampa-St. Petersburg-Clearwater","FL",376185,338624,0,622,36939,1
"Terre Haute","IN",2445,1370,108,214,753,1
"Texarkana","TX-Texarkana",1155,1070,85,0,0,1
"Toledo","OH",13697,11592,553,412,1140,1
"Topeka","KS",10687,10687,0,0,0,1
"Trenton-Ewing","NJ",8270,8270,0,0,0,1
"Tucson","AZ",132232,126518,857,980,3877,1
"Tulsa","OK",59161,58534,314,0,313,1
"Tuscaloosa","AL",20066,20066,0,0,0,1
"Tyler","TX",6911,6449,0,0,462,1
"Utica-Rome","NY",317,317,0,0,0,1
"Valdosta","GA",10888,8756,117,0,2015,1
"Vallejo-Fairfield","CA",13676,13676,0,0,0,1
"Victoria","TX",2462,1358,0,476,628,1
"Vineland-Millville-Bridgeton","NJ",4760,4760,0,0,0,1
"Virginia Beach-Norfolk-Newport News","VA-NC",102212,92859,1574,2840,4939,1
"Visalia-Porterville","CA",64723,62460,0,2263,0,1
"Waco","TX",9988,9408,390,190,0,1
"Warner Robins","GA",18464,18464,0,0,0,1
"Washington-Arlington-Alexandria","DC-VA-MD-WV",349458,275369,300,0,73789,1
"Waterloo-Cedar Falls","IA",3754,3754,0,0,0,1
"Wausau","WI",4911,4217,694,0,0,1
"Weirton-Steubenville","WV-OH",185,185,0,0,0,1
"Wenatchee","WA",3534,3534,0,0,0,1
"Wheeling","WV-OH",0,0,0,0,0,1
