"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Peoria-Pekin","IL MSA",5234,4773,461,0,0
"Philadelphia-Wilmington-Atlantic City","PA-NJ-DE-MDCMSA",185795,170187,4849,316,10443
"Phoenix-Mesa","AZ MSA",463378,454171,664,1663,6880
"Pine Bluff","AR MSA",729,695,34,0,0
"Pittsburgh","PA MSA",48075,45327,966,645,1137
"Pittsfield","MA MSA",461,461,0,0,0
"Pocatello","ID MSA",601,601,0,0,0
"Portland","ME MSA",12117,10529,126,1462,0
"Portland-Salem","OR-WA CMSA",245822,152770,3629,975,88448
"Providence-Fall River-Warwick","RI-MA MSA",19545,18865,387,293,0
"Provo-Orem","UT MSA",31305,23098,1405,0,6802
"Pueblo","CO MSA",9227,8484,0,743,0
"Punta Gorda","FL MSA",19879,19250,0,0,629
"Raleigh-Durham-Chapel HillNC MSA","167301",146750,231,400,19920,NA
"Rapid City","SD MSA",6769,6769,0,0,0
"Reading","PA MSA",8277,7915,0,362,0
"Redding","CA MSA",14102,14102,0,0,0
"Reno","NV MSA",58717,51087,0,113,7517
"Richland-Kennewick-Pasco WA MSA","15347",14602,0,319,426,NA
"Richmond-Petersburg","VA MSA",82045,66555,0,874,14616
"Roanoke","VA MSA",7962,7751,0,0,211
"Rochester","MN MSA",16514,16514,0,0,0
"Rochester","NY MSA",16596,16496,100,0,0
"Rockford","IL MSA",11267,10419,260,588,0
"Rocky Mount","NC MSA",7900,5537,1214,1149,0
"Sacramento-Yolo","CA CMSA",314970,312700,598,639,1033
"Saginaw-Bay City-Midland MI MSA","3713",3713,0,0,0,NA
"St. Cloud","MN MSA",4754,4754,0,0,0
"St. Joseph","MO MSA",1086,936,150,0,0
"St. Louis","MO-IL MSA",116097,110757,3798,1082,460
"Salinas","CA MSA",21856,21856,0,0,0
"Salt Lake City-Ogden","UT MSA",96006,90805,1099,1475,2627
"San Angelo","TX MSA",1855,1855,0,0,0
"San Antonio","TX MSA",86951,86313,138,500,0
"San Diego","CA MSA",216270,191147,1544,6843,16736
"San Francisco-Oakland-SanJose","CA CMSA",291717,221522,773,812,68610
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",35033,31178,0,0,3855
"Santa Barbara-Santa Maria-Lompoc","CA MSA",18900,15842,310,0,2748
"Santa Fe","NM MSA",6761,6761,0,0,0
"Sarasota-Bradenton","FL MSA",143656,132103,110,5655,5788
"Savannah","GA MSA",19927,17465,358,0,2104
"Scranton--Wilkes-Barre--Hazleton","PA MSA",2356,2191,0,165,0
"Seattle-Tacoma-BremertonWA CMSA","256706",225396,4291,4080,22939,NA
"Sharon","PA MSA",727,727,0,0,0
"Sheboygan","WI MSA",145,145,0,0,0
"Sherman-Denison","TX MSA",1304,1304,0,0,0
"Shreveport-Bossier City","LAMSA",17072,17072,0,0,0
"Sioux City","IA-NE MSA",1052,1052,0,0,0
"Sioux Falls","SD MSA",15818,5476,0,0,10342
"South Bend","IN MSA",7418,7146,272,0,0
"Spokane","WA MSA",16474,15198,182,0,1094
"Springfield","IL MSA",5126,4405,721,0,0
"Springfield","MO MSA",22146,18297,1122,219,2508
"Springfield","MA MSA",6803,6583,220,0,0
"State College","PA MSA",5448,3448,0,0,2000
"Steubenville-Weirton","OH-WVMSA",415,293,122,0,0
"Stockton-Lodi","CA MSA",98050,98050,0,0,0
"Sumter","SC MSA",2021,1906,115,0,0
"Syracuse","NY MSA",6054,5775,0,175,104
"Tallahassee","FL MSA",27177,27039,138,0,0
"Tampa-St. Petersburg-Clearwater","FL MSA",240050,195336,2106,1487,41121
"Terre Haute","IN MSA",2197,1713,0,0,484
"Texarkana","TX-TexarkanaARMSA",4357,3009,1348,0,0
"Toledo","OH MSA",14754,12984,770,0,1000
"Topeka","KS MSA",8612,7262,0,1350,0
"Tucson","AZ MSA",79491,78021,199,266,1005
"Tulsa","OK MSA",43117,42450,0,0,667
