"fips_msa","city","state","university","year","quarter","hpi","error","time","city_state"
12940,"Baton Rouge","LA","Louisiana State University",2005,3,157.25,0.77,2005.5,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2008,4,193.58,1.23,2008.75,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2008,1,192.93,0.99,2008,"Baton Rouge, LA"
12940,"Baton Rouge","LA","Louisiana State University",2007,4,192.01,1.01,2007.75,"Baton Rouge, LA"
13380,"Bellingham","WA","Western Washington University",2008,2,227.29,2.31,2008.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2001,2,118.1,1.08,2001.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2000,3,111.85,1.11,2000.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2000,1,110.15,1.17,2000,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2000,2,111.39,1.11,2000.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2003,1,129.85,1.17,2003,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2003,2,132.27,1.19,2003.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2009,1,225.57,2.13,2009,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2008,3,222.94,2.38,2008.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2000,4,113.63,1.13,2000.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2007,3,225.12,2.22,2007.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2004,4,172.11,1.68,2004.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2001,1,116.3,1.09,2001,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2003,3,136.33,1.22,2003.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2007,2,226,2.21,2007.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2002,4,127.12,1.14,2002.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2008,4,227.94,2.41,2008.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2008,1,230.67,2.21,2008,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2005,1,177.51,1.76,2005,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2002,1,122.75,1.13,2002,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2006,3,220.82,2.2,2006.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2004,2,154.61,1.45,2004.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2007,1,225.92,2.3,2007,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2006,4,219.9,2.22,2006.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2004,3,164.33,1.59,2004.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2001,3,119.25,1.1,2001.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2007,4,230.19,2.3,2007.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2004,1,148.02,1.41,2004,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2005,4,206.59,2.04,2005.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2001,4,119.98,1.09,2001.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2005,2,188.75,1.83,2005.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2002,3,126.23,1.15,2002.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2003,4,143.01,1.37,2003.75,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2002,2,123.16,1.15,2002.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2005,3,196.81,1.9,2005.5,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2006,2,216.52,2.16,2006.25,"Bellingham, WA"
13380,"Bellingham","WA","Western Washington University",2006,1,209.63,2.17,2006,"Bellingham, WA"
13780,"Binghamton","NY","Binghamton University",2008,1,182.95,3.4,2008,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2007,3,174.47,2.93,2007.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2006,3,164.26,2.8,2006.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2005,4,154.15,2.7,2005.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2001,2,117.58,1.81,2001.25,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2007,1,170.07,3.07,2007,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2006,4,168.1,2.92,2006.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2002,2,124.7,1.91,2002.25,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2002,1,124.07,1.84,2002,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2006,1,156.65,2.8,2006,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2002,3,123.49,1.9,2002.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2007,4,182.89,3.18,2007.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2006,2,159.02,2.78,2006.25,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2008,2,184.31,3.36,2008.25,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2009,1,186.34,3.37,2009,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2001,4,120.64,1.8,2001.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2001,3,116.26,1.84,2001.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2001,1,116.26,2,2001,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2007,2,171.78,2.9,2007.25,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2004,3,136.8,2.27,2004.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2008,3,186.62,3.56,2008.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2000,3,112.82,2.08,2000.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2000,4,113.93,1.95,2000.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2002,4,125.64,1.92,2002.75,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2000,1,107.47,1.99,2000,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2005,3,153.11,2.51,2005.5,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2003,1,128.24,1.95,2003,"Binghamton, NY"
13780,"Binghamton","NY","Binghamton University",2008,4,188.91,4.42,2008.75,"Binghamton, NY"
