"cbsa","src","year","dir","returns","exempt","income"
11460,"Tot Mig-Diff St",708,"in",4052,6592,226005
11460,"Tot Mig-Diff St",708,"out",6984,12365,541894
11460,"Tot Mig-Foreign",405,"in",921,1109,13678
11460,"Tot Mig-Foreign",405,"out",242,429,8634
11460,"Tot Mig-Foreign",506,"in",908,1075,9572
11460,"Tot Mig-Foreign",506,"out",248,409,8915
11460,"Tot Mig-Foreign",607,"in",954,1097,9560
11460,"Tot Mig-Foreign",607,"out",246,402,8786
11460,"Tot Mig-Foreign",708,"in",1015,1228,14205
11460,"Tot Mig-Foreign",708,"out",232,392,13600
11460,"Tot Mig-Same St",405,"in",5792,9717,248775
11460,"Tot Mig-Same St",405,"out",5469,9301,239514
11460,"Tot Mig-Same St",506,"in",5967,10021,264280
11460,"Tot Mig-Same St",506,"out",5292,9037,230691
11460,"Tot Mig-Same St",607,"in",5525,9253,229411
11460,"Tot Mig-Same St",607,"out",4956,8407,214260
11460,"Tot Mig-Same St",708,"in",5781,9384,233436
11460,"Tot Mig-Same St",708,"out",5029,8420,214548
11500,"Non-Migrants",405,"in",38048,84796,1572189
11500,"Non-Migrants",405,"out",38048,84796,1572189
11500,"Non-Migrants",506,"in",37902,84490,1658511
11500,"Non-Migrants",506,"out",37902,84490,1658511
11500,"Non-Migrants",607,"in",38450,85427,1723879
11500,"Non-Migrants",607,"out",38450,85427,1723879
11500,"Non-Migrants",708,"in",40201,88152,1843177
11500,"Non-Migrants",708,"out",40201,88152,1843177
11500,"Tot Mig-Diff St",405,"in",905,1889,30485
11500,"Tot Mig-Diff St",405,"out",925,1817,32770
11500,"Tot Mig-Diff St",506,"in",1068,2209,35396
11500,"Tot Mig-Diff St",506,"out",893,1810,31478
11500,"Tot Mig-Diff St",607,"in",946,1961,34868
11500,"Tot Mig-Diff St",607,"out",915,1801,31423
11500,"Tot Mig-Diff St",708,"in",1006,2015,35567
11500,"Tot Mig-Diff St",708,"out",952,1861,37635
11500,"Tot Mig-Foreign",405,"in",32,68,853
11500,"Tot Mig-Foreign",405,"out",20,40,557
11500,"Tot Mig-Foreign",506,"in",39,72,959
11500,"Tot Mig-Foreign",506,"out",30,52,866
11500,"Tot Mig-Foreign",607,"in",31,59,969
11500,"Tot Mig-Foreign",607,"out",24,43,804
11500,"Tot Mig-Foreign",708,"in",41,77,1157
11500,"Tot Mig-Foreign",708,"out",27,54,903
11500,"Tot Mig-Same St",405,"in",1124,2260,32429
11500,"Tot Mig-Same St",405,"out",1159,2342,37038
11500,"Tot Mig-Same St",506,"in",1193,2401,35786
11500,"Tot Mig-Same St",506,"out",1254,2575,45168
11500,"Tot Mig-Same St",607,"in",1193,2397,39767
11500,"Tot Mig-Same St",607,"out",1236,2545,41723
11500,"Tot Mig-Same St",708,"in",1275,2542,40248
11500,"Tot Mig-Same St",708,"out",1352,2642,47965
11540,"Non-Migrants",405,"in",79483,183562,4584400
11540,"Non-Migrants",405,"out",79483,183562,4584400
11540,"Non-Migrants",506,"in",80536,185059,4844047
11540,"Non-Migrants",506,"out",80536,185059,4844047
11540,"Non-Migrants",607,"in",82483,188302,5123779
11540,"Non-Migrants",607,"out",82483,188302,5123779
11540,"Non-Migrants",708,"in",86017,193250,5407623
11540,"Non-Migrants",708,"out",86017,193250,5407623
11540,"Tot Mig-Diff St",405,"in",1293,2659,69703
11540,"Tot Mig-Diff St",405,"out",1393,2527,68342
