"county","pmsa","cntyname","pmsaname","pop2k","afact"
"51117"," ","Mecklenburg VA"," ",32380,1 
"51119"," ","Middlesex VA"," ",9932,1 
"51121"," ","Montgomery VA"," ",83629,1 
"51125"," ","Nelson VA"," ",14445,1 
"51127"," ","New Kent VA"," ",13462,1 
"51131"," ","Northampton VA"," ",13093,1 
"51133"," ","Northumberland VA"," ",12259,1 
"51135"," ","Nottoway VA"," ",15725,1 
"51137"," ","Orange VA"," ",25881,1 
"51139"," ","Page VA"," ",23177,1 
"51141"," ","Patrick VA"," ",19407,1 
"51143"," ","Pittsylvania VA"," ",61745,1 
"51145"," ","Powhatan VA"," ",22377,1 
"51147"," ","Prince Edward VA"," ",19720,1 
"51149"," ","Prince George VA"," ",33047,1 
"51153","8840","Prince William VA","Washington, DC-MD-VA-WV (P)",280813,1 
"51155"," ","Pulaski VA"," ",35127,1 
"51157"," ","Rappahannock VA"," ",6983,1 
"51159"," ","Richmond VA"," ",8809,1 
"51161"," ","Roanoke VA"," ",85778,1 
"51163"," ","Rockbridge VA"," ",20808,1 
"51165"," ","Rockingham VA"," ",67725,1 
"51167"," ","Russell VA"," ",30308,1 
"51169"," ","Scott VA"," ",23403,1 
"51171"," ","Shenandoah VA"," ",35075,1 
"51173"," ","Smyth VA"," ",33081,1 
"51175"," ","Southampton VA"," ",17482,1 
"51177","8840","Spotsylvania VA","Washington, DC-MD-VA-WV (P)",90395,1 
"51179","8840","Stafford VA","Washington, DC-MD-VA-WV (P)",92446,1 
"51181"," ","Surry VA"," ",6829,1 
"51183"," ","Sussex VA"," ",12504,1 
"51185"," ","Tazewell VA"," ",44598,1 
"51187","8840","Warren VA","Washington, DC-MD-VA-WV (P)",31584,1 
"51191"," ","Washington VA"," ",51103,1 
"51193"," ","Westmoreland VA"," ",16718,1 
"51195"," ","Wise VA"," ",40123,1 
"51197"," ","Wythe VA"," ",27599,1 
"51199"," ","York VA"," ",56297,1 
"51510","8840","Alexandria city VA","Washington, DC-MD-VA-WV (P)",128283,1 
"51515"," ","Bedford city VA"," ",6299,1 
"51520"," ","Bristol city VA"," ",17367,1 
"51530"," ","Buena Vista city VA"," ",6349,1 
"51540"," ","Charlottesville city VA"," ",45049,1 
"51550"," ","Chesapeake city VA"," ",199184,1 
"51560"," ","Clifton Forge city VA"," ",4289,1 
"51570"," ","Colonial Heights city VA"," ",16897,1 
"51580"," ","Covington city VA"," ",6303,1 
"51590"," ","Danville city VA"," ",48411,1 
"51595"," ","Emporia city VA"," ",5665,1 
"51600","8840","Fairfax city VA","Washington, DC-MD-VA-WV (P)",21498,1 
"51610","8840","Falls Church city VA","Washington, DC-MD-VA-WV (P)",10377,1 
"51620"," ","Franklin city VA"," ",8346,1 
"51630","8840","Fredericksburg city VA","Washington, DC-MD-VA-WV (P)",19279,1 
"51640"," ","Galax city VA"," ",6837,1 
"51650"," ","Hampton city VA"," ",146437,1 
"51660"," ","Harrisonburg city VA"," ",40468,1 
"51670"," ","Hopewell city VA"," ",22354,1 
"51678"," ","Lexington city VA"," ",6867,1 
"51680"," ","Lynchburg city VA"," ",65269,1 
"51683","8840","Manassas city VA","Washington, DC-MD-VA-WV (P)",35135,1 
"51685","8840","Manassas Park city VA","Washington, DC-MD-VA-WV (P)",10290,1 
