"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Pittsfield","MA MSA",2,2,0,0,0,0
"Pocatello","ID MSA",12,12,0,0,0,0
"Portland","ME MSA",123,107,6,4,6,1
"Portland-Salem","OR-WA CMSA",1474,1262,32,51,129,15
"Providence-Fall River- Warwick","RI-MA MSA",172,157,8,7,0,0
"Provo-Orem","UT MSA",220,197,4,7,12,1
"Pueblo","CO MSA",84,80,4,0,0,0
"Punta Gorda","FL MSA",152,137,2,8,5,1
"Raleigh-Durham-Chapel Hill NC MSA","1470",1214,16,15,225,12,NA
"Rapid City","SD MSA",49,43,6,0,0,0
"Reading","PA MSA",65,60,0,0,5,1
"Redding","CA MSA",89,75,0,0,14,2
"Reno","NV MSA",362,356,0,0,6,1
"Richland-Kennewick-Pasco","WA MSA",147,135,2,3,7,1
"Richmond-Petersburg","VA MSA",631,631,0,0,0,0
"Roanoke","VA MSA",101,87,2,0,12,1
"Rochester","MN MSA",76,64,0,4,8,1
"Rochester","NY MSA",147,117,2,0,28,3
"Rockford","IL MSA",127,121,6,0,0,0
"Rocky Mount","NC MSA",62,56,6,0,0,0
"Sacramento-Yolo","CA CMSA",1792,1597,0,0,195,9
"Saginaw-Bay City-Midland","MI MSA",37,28,0,4,5,1
"St. Cloud","MN MSA",53,49,0,4,0,0
"St. Joseph","MO MSA",10,8,2,0,0,0
"St. Louis","MO-IL MSA",1330,1002,24,34,270,5
"Salinas","CA MSA",112,112,0,0,0,0
"Salt Lake City-Ogden","UT MSA",913,796,6,36,75,6
"San Angelo","TX MSA",27,27,0,0,0,0
"San Antonio","TX MSA",757,753,4,0,0,0
"San Diego","CA MSA",2387,988,70,7,1322,34
"San Francisco-Oakland-San Jose","CA CMSA",2123,979,22,56,1066,24
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",231,209,0,12,10,2
"Santa Barbara-Santa Maria- Lompoc","CA MSA",96,84,2,4,6,1
"Santa Fe","NM MSA",50,50,0,0,0,0
"Sarasota-Bradenton","FL MSA",729,654,2,32,41,6
"Savannah","GA MSA",175,159,0,0,16,3
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",63,38,0,0,25,1
"Seattle-Tacoma-Bremerton WA CMSA","2032",1503,68,59,402,26,NA
"Sharon","PA MSA",8,8,0,0,0,0
"Sheboygan","WI MSA",5,5,0,0,0,0
"Sherman-Denison","TX MSA",25,21,4,0,0,0
"Shreveport-Bossier City","LA MSA",89,89,0,0,0,0
"Sioux City","IA-NE MSA",11,11,0,0,0,0
"Sioux Falls","SD MSA",132,128,0,4,0,0
"South Bend","IN MSA",111,61,0,0,50,1
"Spokane","WA MSA",185,146,10,3,26,3
"Springfield","IL MSA",69,60,6,3,0,0
"Springfield","MO MSA",254,185,14,0,55,6
"Springfield","MA MSA",37,35,2,0,0,0
"State College","PA MSA",45,37,0,0,8,1
"Steubenville-Weirton","OH-WV MSA",5,5,0,0,0,0
"Stockton-Lodi","CA MSA",561,481,0,0,80,12
"Sumter","SC MSA",35,28,2,0,5,1
"Syracuse","NY MSA",86,71,0,0,15,3
"Tallahassee","FL MSA",184,124,50,0,10,2
"Tampa-St. Petersburg- Clearwater","FL MSA",3243,1817,44,11,1371,56
"Terre Haute","IN MSA",10,10,0,0,0,0
"Texarkana","TX-TexarkanaAR MSA",33,23,10,0,0,0
"Toledo","OH MSA",301,144,0,3,154,8
"Topeka","KS MSA",87,59,0,4,24,3
"Tucson","AZ MSA",479,470,0,9,0,0
"Tulsa","OK MSA",359,287,0,0,72,6
"Tuscaloosa","AL MSA",80,80,0,0,0,0
"Tyler","TX MSA",37,31,0,0,6,1
"Utica-Rome","NY MSA",4,4,0,0,0,0
"Victoria","TX MSA",0,0,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",153,141,6,0,6,1
"Waco","TX MSA",65,59,6,0,0,0
"Washington-Baltimore","DC-MD- VA-WV CMSA",3920,3410,10,8,492,24
"Waterloo-Cedar Falls","IA MSA",25,23,2,0,0,0
"Wausau","WI MSA",100,55,6,0,39,3
"West Palm Beach-Boca Raton FL MSA","1103",885,2,0,216,15,NA
"Wheeling","WV-OH MSA",5,5,0,0,0,0
"Wichita","KS MSA",181,173,8,0,0,0
"Wichita Falls","TX MSA",26,26,0,0,0,0
"Wilmington","NC MSA",379,309,2,0,68,4
"Yakima","WA MSA",29,21,8,0,0,0
"York","PA MSA",134,114,8,0,12,2
"Youngstown-Warren","OH MSA",85,80,0,0,5,1
"Yuba City","CA MSA",48,48,0,0,0,0
"Yuma","AZ MSA",134,134,0,0,0,0
