"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"San Francisco-Oakland-Fremont","CA",337,169,6,9,153,12,100
"San Jose-Sunnyvale-Santa Clara","CA",72,36,10,3,23,3,100
"San Luis Obispo-Paso Robles","CA",11,11,0,0,0,0,67
"Sandusky","OH",0,0,0,0,0,0,0
"Santa Barbara-Santa Maria","CA",6,6,0,0,0,0,71
"Santa Cruz-Watsonville","CA",3,3,0,0,0,0,64
"Santa Fe","NM",7,7,0,0,0,0,100
"Santa Rosa-Petaluma","CA",39,39,0,0,0,0,92
"Savannah","GA",81,81,0,0,0,0,87
"Scranton--Wilkes-Barre","PA",10,10,0,0,0,0,24
"Seattle-Tacoma-Bellevue","WA",642,328,28,14,272,18,100
"Sebastian-Vero Beach","FL",34,34,0,0,0,0,100
"Sheboygan","WI",6,1,0,0,5,1,47
"Sherman-Denison","TX",1,1,0,0,0,0,2
"Shreveport-Bossier City","LA",83,83,0,0,0,0,98
"Sioux City","IA-NE-SD",6,4,2,0,0,0,96
"Sioux Falls","SD",91,50,0,0,41,1,88
"South Bend-Mishawaka","IN-MI",39,15,0,3,21,1,98
"Spartanburg","SC",41,41,0,0,0,0,94
"Spokane","WA",30,30,0,0,0,0,66
"Springfield","IL",12,8,4,0,0,0,53
"Springfield","MA",20,13,2,0,5,1,58
"Springfield","MO",69,20,0,0,49,3,82
"Springfield","OH",0,0,0,0,0,0,100
"St. Cloud","MN",13,8,0,0,5,1,74
"St. George","UT",38,38,0,0,0,0,96
"St. Joseph","MO-KS",3,3,0,0,0,0,0
"St. Louis","MO-IL",321,279,4,13,25,3,100
"State College","PA",25,25,0,0,0,0,69
"Stockton","CA",35,35,0,0,0,0,100
"Sumter","SC",36,36,0,0,0,0,100
"Syracuse","NY",57,28,0,0,29,1,61
"Tallahassee","FL",85,65,0,0,20,1,100
"Tampa-St. Petersburg-Clearwater","FL",821,294,6,9,512,17,100
"Terre Haute","IN",20,14,0,0,6,1,85
"Texarkana","TX-Texarkana",133,133,0,0,0,0,100
"Toledo","OH",27,22,0,0,5,1,92
"Topeka","KS",35,33,2,0,0,0,90
"Trenton-Ewing","NJ",26,18,0,0,8,1,100
"Tucson","AZ",157,138,4,3,12,2,100
"Tulsa","OK",247,209,0,0,38,1,100
"Tuscaloosa","AL",29,27,2,0,0,0,93
"Tyler","TX",18,10,0,3,5,1,79
"Utica-Rome","NY",0,0,0,0,0,0,5
"Valdosta","GA",35,33,2,0,0,0,87
"Vallejo-Fairfield","CA",16,16,0,0,0,0,92
"Victoria","TX",3,3,0,0,0,0,55
"Vineland-Millville-Bridgeton","NJ",24,21,0,3,0,0,100
"Virginia Beach-Norfolk-Newport News","VA-NC",298,219,20,0,59,6,100
"Visalia-Porterville","CA",88,86,2,0,0,0,95
"Waco","TX",27,25,2,0,0,0,77
"Warner Robins","GA",36,36,0,0,0,0,82
"Washington-Arlington-Alexandria","DC-VA-MD-WV",1057,764,0,4,289,6,100
"Waterloo-Cedar Falls","IA",16,16,0,0,0,0,82
"Wausau","WI",34,4,2,0,28,2,74
"Weirton-Steubenville","WV-OH",1,1,0,0,0,0,53
"Wenatchee-East Wenatchee","WA",20,20,0,0,0,0,72
"Wheeling","WV-OH",0,0,0,0,0,0,68
"Wichita Falls","TX",9,9,0,0,0,0,89
"Wichita","KS",264,92,4,0,168,15,88
"Williamsport","PA",1,1,0,0,0,0,16
"Wilmington","NC",113,109,0,4,0,0,100
"Winchester","VA-WV",22,22,0,0,0,0,84
"Winston-Salem","NC",61,61,0,0,0,0,90
"Worcester","MA",33,31,2,0,0,0,69
"Yakima","WA",16,16,0,0,0,0,40
"York-Hanover","PA",58,53,0,0,5,1,79
"Youngstown-Warren-Boardman","OH-PA",16,14,2,0,0,0,96
"Yuba City","CA",21,21,0,0,0,0,91
"Yuma","AZ",42,42,0,0,0,0,72
