"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"State College","PA",22,18,4,0,0,0
"Stockton","CA",517,511,6,0,0,0
"Sumter","SC",75,35,4,36,0,0
"Syracuse","NY",63,61,2,0,0,0
"Tallahassee","FL",249,117,2,24,106,3
"Tampa-St. Petersburg-Clearwater","FL",1915,1720,14,83,98,13
"Texarkana","TX-TexarkanaAR",27,13,14,0,0,0
"Toledo","OH",168,158,10,0,0,0
"Topeka","KS",68,68,0,0,0,0
"Trenton-Ewing","NJ",349,152,0,0,197,7
"Tucson","AZ",672,666,0,0,6,1
"Tulsa","OK",387,363,20,4,0,0
"Tuscaloosa","AL",91,91,0,0,0,0
"Tyler","TX",44,31,0,3,10,2
"Utica-Rome","NY",4,4,0,0,0,0
"Valdosta","GA",100,76,0,0,24,1
"Vallejo-Fairfield","CA",494,165,2,0,327,16
"Vero Beach","FL",229,184,2,4,39,2
"Victoria","TX",8,8,0,0,0,0
"Vineland-Millville-Bridgeton","NJ",29,29,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",695,554,40,16,85,8
"Visalia-Porterville","CA",217,190,4,23,0,0
"Waco","TX",66,62,4,0,0,0
"Warner Robins","GA",100,100,0,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",2509,2033,4,0,472,7
"Waterloo-Cedar Falls","IA",39,39,0,0,0,0
"Wausau","WI",55,47,8,0,0,0
"Weirton-Steubenville","WV-OH",3,3,0,0,0,0
"Wenatchee","WA",39,37,2,0,0,0
"Wheeling","WV-OH",1,1,0,0,0,0
"Wichita Falls","TX",23,21,2,0,0,0
"Wichita","KS",296,232,64,0,0,0
"Williamsport","PA",1,1,0,0,0,0
"Wilmington","NC",644,459,38,19,128,9
"Winchester","VA-WV",97,97,0,0,0,0
"Winston-Salem","NC",283,283,0,0,0,0
"Worcester","MA",256,227,10,8,11,2
"Yakima","WA",48,28,20,0,0,0
"York-Hanover","PA",170,156,4,0,10,1
"Youngstown-Warren-Boardman","OH-PA",120,106,2,0,12,2
"Yuba City-Marysville","CA",254,254,0,0,0,0
"Yuma","AZ",169,169,0,0,0,0
