"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Saginaw-Bay City-Midland","MI MSA",53,45,0,3,5,1
"St. Cloud","MN MSA",105,100,0,0,5,1
"St. Joseph","MO MSA",22,17,0,0,5,1
"St. Louis","MO-IL MSA",1282,1098,74,20,90,10
"Salinas","CA MSA",246,86,0,0,160,16
"Salt Lake City-Ogden","UT MSA",933,758,14,26,135,13
"San Angelo","TX MSA",17,17,0,0,0,0
"San Antonio","TX MSA",794,790,4,0,0,0
"San Diego","CA MSA",1428,1082,4,42,300,10
"San Francisco-Oakland-San Jose","CA CMSA",1862,1211,30,18,603,21
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",154,151,0,3,0,0
"Santa Barbara-Santa Maria- Lompoc","CA MSA",91,85,0,0,6,1
"Santa Fe","NM MSA",132,72,0,0,60,4
"Sarasota-Bradenton","FL MSA",738,684,4,8,42,5
"Savannah","GA MSA",233,174,4,0,55,5
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",57,49,0,8,0,0
"Seattle-Tacoma-Bremerton WA CMSA","2425",1410,40,126,849,32,NA
"Sharon","PA MSA",20,13,0,0,7,1
"Sheboygan","WI MSA",7,7,0,0,0,0
"Sherman-Denison","TX MSA",18,16,2,0,0,0
"Shreveport-Bossier City","LA MSA",141,141,0,0,0,0
"Sioux City","IA-NE MSA",25,18,2,0,5,1
"Sioux Falls","SD MSA",190,188,2,0,0,0
"South Bend","IN MSA",81,81,0,0,0,0
"Spokane","WA MSA",148,131,12,0,5,1
"Springfield","IL MSA",77,67,10,0,0,0
"Springfield","MO MSA",225,217,4,4,0,0
"Springfield","MA MSA",53,51,2,0,0,0
"State College","PA MSA",48,48,0,0,0,0
"Steubenville-Weirton","OH-WV MSA",2,2,0,0,0,0
"Stockton-Lodi","CA MSA",529,529,0,0,0,0
"Sumter","SC MSA",27,23,4,0,0,0
"Syracuse","NY MSA",83,76,2,0,5,1
"Tallahassee","FL MSA",232,130,6,0,96,11
"Tampa-St. Petersburg- Clearwater","FL MSA",2236,1530,46,16,644,42
"Terre Haute","IN MSA",19,19,0,0,0,0
"Texarkana","TX-TexarkanaAR MSA",46,28,18,0,0,0
"Toledo","OH MSA",419,175,2,0,242,27
"Topeka","KS MSA",54,52,2,0,0,0
"Tucson","AZ MSA",541,495,4,42,0,0
"Tulsa","OK MSA",348,348,0,0,0,0
"Tuscaloosa","AL MSA",82,82,0,0,0,0
"Tyler","TX MSA",37,30,0,0,7,1
"Utica-Rome","NY MSA",12,12,0,0,0,0
"Victoria","TX MSA",11,11,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",179,177,2,0,0,0
"Waco","TX MSA",61,53,8,0,0,0
"Washington-Baltimore","DC-MD- VA-WV CMSA",3955,3446,14,3,492,26
"Waterloo-Cedar Falls","IA MSA",139,17,2,0,120,11
"Wausau","WI MSA",37,34,0,3,0,0
"West Palm Beach-Boca Raton FL MSA","862",703,4,8,147,8,NA
"Wheeling","WV-OH MSA",1,1,0,0,0,0
"Wichita","KS MSA",205,195,10,0,0,0
"Wichita Falls","TX MSA",9,9,0,0,0,0
"Wilmington","NC MSA",376,235,0,0,141,11
"Yakima","WA MSA",42,28,2,4,8,1
"York","PA MSA",138,130,0,0,8,1
"Youngstown-Warren","OH MSA",100,89,4,7,0,0
"Yuba City","CA MSA",33,33,0,0,0,0
"Yuma","AZ MSA",105,105,0,0,0,0
