"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Waco","TX MSA",39,27,4,3,5,1
"Washington-Baltimore","DC-MD- VA-WV CMSA",4068,3271,2,0,795,39
"Waterloo-Cedar Falls","IA MSA",24,14,2,8,0,0
"Wausau","WI MSA",27,27,0,0,0,0
"West Palm Beach-Boca Raton FL MSA","809",403,2,0,404,13,NA
"Wheeling","WV-OH MSA",1,1,0,0,0,0
"Wichita","KS MSA",158,144,14,0,0,0
"Wichita Falls","TX MSA",17,15,2,0,0,0
"Wilmington","NC MSA",290,163,2,0,125,5
"Yakima","WA MSA",15,12,0,3,0,0
"York","PA MSA",97,89,0,0,8,1
"Youngstown-Warren","OH MSA",99,61,6,27,5,1
"Yuba City","CA MSA",32,32,0,0,0,0
"Yuma","AZ MSA",79,79,0,0,0,0
