"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Providence-Fall River- Warwick","RI-MA MSA",366,203,22,7,134,12
"Provo-Orem","UT MSA",309,237,2,26,44,6
"Pueblo","CO MSA",100,88,12,0,0,0
"Punta Gorda","FL MSA",250,173,30,6,41,2
"Raleigh-Durham-Chapel Hill NC MSA","1719",1246,16,36,421,23,NA
"Rapid City","SD MSA",37,34,0,3,0,0
"Reading","PA MSA",163,100,0,16,47,6
"Redding","CA MSA",207,123,0,0,84,1
"Reno","NV MSA",427,380,0,20,27,4
"Richland-Kennewick-Pasco","WA MSA",158,142,2,3,11,2
"Richmond-Petersburg","VA MSA",573,573,0,0,0,0
"Roanoke","VA MSA",82,80,2,0,0,0
"Rochester","MN MSA",162,130,0,0,32,3
"Rochester","NY MSA",189,144,0,3,42,5
"Rockford","IL MSA",188,142,14,32,0,0
"Rocky Mount","NC MSA",44,42,2,0,0,0
"Sacramento-Yolo","CA CMSA",2131,1724,4,16,387,26
"Saginaw-Bay City-Midland","MI MSA",58,48,2,3,5,1
"St. Cloud","MN MSA",91,78,0,3,10,2
"St. Joseph","MO MSA",17,11,6,0,0,0
"St. Louis","MO-IL MSA",1077,938,44,31,64,6
"Salinas","CA MSA",208,91,4,0,113,2
"Salt Lake City-Ogden","UT MSA",884,686,14,66,118,13
"San Angelo","TX MSA",24,24,0,0,0,0
"San Antonio","TX MSA",1034,842,16,32,144,15
"San Diego","CA MSA",1434,981,4,54,395,23
"San Francisco-Oakland-San Jose","CA CMSA",1564,1093,36,44,391,22
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",183,163,10,0,10,2
"Santa Barbara-Santa Maria- Lompoc","CA MSA",143,91,2,50,0,0
"Santa Fe","NM MSA",69,64,0,0,5,1
"Sarasota-Bradenton","FL MSA",632,586,2,12,32,4
"Savannah","GA MSA",157,126,10,0,21,2
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",90,59,0,16,15,3
"Seattle-Tacoma-Bremerton WA CMSA","2214",1660,68,47,439,25,NA
"Sharon","PA MSA",8,8,0,0,0,0
"Sheboygan","WI MSA",12,12,0,0,0,0
"Sherman-Denison","TX MSA",22,22,0,0,0,0
"Shreveport-Bossier City","LA MSA",120,96,0,0,24,3
"Sioux City","IA-NE MSA",12,12,0,0,0,0
"Sioux Falls","SD MSA",205,153,0,28,24,2
"South Bend","IN MSA",85,85,0,0,0,0
"Spokane","WA MSA",155,117,4,3,31,2
"Springfield","IL MSA",146,82,12,0,52,3
"Springfield","MO MSA",217,194,6,4,13,1
"Springfield","MA MSA",69,59,10,0,0,0
"State College","PA MSA",48,48,0,0,0,0
"Steubenville-Weirton","OH-WV MSA",3,3,0,0,0,0
"Stockton-Lodi","CA MSA",944,618,0,0,326,19
"Sumter","SC MSA",31,27,4,0,0,0
"Syracuse","NY MSA",151,140,0,0,11,2
"Tallahassee","FL MSA",187,76,30,3,78,9
