"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Oxnard-Thousand Oaks-Ventura","CA",871,194,2,45,630,34
"Palm Bay-Melbourne-Titusville","FL",828,563,0,3,262,20
"Panama City-Lynn Haven","FL",339,145,0,6,188,2
"Parkersburg-Marietta","WV-OH",12,12,0,0,0,0
"Pascagoula","MS",73,73,0,0,0,0
"Pensacola-Ferry Pass-Brent","FL",189,177,0,0,12,2
"Peoria","IL",89,56,8,0,25,1
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",1917,1444,8,27,438,24
"Phoenix-Mesa-Scottsdale","AZ",5100,4229,16,160,695,46
"Pine Bluff","AR",11,4,2,0,5,1
"Pittsburgh","PA",616,485,22,8,101,7
"Pittsfield","MA",6,6,0,0,0,0
"Pocatello","ID",36,32,0,4,0,0
"Port St. Lucie-Fort Pierce","FL",1075,848,0,36,191,23
"Portland-South Portland-Biddeford","ME",293,262,18,3,10,2
"Portland-Vancouver-Beaverton","OR-WA",1480,1021,8,22,429,17
"Poughkeepsie-Newburgh-Middletown","NY",147,123,2,0,22,3
"Prescott","AZ",412,410,2,0,0,0
"Providence-New Bedford-Fall River","RI-MA",378,274,16,18,70,6
"Provo-Orem","UT",373,339,12,10,12,1
"Pueblo","CO",88,80,8,0,0,0
"Punta Gorda","FL",316,204,4,7,101,7
"Racine","WI",59,54,0,0,5,1
"Raleigh-Cary","NC",1449,1325,8,48,68,4
"Rapid City","SD",87,80,2,0,5,1
"Reading","PA",70,70,0,0,0,0
"Redding","CA",103,103,0,0,0,0
"Reno-Sparks","NV",443,440,0,3,0,0
"Richmond","VA",799,651,0,11,137,5
"Riverside-San Bernardino-Ontario","CA",4730,4429,14,62,225,17
"Roanoke","VA",142,135,4,3,0,0
"Rochester","MN",119,117,2,0,0,0
"Rochester","NY",144,135,0,0,9,1
"Rockford","IL",225,193,8,24,0,0
"Rocky Mount","NC",55,53,2,0,0,0
"Rome","GA",50,35,8,0,7,1
"Sacramento--Arden-Arcade--Roseville","CA",1592,1300,26,0,266,21
"Saginaw-Saginaw Township North","MI",25,25,0,0,0,0
"Salem","OR",156,122,2,7,25,2
"Salinas","CA",139,139,0,0,0,0
"Salisbury","MD",39,36,0,3,0,0
"Salt Lake City","UT",608,519,8,7,74,9
"San Angelo","TX",22,22,0,0,0,0
"San Antonio","TX",2116,1265,54,0,797,43
"San Diego-Carlsbad-San Marcos","CA",1146,808,26,81,231,11
"San Francisco-Oakland-Fremont","CA",1337,748,6,28,555,16
"San Jose-Sunnyvale-Santa Clara","CA",451,295,0,22,134,4
"San Luis Obispo-Paso Robles","CA",124,120,4,0,0,0
"Sandusky","OH",0,0,0,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",105,77,2,7,19,3
"Santa Cruz-Watsonville","CA",40,40,0,0,0,0
"Santa Fe","NM",49,49,0,0,0,0
"Santa Rosa-Petaluma","CA",109,104,0,0,5,1
"Sarasota-Bradenton-Venice","FL",1421,951,4,80,386,51
"Savannah","GA",217,183,0,15,19,2
"Scranton--Wilkes-Barre","PA",37,34,0,3,0,0
"Seattle-Tacoma-Bellevue","WA",2572,1457,80,86,949,48
"Sheboygan","WI",14,12,2,0,0,0
"Sherman-Denison","TX",3,3,0,0,0,0
"Shreveport-Bossier City","LA",190,168,0,3,19,2
"Sioux City","IA-NE-SD",16,16,0,0,0,0
"Sioux Falls","SD",157,148,6,3,0,0
"South Bend-Mishawaka","IN-MI",113,77,0,0,36,1
"Spartanburg","SC",170,168,2,0,0,0
"Spokane","WA",225,156,0,0,69,4
"Springfield","IL",36,24,8,4,0,0
"Springfield","MA",75,61,14,0,0,0
"Springfield","MO",323,205,22,0,96,5
"Springfield","OH",24,24,0,0,0,0
"St. Cloud","MN",126,116,0,0,10,2
"St. George","UT",314,280,0,4,30,3
"St. Joseph","MO-KS",9,9,0,0,0,0
"St. Louis","MO-IL",1389,1128,28,27,206,24
"State College","PA",28,22,0,0,6,1
"Stockton","CA",588,517,0,3,68,5
"Sumter","SC",57,51,2,4,0,0
"Syracuse","NY",69,69,0,0,0,0
"Tallahassee","FL",309,186,2,4,117,8
"Tampa-St. Petersburg-Clearwater","FL",2930,2322,18,16,574,18
"Terre Haute","IN",43,21,2,0,20,2
"Texarkana","TX-Texarkana",13,13,0,0,0,0
"Toledo","OH",222,169,6,16,31,2
"Topeka","KS",87,87,0,0,0,0
"Trenton-Ewing","NJ",111,111,0,0,0,0
"Tucson","AZ",1038,958,12,4,64,3
"Tulsa","OK",412,412,0,0,0,0
"Tuscaloosa","AL",101,96,0,0,5,1
"Tyler","TX",49,38,0,3,8,1
"Utica-Rome","NY",1,1,0,0,0,0
"Valdosta","GA",102,70,0,0,32,3
"Vallejo-Fairfield","CA",131,121,0,0,10,1
"Vero Beach","FL",279,279,0,0,0,0
"Victoria","TX",6,6,0,0,0,0
"Vineland-Millville-Bridgeton","NJ",64,64,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",795,657,16,44,78,5
"Visalia-Porterville","CA",225,221,4,0,0,0
"Waco","TX",37,35,2,0,0,0
"Warner Robins","GA",112,112,0,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",2719,1968,0,0,751,33
"Waterloo-Cedar Falls","IA",57,57,0,0,0,0
"Wausau","WI",76,70,6,0,0,0
"Weirton-Steubenville","WV-OH",3,3,0,0,0,0
"Wenatchee","WA",57,57,0,0,0,0
"Wheeling","WV-OH",0,0,0,0,0,0
"Wichita Falls","TX",14,14,0,0,0,0
"Wichita","KS",298,238,60,0,0,0
"Williamsport","PA",5,5,0,0,0,0
"Wilmington","NC",716,580,42,4,90,7
"Winchester","VA-WV",143,143,0,0,0,0
"Winston-Salem","NC",389,231,0,0,158,13
"Worcester","MA",218,208,2,3,5,1
"Yakima","WA",39,39,0,0,0,0
"York-Hanover","PA",252,205,4,36,7,1
"Youngstown-Warren-Boardman","OH-PA",95,88,4,3,0,0
"Yuba City-Marysville","CA",282,282,0,0,0,0
"Yuma","AZ",183,178,0,0,5,1
