"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Salinas","CA MSA",40,38,2,0,0,0
"Salt Lake City-Ogden","UT MSA",546,458,8,51,29,5
"San Angelo","TX MSA",22,22,0,0,0,0
"San Antonio","TX MSA",665,656,2,7,0,0
"San Diego","CA MSA",936,542,0,47,347,31
"San Francisco-Oakland-San Jose","CA CMSA",1804,860,48,79,817,34
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",256,252,4,0,0,0
"Santa Barbara-Santa Maria- Lompoc","CA MSA",40,40,0,0,0,0
"Santa Fe","NM MSA",39,34,0,0,5,1
"Sarasota-Bradenton","FL MSA",1121,567,0,96,458,21
"Savannah","GA MSA",107,107,0,0,0,0
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",37,33,4,0,0,0
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",1441,1178,52,97,114,7
"Sharon","PA MSA",15,6,0,0,9,1
"Sheboygan","WI MSA",4,4,0,0,0,0
"Sherman-Denison","TX MSA",11,11,0,0,0,0
"Shreveport-Bossier City","LA MSA",93,93,0,0,0,0
"Sioux City","IA-NE MSA",7,7,0,0,0,0
"Sioux Falls","SD MSA",286,286,0,0,0,0
"South Bend","IN MSA",43,41,2,0,0,0
"Spokane","WA MSA",92,92,0,0,0,0
"Springfield","IL MSA",53,42,6,0,5,1
"Springfield","MO MSA",170,136,34,0,0,0
"Springfield","MA MSA",25,22,0,3,0,0
"State College","PA MSA",31,31,0,0,0,0
"Steubenville-Weirton","OH-WV MSA",2,2,0,0,0,0
"Stockton-Lodi","CA MSA",255,255,0,0,0,0
"Sumter","SC MSA",37,27,0,0,10,1
"Syracuse","NY MSA",65,52,0,0,13,2
"Tallahassee","FL MSA",240,160,2,4,74,9
"Tampa-St. Petersburg- Clearwater","FL MSA",1630,1522,30,19,59,7
"Terre Haute","IN MSA",14,14,0,0,0,0
"Texarkana  TX-Texarkana "," AR MSA",11,11,0,0,0,0
"Toledo","OH MSA",129,105,6,0,18,3
"Topeka","KS MSA",55,55,0,0,0,0
"Tucson","AZ MSA",564,488,24,12,40,2
"Tulsa","OK MSA",297,297,0,0,0,0
"Tuscaloosa","AL MSA",45,45,0,0,0,0
"Tyler","TX MSA",34,29,0,0,5,1
"Utica-Rome","NY MSA",4,4,0,0,0,0
"Victoria","TX MSA",14,14,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",117,117,0,0,0,0
"Waco","TX MSA",46,40,2,4,0,0
"Washington-Baltimore","DC-MD- VA-WV CMSA",3393,3192,6,7,188,10
"Waterloo-Cedar Falls","IA MSA",23,15,0,0,8,1
"Wausau","WI MSA",24,22,2,0,0,0
"West Palm Beach-Boca Raton","Raton FL MSA",952,570,6,0,376,27
"Wheeling","WV-OH MSA",1,1,0,0,0,0
"Wichita","KS MSA",173,126,4,0,43,2
"Wichita Falls","TX MSA",28,28,0,0,0,0
"Wilmington","NC MSA",283,244,2,24,13,2
"Yakima","WA MSA",17,11,6,0,0,0
"York","PA MSA",179,128,10,0,41,2
"Youngstown-Warren","OH MSA",59,43,8,3,5,1
"Yuba City","CA MSA",39,39,0,0,0,0
"Yuma","AZ MSA",101,101,0,0,0,0
