"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Port St. Lucie-Fort Pierce","FL",1165,992,0,17,156,12
"Portland-South Portland-Biddeford","ME",366,318,26,3,19,3
"Portland-Vancouver-Beaverton","OR-WA",1526,1200,26,19,281,22
"Poughkeepsie-Newburgh-Middletown","NY",149,122,2,0,25,3
"Prescott","AZ",404,385,12,7,0,0
"Providence-New Bedford-Fall River","RI-MA",426,312,12,12,90,8
"Provo-Orem","UT",439,413,4,0,22,3
"Pueblo","CO",101,101,0,0,0,0
"Punta Gorda","FL",337,238,10,8,81,6
"Racine","WI",112,108,0,4,0,0
"Raleigh-Cary","NC",1404,1404,0,0,0,0
"Rapid City","SD",111,79,0,0,32,2
"Reading","PA",93,83,0,0,10,2
"Redding","CA",143,116,2,12,13,2
"Reno-Sparks","NV",633,532,2,7,92,1
"Richmond","VA",884,805,0,31,48,6
"Riverside-San Bernardino-Ontario","CA",5551,4765,6,251,529,30
"Roanoke","VA",162,156,0,0,6,1
"Rochester","MN",124,119,0,0,5,1
"Rochester","NY",160,156,0,4,0,0
"Rockford","IL",181,153,12,16,0,0
"Rocky Mount","NC",65,55,10,0,0,0
"Rome","GA",55,39,10,0,6,1
"Sacramento--Arden-Arcade--Roseville","CA",1549,1491,4,28,26,2
"Saginaw-Saginaw Township North","MI",33,31,2,0,0,0
"Salem","OR",169,161,8,0,0,0
"Salinas","CA",107,107,0,0,0,0
"Salisbury","MD",84,63,0,0,21,1
"Salt Lake City","UT",699,621,6,25,47,6
"San Angelo","TX",32,32,0,0,0,0
"San Antonio","TX",1411,1293,4,4,110,8
"San Diego-Carlsbad-San Marcos","CA",1038,810,12,69,147,16
"San Francisco-Oakland-Fremont","CA",1345,889,2,26,428,14
"San Jose-Sunnyvale-Santa Clara","CA",392,156,10,64,162,24
"San Luis Obispo-Paso Robles","CA",208,168,0,0,40,8
"Sandusky","OH",5,0,0,0,5,1
"Santa Barbara-Santa Maria-Goleta","CA",139,121,2,4,12,2
"Santa Cruz-Watsonville","CA",39,37,2,0,0,0
"Santa Fe","NM",57,57,0,0,0,0
"Santa Rosa-Petaluma","CA",390,154,8,0,228,11
"Sarasota-Bradenton-Venice","FL",1233,1114,10,40,69,6
"Savannah","GA",254,239,8,0,7,1
"Scranton--Wilkes-Barre","PA",45,42,0,3,0,0
"Seattle-Tacoma-Bellevue","WA",2515,1811,38,58,608,29
"Sheboygan","WI",23,19,4,0,0,0
"Sherman-Denison","TX",6,4,2,0,0,0
"Shreveport-Bossier City","LA",154,154,0,0,0,0
"Sioux City","IA-NE-SD",29,27,2,0,0,0
"Sioux Falls","SD",157,141,4,0,12,1
"South Bend-Mishawaka","IN-MI",154,94,0,0,60,2
"Spartanburg","SC",196,196,0,0,0,0
"Spokane","WA",267,172,12,4,79,4
"Springfield","IL",58,36,10,3,9,1
"Springfield","MA",78,74,4,0,0,0
"Springfield","MO",553,301,40,36,176,7
"Springfield","OH",23,23,0,0,0,0
"St. Cloud","MN",106,101,0,0,5,1
"St. George","UT",374,316,0,4,54,3
"St. Joseph","MO-KS",16,16,0,0,0,0
"St. Louis","MO-IL",1419,1292,30,16,81,9
"State College","PA",64,56,8,0,0,0
"Stockton","CA",565,545,4,0,16,1
"Sumter","SC",71,59,4,8,0,0
"Syracuse","NY",255,143,0,0,112,14
"Tallahassee","FL",353,210,22,7,114,8
"Tampa-St. Petersburg-Clearwater","FL",3441,2908,10,28,495,31
"Terre Haute","IN",43,22,0,0,21,2
"Texarkana","TX-Texarkana",23,19,4,0,0,0
"Toledo","OH",189,167,10,12,0,0
"Topeka","KS",89,89,0,0,0,0
"Trenton-Ewing","NJ",100,68,0,0,32,1
"Tucson","AZ",1307,1216,14,6,71,3
"Tulsa","OK",600,396,4,0,200,13
"Tuscaloosa","AL",131,119,0,0,12,1
"Tyler","TX",55,44,0,3,8,1
"Utica-Rome","NY",4,4,0,0,0,0
"Valdosta","GA",117,84,2,0,31,3
"Vallejo-Fairfield","CA",227,221,6,0,0,0
"Vero Beach","FL",286,275,6,0,5,1
"Victoria","TX",36,14,0,12,10,1
"Vineland-Millville-Bridgeton","NJ",77,77,0,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",869,769,56,10,34,6
"Visalia-Porterville","CA",393,328,6,59,0,0
"Waco","TX",97,43,0,0,54,1
"Warner Robins","GA",117,117,0,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",5280,3167,0,8,2105,38
"Waterloo-Cedar Falls","IA",124,36,4,4,80,1
"Wausau","WI",73,67,6,0,0,0
"Weirton-Steubenville","WV-OH",2,2,0,0,0,0
"Wenatchee","WA",65,65,0,0,0,0
"Wheeling","WV-OH",0,0,0,0,0,0
"Wichita Falls","TX",65,21,0,44,0,0
"Wichita","KS",288,282,6,0,0,0
"Williamsport","PA",2,2,0,0,0,0
"Wilmington","NC",807,685,26,8,88,6
"Winchester","VA-WV",149,149,0,0,0,0
"Winston-Salem","NC",310,296,14,0,0,0
"Worcester","MA",255,248,0,7,0,0
"Yakima","WA",44,44,0,0,0,0
"York-Hanover","PA",230,216,0,4,10,2
"Youngstown-Warren-Boardman","OH-PA",107,94,6,7,0,0
"Yuba City-Marysville","CA",193,193,0,0,0,0
"Yuma","AZ",208,203,0,0,5,1
