"fips_msa","max_hpi","max_time","hpi_2009","time","percent_change","rank"
40660,182.84,2008.75,181,2009,1.01657458563535,232
11700,245.18,2008.25,242.76,2009,0.996869335969691,233
37700,213.47,2008,211.44,2009,0.960083238743863,234
21780,165.47,2008.25,163.92,2009,0.945583211322614,235
11100,167.65,2008.75,166.08,2009,0.945327552986512,236
12420,206.63,2008.75,204.87,2009,0.859081368672804,237
16620,161.33,2008.25,159.98,2009,0.843855481935265,238
36220,215.36,2008.5,213.56,2009,0.842854467128689,239
22540,175.29,2008,173.83,2009,0.839901052752666,240
28420,152.85,2008.75,151.59,2009,0.831189392440137,241
32820,160.13,2008,158.82,2009,0.824833144440234,242
30620,163.79,2008,162.49,2009,0.800049233799001,243
34980,192.81,2008.75,191.29,2009,0.794605049924215,244
17140,160.09,2008,158.85,2009,0.780610638967588,245
11260,206.16,2008.75,204.58,2009,0.772314009189557,246
36780,167.96,2008,166.68,2009,0.767938564914814,247
19780,170.7,2008,169.43,2009,0.749572094670341,248
39660,216.96,2008.75,215.36,2009,0.742942050520057,249
48260,179.06,2008.25,177.75,2009,0.736990154711663,250
39580,172.41,2008.75,171.17,2009,0.724426009230598,251
22500,173.88,2008.75,172.69,2009,0.689096068098905,252
29940,188.98,2008,187.71,2009,0.676575568696379,253
23060,143.11,2007,142.2,2009,0.639943741209592,254
44180,158.74,2008.25,157.79,2009,0.602066037137973,255
24220,178.57,2008.75,177.51,2009,0.597149456368669,256
31420,165.15,2008.5,164.17,2009,0.59694219406714,257
20740,195.93,2008,194.78,2009,0.590409692986952,258
17980,187.54,2008,186.46,2009,0.579212699774743,259
11340,182.51,2008,181.49,2009,0.562014436057083,260
19500,156.53,2008.25,155.66,2009,0.558910445843509,261
16740,184.31,2008.75,183.3,2009,0.551009274413516,262
49180,159.2,2008,158.36,2009,0.530436979035102,263
30700,161.7,2008,160.86,2009,0.522193211488229,264
19380,141.82,2008,141.09,2009,0.517400240980919,265
26300,193.99,2008.75,193.02,2009,0.502538597036576,266
36540,169.39,2008,168.55,2009,0.498368436665658,267
29100,194.22,2008.75,193.26,2009,0.496740142812797,268
12220,192.83,2008,191.9,2009,0.484627410109439,269
27860,151.25,2008.25,150.58,2009,0.444946207995727,270
20500,179.31,2008.75,178.53,2009,0.436901361115787,271
49660,155.77,2008,155.11,2009,0.425504480691117,272
18140,158.71,2008,158.04,2009,0.423943305492287,273
27740,178.96,2008.75,178.22,2009,0.415217147345984,274
29140,134.11,2008.75,133.56,2009,0.41179994010183,275
38540,189.02,2008.25,188.29,2009,0.387699824738448,276
48660,161.58,2008,160.96,2009,0.385188866799211,277
26900,150.48,2008,149.91,2009,0.380228136882124,278
22180,155.14,2008.5,154.62,2009,0.336308368904398,279
25620,194.04,2008,193.39,2009,0.336108382025955,280
17860,161.38,2008.75,160.84,2009,0.335737378761493,281
10580,202.04,2008,201.37,2009,0.332720862094632,282
25420,181.15,2008.75,180.55,2009,0.332317917474384,283
26820,191.1,2008.75,190.5,2009,0.314960629921245,284
16580,177.95,2007.75,177.47,2009,0.270468248154614,285
40220,199.12,2008,198.59,2009,0.266881514678488,286
27140,167.71,2008,167.33,2009,0.227096157293971,287
28100,165.73,2008.25,165.43,2009,0.181345584235018,288
45820,172.02,2008.75,171.71,2009,0.180536951837396,289
30860,183.3,2008.75,182.99,2009,0.169408164380556,290
11540,163.54,2008,163.31,2009,0.140836446022902,291
44100,137.26,2008.75,137.07,2009,0.138615306047996,292
14060,150.45,2008.75,150.25,2009,0.133111480865210,293
22660,184.57,2008,184.34,2009,0.124769447759562,294
21300,161.83,2007.25,161.63,2009,0.123739404813477,295
31340,195.32,2008.25,195.12,2009,0.102501025010241,296
30300,202.19,2008.75,202,2009,0.094059405940584,297
22020,183.21,2008.75,183.05,2009,0.0874078120731951,298
37620,163.84,2008.5,163.7,2009,0.0855222968845482,299
47940,203.8,2008.75,203.63,2009,0.083484751755634,300
16860,185.23,2008,185.09,2009,0.0756388783834865,301
27780,175.67,2008.5,175.6,2009,0.0398633257403134,302
28940,186.14,2008,186.09,2009,0.0268687194368198,303
30460,177.34,2008.25,177.3,2009,0.0225606316976723,304
10780,195.76,2009,195.76,2009,0,305
11020,184.5,2009,184.5,2009,0,306
11180,162.77,2009,162.77,2009,0,307
11500,177.69,2009,177.69,2009,0,308
12260,180.67,2009,180.67,2009,0,309
12940,195.16,2009,195.16,2009,0,310
13820,183.21,2009,183.21,2009,0,311
13980,205.38,2009,205.38,2009,0,312
14020,170.65,2009,170.65,2009,0,313
14500,208.37,2009,208.37,2009,0,314
14540,154.58,2009,154.58,2009,0,315
15180,164.07,2009,164.07,2009,0,316
15380,152.74,2009,152.74,2009,0,317
15500,153.81,2009,153.81,2009,0,318
16020,167.58,2009,167.58,2009,0,319
16300,151.96,2009,151.96,2009,0,320
16940,195.27,2009,195.27,2009,0,321
17300,172.27,2009,172.27,2009,0,322
17780,172.72,2009,172.72,2009,0,323
17900,178.62,2009,178.62,2009,0,324
18020,145.68,2009,145.68,2009,0,325
18580,178.08,2009,178.08,2009,0,326
19124,172.05,2009,172.05,2009,0,327
19260,172.82,2009,172.82,2009,0,328
19340,177.81,2009,177.81,2009,0,329
19740,201.54,2009,201.54,2009,0,330
20020,177.97,2009,177.97,2009,0,331
20220,165.27,2009,165.27,2009,0,332
20260,241.84,2009,241.84,2009,0,333
21140,161.34,2009,161.34,2009,0,334
21500,152.58,2009,152.58,2009,0,335
22140,230.15,2009,230.15,2009,0,336
22520,161.04,2009,161.04,2009,0,337
22900,169.81,2009,169.81,2009,0,338
23104,165.23,2009,165.23,2009,0,339
24500,194.48,2009,194.48,2009,0,340
24660,158.68,2009,158.68,2009,0,341
24780,164,2009,164,2009,0,342
24860,173.62,2009,173.62,2009,0,343
25860,176.79,2009,176.79,2009,0,344
