"SumLev","State_Fips","County_Fips","County","HUCENSUS_2000","HUESTBASE_2000","Year","HousingUnitEst"
50,13,57,"Cherokee County","51937",51937,2000,52870
50,13,59,"Clarke County","42126",42126,2000,42361
50,13,61,"Clay County","1925",1925,2000,1930
50,13,63,"Clayton County","86461",86461,2000,87276
50,13,65,"Clinch County","2837",2837,2000,2840
50,13,67,"Cobb County","237522",237522,2000,239119
50,13,69,"Coffee County","15610",15609,2000,15664
50,13,71,"Colquitt County","17554",17549,2000,17584
50,13,73,"Columbia County","33321",33320,2000,33565
50,13,75,"Cook County","6558",6558,2000,6575
50,13,77,"Coweta County","33182",33182,2000,33498
50,13,79,"Crawford County","4872",4872,2000,4903
50,13,81,"Crisp County","9559",9559,2000,9587
50,13,83,"Dade County","6224",6224,2000,6240
50,13,85,"Dawson County","7163",7163,2000,7236
50,13,87,"Decatur County","11968",11968,2000,12040
50,13,89,"DeKalb County","261231",261224,2000,262738
50,13,91,"Dodge County","8186",8186,2000,8204
50,13,93,"Dooly County","4499",4499,2000,4507
50,13,95,"Dougherty County","39656",39656,2000,39753
50,13,97,"Douglas County","34825",34853,2000,35105
50,13,99,"Early County","5338",5338,2000,5350
50,13,101,"Echols County","1482",1481,2000,1487
50,13,103,"Effingham County","14169",14169,2000,14295
50,13,105,"Elbert County","9136",9136,2000,9157
50,13,107,"Emanuel County","9419",9419,2000,9435
50,13,109,"Evans County","4381",4381,2000,4390
50,13,111,"Fannin County","11134",11134,2000,11334
50,13,113,"Fayette County","32726",32726,2000,32956
50,13,115,"Floyd County","36615",36615,2000,36710
50,13,117,"Forsyth County","36505",36505,2000,37346
50,13,119,"Franklin County","9303",9304,2000,9330
50,13,121,"Fulton County","348632",348641,2000,350624
50,13,123,"Gilmer County","11924",11924,2000,12064
50,13,125,"Glascock County","1192",1192,2000,1195
50,13,127,"Glynn County","32636",32636,2000,32794
50,13,129,"Gordon County","17145",17145,2000,17287
50,13,131,"Grady County","9991",9991,2000,10018
50,13,133,"Greene County","6653",6653,2000,6704
50,13,135,"Gwinnett County","209682",209682,2000,212628
50,13,137,"Habersham County","14634",14633,2000,14736
50,13,139,"Hall County","51046",51057,2000,51599
50,13,141,"Hancock County","4287",4268,2000,4282
50,13,143,"Haralson County","10719",10719,2000,10761
50,13,145,"Harris County","10288",10288,2000,10366
50,13,147,"Hart County","11111",11114,2000,11142
50,13,149,"Heard County","4512",4512,2000,4532
50,13,151,"Henry County","43166",43171,2000,44189
50,13,153,"Houston County","44509",44509,2000,44888
50,13,155,"Irwin County","4149",4149,2000,4158
50,13,157,"Jackson County","16226",16226,2000,16455
50,13,159,"Jasper County","4806",4806,2000,4847
50,13,161,"Jeff Davis County","5581",5582,2000,5595
50,13,163,"Jefferson County","7221",7221,2000,7234
50,13,165,"Jenkins County","3907",3907,2000,3912
50,13,167,"Johnson County","3634",3634,2000,3642
50,13,169,"Jones County","9272",9272,2000,9341
50,13,171,"Lamar County","6145",6145,2000,6167
50,13,173,"Lanier County","3011",3011,2000,3025
50,13,175,"Laurens County","19687",19687,2000,19734
50,13,177,"Lee County","8813",8813,2000,8885
50,13,179,"Liberty County","21977",21977,2000,22051
50,13,181,"Lincoln County","4514",4514,2000,4531
50,13,183,"Long County","4232",4232,2000,4249
50,13,185,"Lowndes County","36551",36555,2000,36787
50,13,187,"Lumpkin County","8263",8254,2000,8347
50,13,189,"McDuffie County","8916",8917,2000,8939
50,13,191,"McIntosh County","5735",5735,2000,5767
50,13,193,"Macon County","5495",5495,2000,5504
50,13,195,"Madison County","10520",10520,2000,10573
50,13,197,"Marion County","3130",3130,2000,3141
50,13,199,"Meriwether County","9211",9211,2000,9256
50,13,201,"Miller County","2770",2770,2000,2776
50,13,205,"Mitchell County","8880",8881,2000,8913
50,13,207,"Monroe County","8425",8434,2000,8477
50,13,209,"Montgomery County","3492",3492,2000,3505
50,13,211,"Morgan County","6128",6128,2000,6178
50,13,213,"Murray County","14320",14320,2000,14396
50,13,215,"Muscogee County","76182",76182,2000,76403
50,13,217,"Newton County","23033",23033,2000,23506
50,13,219,"Oconee County","9528",9528,2000,9590
50,13,221,"Oglethorpe County","5368",5368,2000,5383
50,13,223,"Paulding County","29274",29246,2000,29949
50,13,225,"Peach County","9093",9093,2000,9133
50,13,227,"Pickens County","10687",10687,2000,10795
50,13,229,"Pierce County","6719",6714,2000,6738
50,13,231,"Pike County","5068",5068,2000,5122
50,13,233,"Polk County","15059",15059,2000,15127
50,13,235,"Pulaski County","3944",3944,2000,3964
50,13,237,"Putnam County","10319",10319,2000,10379
50,13,239,"Quitman County","1773",1773,2000,1779
50,13,241,"Rabun County","10210",10210,2000,10288
50,13,243,"Randolph County","3402",3402,2000,3406
50,13,245,"Richmond County","82312",82312,2000,82444
50,13,247,"Rockdale County","25082",25082,2000,25269
50,13,249,"Schley County","1612",1612,2000,1617
50,13,251,"Screven County","6853",6853,2000,6872
50,13,253,"Seminole County","4742",4742,2000,4753
50,13,255,"Spalding County","23001",23001,2000,23109
50,13,257,"Stephens County","11652",11652,2000,11695
50,13,259,"Stewart County","2354",2355,2000,2357
50,13,261,"Sumter County","13700",13700,2000,13735
50,13,263,"Talbot County","2871",2871,2000,2884
50,13,265,"Taliaferro County","1085",1085,2000,1088
50,13,267,"Tattnall County","8578",8578,2000,8589
50,13,269,"Taylor County","3978",3978,2000,3987
50,13,271,"Telfair County","5083",5083,2000,5093
50,13,273,"Terrell County","4460",4460,2000,4474
50,13,275,"Thomas County","18285",18283,2000,18343
50,13,277,"Tift County","15411",15405,2000,15447
50,13,279,"Toombs County","11371",11371,2000,11394
50,13,281,"Towns County","6282",6282,2000,6332
50,13,283,"Treutlen County","2865",2865,2000,2871
50,13,285,"Troup County","23824",23824,2000,23971
50,13,287,"Turner County","3916",3916,2000,3924
50,13,289,"Twiggs County","4291",4291,2000,4302
50,13,291,"Union County","10001",10001,2000,10103
50,13,293,"Upson County","11616",11616,2000,11655
50,13,295,"Walker County","25577",25577,2000,25670
50,13,297,"Walton County","22500",22500,2000,22799
50,13,299,"Ware County","15831",15836,2000,15861
50,13,301,"Warren County","2767",2767,2000,2773
50,13,303,"Washington County","8327",8327,2000,8346
50,13,305,"Wayne County","10827",10828,2000,10855
50,13,307,"Webster County","1115",1114,2000,1117
50,13,309,"Wheeler County","2447",2447,2000,2453
50,13,311,"White County","9454",9454,2000,9538
50,13,313,"Whitfield County","30722",30742,2000,30971
50,13,315,"Wilcox County","3320",3320,2000,3328
50,13,317,"Wilkes County","5022",5022,2000,5029
50,13,319,"Wilkinson County","4449",4449,2000,4461
