"from_state","from_puma","to_state","to_puma","count"
2,300,22,1900,1
2,300,24,1100,1
2,300,24,1500,3
2,300,25,3200,1
2,300,26,1100,1
2,300,26,3000,1
2,300,30,100,1
2,300,30,500,1
2,300,35,1000,2
2,300,36,1700,2
2,300,37,3690,1
2,300,38,200,1
2,300,39,400,1
2,300,39,3900,1
2,300,40,690,3
2,300,47,300,3
2,300,47,2500,1
2,300,48,300,2
2,300,48,500,1
2,300,48,2700,1
2,300,48,3700,5
2,300,48,5600,2
2,300,51,300,1
2,300,53,700,1
2,300,53,1890,1
2,300,55,290,1
2,300,110,1,2
2,300,139,1,1
2,300,213,1,6
2,300,215,1,5
2,300,217,1,3
2,300,252,1,1
2,300,253,1,1
2,300,301,1,3
2,400,2,100,17
2,400,2,200,9
2,400,2,300,22
2,400,2,400,146
2,400,4,100,1
2,400,5,1100,4
2,400,6,1100,2
2,400,6,2800,1
2,400,6,8100,2
2,400,8,190,1
2,400,8,1000,1
2,400,9,1200,2
2,400,12,400,1
2,400,12,3500,1
2,400,15,300,2
2,400,16,300,1
2,400,21,1100,1
2,400,26,1390,1
2,400,26,2600,1
