"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Columbus","OH",162,143,0,19,0,2
"Corpus Christi","TX",105,99,6,0,0,2
"Corvallis","OR",4,4,0,0,0,2
"Cumberland","MD-WV",6,6,0,0,0,2
"Dallas-Fort Worth-Arlington","TX",2415,1735,40,12,628,2
"Dalton","GA",28,23,0,0,5,2
"Danville","IL",0,0,0,0,0,2
"Danville","VA",9,9,0,0,0,2
"Davenport-Moline-Rock Island","IA-IL",12,12,0,0,0,2
"Dayton","OH",143,39,2,0,102,2
"Decatur","AL",25,13,0,0,12,2
"Decatur","IL",0,0,0,0,0,2
"Deltona-Daytona Beach-Ormond Beach","FL",205,68,0,0,137,2
"Denver-Aurora","CO",1063,335,4,4,720,2
"Des Moines-West Des Moines","IA",129,129,0,0,0,2
"Detroit-Warren-Livonia","MI",241,131,0,0,110,2
"Dothan","AL",19,19,0,0,0,2
"Dover","DE",55,55,0,0,0,2
"Dubuque","IA",11,7,4,0,0,2
"Duluth","MN-WI",19,14,0,0,5,2
"Durham","NC",207,152,2,0,53,2
"Eau Claire","WI",10,4,6,0,0,2
"El Centro","CA",43,38,0,0,5,2
"El Paso","TX",409,257,0,0,152,2
"Elizabethtown","KY",21,15,6,0,0,2
"Elkhart-Goshen","IN",29,29,0,0,0,2
"Elmira","NY",0,0,0,0,0,2
"Erie","PA",3,3,0,0,0,2
"Eugene-Springfield","OR",140,67,2,0,71,2
"Evansville","IN-KY",35,30,0,0,5,2
"Fairbanks","AK",9,7,2,0,0,2
"Fargo","ND-MN",8,8,0,0,0,2
"Farmington","NM",21,17,0,4,0,2
"Fayetteville","NC",444,130,0,0,314,2
"Fayetteville-Springdale-Rogers","AR-MO",752,93,10,23,626,2
"Flagstaff","AZ",13,13,0,0,0,2
"Flint","MI",38,6,0,0,32,2
"Florence","SC",34,34,0,0,0,2
"Florence-Muscle Shoals","AL",70,30,0,0,40,2
"Fond du Lac","WI",15,6,4,0,5,2
"Fort Collins-Loveland","CO",55,47,0,0,8,2
"Fort Smith","AR-OK",41,33,0,0,8,2
"Fort Walton Beach-Crestview-Destin","FL",26,26,0,0,0,2
"Fort Wayne","IN",27,27,0,0,0,2
"Fresno","CA",94,84,0,3,7,2
"Gadsden","AL",7,7,0,0,0,2
"Gainesville","FL",109,40,2,32,35,2
"Gainesville","GA",72,72,0,0,0,2
"Glens Falls","NY",14,9,0,0,5,2
"Goldsboro","NC",40,40,0,0,0,2
"Grand Forks","ND-MN",3,1,2,0,0,2
"Grand Junction","CO",114,42,0,0,72,2
"Grand Rapids-Wyoming","MI",87,70,2,3,12,2
"Great Falls","MT",9,9,0,0,0,2
"Greeley","CO",89,73,0,3,13,2
"Green Bay","WI",43,33,0,0,10,2
"Greensboro-High Point","NC",376,244,0,0,132,2
"Greenville","NC",73,63,10,0,0,2
"Greenville","SC",351,286,0,11,54,2
"Gulfport-Biloxi","MS",499,205,28,132,134,2
"Hagerstown-Martinsburg","MD-WV",119,87,0,8,24,2
"Hanford-Corcoran","CA",21,12,0,4,5,2
"Harrisburg-Carlisle","PA",80,78,2,0,0,2
"Harrisonburg","VA",28,28,0,0,0,2
"Hartford-West Hartford-East Hartford","CT",85,58,2,0,25,2
"Hattiesburg","MS",16,0,0,0,16,2
"Hickory-Lenoir-Morganton","NC",94,86,0,0,8,2
