State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
5,NCNTY05099N05099,"Nevada County, AR",441,482,566,678,781,AR,9955
5,NCNTY05101N05101,"Newton County, AR",459,460,551,714,809,AR,8608
5,NCNTY05103N05103,"Ouachita County, AR",369,462,512,699,786,AR,28790
5,NCNTY05107N05107,"Phillips County, AR",425,429,512,646,666,AR,26445
5,NCNTY05109N05109,"Pike County, AR",441,482,566,678,781,AR,11303
5,NCNTY05113N05113,"Polk County, AR",426,461,512,709,802,AR,20229
5,NCNTY05115N05115,"Pope County, AR",407,434,564,800,824,AR,54469
5,NCNTY05117N05117,"Prairie County, AR",445,446,535,704,727,AR,9539
5,NCNTY05121N05121,"Randolph County, AR",339,427,521,624,889,AR,18195
5,NCNTY05123N05123,"St. Francis County, AR",435,477,554,786,937,AR,29329
5,NCNTY05127N05127,"Scott County, AR",425,426,512,668,898,AR,10996
5,NCNTY05129N05129,"Searcy County, AR",459,460,551,714,809,AR,8261
5,NCNTY05133N05133,"Sevier County, AR",426,455,512,696,782,AR,15757
5,NCNTY05135N05135,"Sharp County, AR",441,442,531,662,684,AR,17119
5,NCNTY05137N05137,"Stone County, AR",417,418,526,691,798,AR,11499
5,NCNTY05139N05139,"Union County, AR",470,490,567,723,997,AR,45629
5,NCNTY05141N05141,"Van Buren County, AR",425,425,512,674,793,AR,16192
5,NCNTY05145N05145,"White County, AR",445,446,567,775,798,AR,67165
5,NCNTY05147N05147,"Woodruff County, AR",445,446,535,704,727,AR,8741
5,NCNTY05149N05149,"Yell County, AR",433,435,530,689,711,AR,21139
6,METRO12540M12540,"Bakersfield, CA MSA",607,655,776,1132,1363,CA,661645
6,METRO17020M17020,"Chico, CA MSA",618,730,883,1244,1478,CA,203171
6,METRO20940M20940,"El Centro, CA MSA",645,727,857,1230,1502,CA,142361
6,METRO23420M23420,"Fresno, CA MSA",691,765,884,1285,1470,CA,799407
6,METRO25260M25260,"Hanford-Corcoran, CA MSA",671,701,810,1181,1424,CA,129461
6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",981,1186,1486,2025,2494,CA,9519338
6,METRO31100MM5945,"Orange County, CA HUD Metro FMR Area",1221,1371,1644,2353,2703,CA,2846289
6,METRO31460M31460,"Madera, CA MSA",644,689,894,1283,1322,CA,123109
6,METRO32900M32900,"Merced, CA MSA",611,673,813,1184,1428,CA,210554
6,METRO33700M33700,"Modesto, CA MSA",724,785,919,1312,1563,CA,446997
6,METRO34900M34900,"Napa, CA MSA",954,1075,1355,1970,2375,CA,124279
6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1134,1258,1591,2315,2670,CA,753197
6,METRO39820M39820,"Redding, CA MSA",607,691,840,1226,1478,CA,163256
6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",952,1040,1213,1722,2014,CA,3254821
6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",790,901,1074,1565,1824,CA,1628197
6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",851,931,1102,1606,1935,CA,168660
6,METRO41500M41500,"Salinas, CA MSA",920,1032,1218,1772,1845,CA,401762
6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",1024,1168,1418,2067,2493,CA,2813833
6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",986,1182,1400,1950,2393,CA,2392557
6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1136,1393,1748,2320,2491,CA,1731183
6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",1030,1210,1428,2051,2249,CA,1682585
6,METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",811,1038,1155,1682,2028,CA,53234
6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",817,974,1192,1736,1831,CA,246681
6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1087,1227,1440,1817,2189,CA,399347
6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1113,1309,1713,2494,2669,CA,255602
6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",898,1087,1359,1979,2299,CA,458614
6,METRO44700M44700,"Stockton, CA MSA",729,821,1006,1390,1769,CA,563598
6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",1004,1090,1249,1719,2080,CA,394542
6,METRO47300M47300,"Visalia-Porterville, CA MSA",585,620,713,1040,1070,CA,368021
6,METRO49700M49700,"Yuba City, CA MSA",569,644,780,1135,1367,CA,139149
6,NCNTY06003N06003,"Alpine County, CA",701,752,990,1375,1416,CA,1208
6,NCNTY06005N06005,"Amador County, CA",791,823,1078,1550,1598,CA,35100
6,NCNTY06009N06009,"Calaveras County, CA",768,769,924,1350,1559,CA,40554
6,NCNTY06011N06011,"Colusa County, CA",677,679,851,1092,1494,CA,18804
6,NCNTY06015N06015,"Del Norte County, CA",648,686,846,1232,1271,CA,27507
6,NCNTY06021N06021,"Glenn County, CA",553,595,760,993,1021,CA,26453
6,NCNTY06023N06023,"Humboldt County, CA",596,697,915,1336,1593,CA,126518
6,NCNTY06027N06027,"Inyo County, CA",589,628,809,1173,1326,CA,17945
6,NCNTY06033N06033,"Lake County, CA",636,692,909,1324,1413,CA,58309
6,NCNTY06035N06035,"Lassen County, CA",614,667,878,1277,1380,CA,33828
6,NCNTY06043N06043,"Mariposa County, CA",701,752,990,1375,1416,CA,17130
6,NCNTY06045N06045,"Mendocino County, CA",681,819,1016,1404,1722,CA,86265
6,NCNTY06049N06049,"Modoc County, CA",557,632,828,1191,1249,CA,9449
6,NCNTY06051N06051,"Mono County, CA",762,1035,1164,1697,2045,CA,12853
6,NCNTY06057N06057,"Nevada County, CA",773,872,1148,1657,2018,CA,92033
6,NCNTY06063N06063,"Plumas County, CA",605,673,888,1296,1558,CA,20824
6,NCNTY06091N06091,"Sierra County, CA",726,820,1079,1532,1814,CA,3555
6,NCNTY06093N06093,"Siskiyou County, CA",521,621,801,1116,1230,CA,44301
6,NCNTY06103N06103,"Tehama County, CA",570,610,780,1133,1367,CA,56039
6,NCNTY06105N06105,"Trinity County, CA",581,620,789,1121,1288,CA,13022
6,NCNTY06109N06109,"Tuolumne County, CA",658,778,1010,1357,1399,CA,54501
8,METRO14500M14500,"Boulder, CO MSA",756,860,1088,1585,1895,CO,269814
8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",600,681,843,1216,1434,CO,516929
8,METRO17820N08119,"Teller County, CO HUD Metro FMR Area",628,734,964,1403,1690,CO,20555
8,METRO19740M19740,"Denver-Aurora, CO MSA",617,704,891,1265,1475,CO,2179240
8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",646,758,883,1287,1548,CO,251494
8,METRO24300M24300,"Grand Junction, CO MSA",587,588,705,1029,1241,CO,116255
8,METRO24540M24540,"Greeley, CO MSA",567,581,702,1025,1219,CO,180926
8,METRO39380M39380,"Pueblo, CO MSA",526,548,723,946,1080,CO,141472
8,NCNTY08003N08003,"Alamosa County, CO",402,519,577,803,980,CO,14966
8,NCNTY08007N08007,"Archuleta County, CO",538,672,824,1023,1271,CO,9898
8,NCNTY08009N08009,"Baca County, CO",422,514,577,796,877,CO,4517
8,NCNTY08011N08011,"Bent County, CO",492,494,594,791,917,CO,5998
8,NCNTY08015N08015,"Chaffee County, CO",461,609,709,1034,1064,CO,16242
8,NCNTY08017N08017,"Cheyenne County, CO",492,494,594,791,917,CO,2231
8,NCNTY08021N08021,"Conejos County, CO",422,514,577,796,877,CO,8400
8,NCNTY08023N08023,"Costilla County, CO",422,514,577,796,877,CO,3663
8,NCNTY08025N08025,"Crowley County, CO",492,494,594,791,917,CO,5518
8,NCNTY08027N08027,"Custer County, CO",520,609,801,1065,1232,CO,3503
8,NCNTY08029N08029,"Delta County, CO",531,578,642,887,913,CO,27834
8,NCNTY08033N08033,"Dolores County, CO",537,671,769,1021,1267,CO,1844
8,NCNTY08037N08037,"Eagle County, CO",928,1089,1427,1797,2506,CO,41659
8,NCNTY08043N08043,"Fremont County, CO",453,528,696,974,1159,CO,46145
8,NCNTY08045N08045,"Garfield County, CO",916,1062,1199,1620,2108,CO,43791
8,NCNTY08049N08049,"Grand County, CO",583,680,895,1163,1197,CO,12442
8,NCNTY08051N08051,"Gunnison County, CO",574,640,842,1140,1478,CO,13956
8,NCNTY08053N08053,"Hinsdale County, CO",747,905,1148,1606,2012,CO,790
8,NCNTY08055N08055,"Huerfano County, CO",422,514,577,796,877,CO,7862
8,NCNTY08057N08057,"Jackson County, CO",675,758,841,1141,1420,CO,1577
8,NCNTY08061N08061,"Kiowa County, CO",492,494,594,791,917,CO,1622
8,NCNTY08063N08063,"Kit Carson County, CO",492,494,594,791,917,CO,8011
8,NCNTY08065N08065,"Lake County, CO",747,905,1148,1606,2012,CO,7812
8,NCNTY08067N08067,"La Plata County, CO",619,743,863,1228,1380,CO,43941
8,NCNTY08071N08071,"Las Animas County, CO",421,574,646,819,846,CO,15207
8,NCNTY08073N08073,"Lincoln County, CO",492,494,594,791,917,CO,6087
8,NCNTY08075N08075,"Logan County, CO",470,472,594,857,884,CO,20504
8,NCNTY08079N08079,"Mineral County, CO",747,905,1148,1606,2012,CO,831
8,NCNTY08081N08081,"Moffat County, CO",532,599,750,1034,1285,CO,13184
8,NCNTY08083N08083,"Montezuma County, CO",476,565,649,800,1001,CO,23830
8,NCNTY08085N08085,"Montrose County, CO",458,617,704,971,1226,CO,33432
8,NCNTY08087N08087,"Morgan County, CO",537,565,649,842,982,CO,27171
8,NCNTY08089N08089,"Otero County, CO",437,478,577,844,919,CO,20311
8,NCNTY08091N08091,"Ouray County, CO",747,905,1148,1606,2012,CO,3742
8,NCNTY08095N08095,"Phillips County, CO",492,494,594,791,917,CO,4480
8,NCNTY08097N08097,"Pitkin County, CO",1043,1218,1602,2156,2813,CO,14872
8,NCNTY08099N08099,"Prowers County, CO",425,518,577,784,1012,CO,14483
8,NCNTY08103N08103,"Rio Blanco County, CO",675,758,841,1141,1420,CO,5986
8,NCNTY08105N08105,"Rio Grande County, CO",426,518,577,810,886,CO,12413
8,NCNTY08107N08107,"Routt County, CO",722,866,1110,1375,1949,CO,19690
8,NCNTY08109N08109,"Saguache County, CO",422,514,577,796,877,CO,5917
8,NCNTY08111N08111,"San Juan County, CO",537,671,769,1021,1267,CO,558
8,NCNTY08113N08113,"San Miguel County, CO",771,975,1180,1720,1771,CO,6594
8,NCNTY08115N08115,"Sedgwick County, CO",492,494,594,791,917,CO,2747
8,NCNTY08117N08117,"Summit County, CO",821,957,1261,1804,2214,CO,23548
8,NCNTY08121N08121,"Washington County, CO",492,494,594,791,917,CO,4926
8,NCNTY08125N08125,"Yuma County, CO",492,494,594,791,917,CO,9841
