"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"287","Salisbury, MD","4454",2809,0,0,1645
"288","Salt Lake City,* UT","65584",58234,419,845,6086
"289","San Angelo,* TX","4524",4524,0,0,0
"290","San Antonio,* TX","154096",103619,0,2060,48417
"291","San Diego-Carlsbad-San Marcos,* CA","52778",46386,465,1035,4892
"292","San Francisco-Oakland-Fremont,* CA","166347",100784,2000,2171,61392
"293","San Jose-Sunnyvale-Santa Clara,* CA","76913",39326,0,900,36687
"294","San Luis Obispo-Paso Robles, CA","10054",9514,540,0,0
"295","Sandusky, OH","0",0,0,0,0
"296","Santa Barbara-Santa Maria, CA","8113",8113,0,0,0
"297","Santa Cruz-Watsonville, CA","29486",6206,0,0,23280
"298","Santa Fe,* NM","2136",2136,0,0,0
"299","Santa Rosa-Petaluma, CA","23548",23548,0,0,0
"300","Sarasota-Bradenton-Venice,* FL","35251",34907,0,0,344
"301","Savannah, GA","28250",25531,1593,1126,0
"302","Scranton--Wilkes-Barre, PA","4589",4589,0,0,0
"303","Seattle-Tacoma-Bellevue,* WA","317052",203116,6431,6456,101049
"304","Sebastian-Vero Beach,* FL","31484",31484,0,0,0
"305","Sheboygan, WI","929",897,32,0,0
"306","Sherman-Denison, TX","0",0,0,0,0
"307","Shreveport-Bossier City, LA","16416",15432,0,0,984
"308","Sioux City, IA-NE-SD","3092",2413,679,0,0
"309","Sioux Falls, SD","19834",14594,2062,487,2691
"310","South Bend-Mishawaka, IN-MI","8634",7555,0,0,1079
"311","Spartanburg, SC","12152",12152,0,0,0
"312","Spokane, WA","15330",15330,0,0,0
"313","Springfield, IL","6380",4105,1637,638,0
"314","Springfield, MA","12275",10578,980,0,717
"315","Springfield, MO","23750",17943,0,378,5429
"316","Springfield, OH","1291",1291,0,0,0
"317","St. Cloud, MN","8447",8132,0,0,315
"318","St. George, UT","17959",17793,166,0,0
"319","St. Joseph, MO-KS","1556",1556,0,0,0
"320","St. Louis,* MO-IL","122805",116607,1586,507,4105
"321","State College, PA","5024",4753,271,0,0
"322","Stockton,* CA","27410",27410,0,0,0
"323","Sumter,* SC","4184",4184,0,0,0
"324","Syracuse, NY","10366",10366,0,0,0
"325","Tallahassee, FL","20601",17850,174,306,2271
"326","Tampa-St. Petersburg-Clearwater,* FL","164735",119120,831,2511,42273
"327","Terre Haute, IN","9375",2750,0,0,6625
"328","Texarkana, TX-Texarkana, AR","1762",1624,0,138,0
"329","Toledo, OH","26950",20049,1423,310,5168
"330","Topeka, KS","7021",7021,0,0,0
"331","Trenton-Ewing,* NJ","4593",3991,105,0,497
"332","Tucson,* AZ","56771",55422,347,226,776
"333","Tulsa,* OK","68280",55797,1149,0,11334
"334","Tuscaloosa, AL","13794",8929,0,0,4865
"335","Tyler, TX","3381",3000,0,150,231
"336","Utica-Rome, NY","326",326,0,0,0
"337","Valdosta, GA","6795",5974,172,0,649
"338","Vallejo-Fairfield, CA","1305",1305,0,0,0
"339","Victoria, TX","850",850,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","5874",5672,0,202,0
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","69278",64272,0,1024,3982
"342","Visalia-Porterville, CA","49564",29869,233,0,19462
"343","Waco, TX","7716",7716,0,0,0
"344","Warner Robins, GA","6997",6997,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","189522",169337,524,338,19323
"346","Waterloo-Cedar Falls, IA","4761",4251,510,0,0
"347","Wausau, WI","3210",2870,340,0,0
"348","Weirton-Steubenville, WV-OH","0",0,0,0,0
"349","Wenatchee, WA","8308",8308,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","1333",1333,0,0,0
"352","Wichita, KS","33207",27316,349,0,5542
"353","Williamsport, PA","546",546,0,0,0
"354","Wilmington,* NC","55880",46667,890,0,8323
"355","Winchester, VA-WV","9322",9322,0,0,0
"356","Winston-Salem, NC","22890",22890,0,0,0
"357","Worcester, MA","16585",16085,500,0,0
"358","Yakima, WA","3747",2787,0,960,0
"359","York-Hanover, PA","23580",23006,0,0,574
"360","Youngstown-Warren-Boardman, OH-PA","10097",5897,100,1600,2500
"361","Yuba City, CA","3220",3220,0,0,0
"362","Yuma, AZ","7592",7592,0,0,0
