"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"285","Saginaw-Saginaw Township North, MI","612",612,0,0,0
"286","Salem, OR","5231",5231,0,0,0
"287","Salinas, CA","6116",4751,0,0,1365
"288","Salisbury, MD","1870",915,0,0,955
"289","Salt Lake City,* UT","38557",18552,271,1333,18401
"290","San Angelo,* TX","2117",2117,0,0,0
"291","San Antonio,* TX","71996",51449,0,0,20547
"292","San Diego-Carlsbad-San Marcos,* CA","32470",25932,0,994,5544
"293","San Francisco-Oakland-Fremont,* CA","138583",40030,600,1055,96898
"294","San Jose-Sunnyvale-Santa Clara,* CA","104763",21292,833,1709,80929
"295","San Luis Obispo-Paso Robles, CA","4540",4540,0,0,0
"296","Sandusky, OH","0",0,0,0,0
"297","Santa Barbara-Santa Maria, CA","1536",1536,0,0,0
"298","Santa Cruz-Watsonville, CA","1239",1239,0,0,0
"299","Santa Fe,* NM","800",800,0,0,0
"300","Santa Rosa-Petaluma, CA","6886",6886,0,0,0
"301","Savannah, GA","12939",12939,0,0,0
"302","Scranton--Wilkes-Barre, PA","2028",2028,0,0,0
"303","Seattle-Tacoma-Bellevue,* WA","77575",53683,4404,4517,14971
"304","Sebastian-Vero Beach,* FL","8709",8709,0,0,0
"305","Sheboygan, WI","718",487,0,0,231
"306","Sherman-Denison, TX","0",0,0,0,0
"307","Shreveport-Bossier City, LA","5945",5945,0,0,0
"308","Sioux City, IA-NE-SD","416",416,0,0,0
"309","Sioux Falls, SD","2501",2245,256,0,0
"310","South Bend-Mishawaka, IN-MI","1040",1040,0,0,0
"311","Spartanburg, SC","2906",2906,0,0,0
"312","Spokane, WA","4143",3541,0,0,602
"313","Springfield, IL","390",140,250,0,0
"314","Springfield, MA","2777",2777,0,0,0
"315","Springfield, MO","4448",2229,115,0,2104
"316","Springfield, OH","79",79,0,0,0
"317","St. Cloud, MN","1753",1365,0,388,0
"318","St. George, UT","5380",5380,0,0,0
"319","St. Joseph, MO-KS","282",282,0,0,0
"320","St. Louis,* MO-IL","43657",34898,0,329,8430
"321","State College, PA","5560",3285,200,0,2075
"322","Stockton,* CA","10672",10672,0,0,0
"323","Sumter,* SC","3298",3208,0,90,0
"324","Syracuse, NY","5427",5427,0,0,0
"325","Tallahassee, FL","10171",8503,142,0,1526
"326","Tampa-St. Petersburg-Clearwater,* FL","70613",51954,587,0,18072
"327","Terre Haute, IN","613",136,191,0,286
"328","Texarkana, TX-Texarkana, AR","476",476,0,0,0
"329","Toledo, OH","4689",2557,0,0,2132
"330","Topeka, KS","2138",2138,0,0,0
"331","Trenton-Ewing,* NJ","4300",3620,0,0,680
"332","Tucson,* AZ","23006",22473,199,0,334
"333","Tulsa,* OK","25933",23607,320,0,2006
"334","Tuscaloosa, AL","3565",3565,0,0,0
"335","Tyler, TX","1290",1059,0,0,231
"336","Utica-Rome, NY","0",0,0,0,0
"337","Valdosta, GA","3204",3204,0,0,0
"338","Vallejo-Fairfield, CA","4391",4391,0,0,0
"339","Victoria, TX","453",453,0,0,0
"340","Vineland-Millville-Bridgeton,* NJ","2441",2441,0,0,0
"341","Virginia Beach-Norfolk-Newport News,*  VA-NC","22926",22315,250,0,361
"342","Visalia-Porterville, CA","12010",11432,140,438,0
"343","Waco, TX","2824",2824,0,0,0
"344","Warner Robins, GA","3109",3109,0,0,0
"345","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","120354",100134,265,719,19236
"346","Waterloo-Cedar Falls, IA","1119",1119,0,0,0
"347","Wausau, WI","753",753,0,0,0
"348","Weirton-Steubenville, WV-OH","0",0,0,0,0
"349","Wenatchee-East Wenatchee, WA","1792",1792,0,0,0
"350","Wheeling, WV-OH","0",0,0,0,0
"351","Wichita Falls, TX","1933",1933,0,0,0
"352","Wichita, KS","9846",7400,286,2160,0
"353","Williamsport, PA","0",0,0,0,0
"354","Wilmington,* NC","19911",19391,0,0,520
"355","Winchester, VA-WV","3067",3067,0,0,0
"356","Winston-Salem, NC","8304",7526,0,0,778
"357","Worcester, MA","9312",8344,678,290,0
"358","Yakima, WA","2532",2532,0,0,0
"359","York-Hanover, PA","3625",3051,0,0,574
"360","Youngstown-Warren-Boardman, OH-PA","5380",2380,0,0,3000
"361","Yuba City, CA","2031",2031,0,0,0
"362","Yuma, AZ","7637",7637,0,0,0
