"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"304","Shreveport-Bossier City, LA","15622",15622,0,0,0
"305","Sioux City, IA-NE-SD","1986",1799,80,107,0
"306","Sioux Falls, SD","9950",8592,1358,0,0
"307","South Bend-Mishawaka, IN-MI","8209",8209,0,0,0
"308","Spartanburg, SC","21039",12565,0,99,8375
"309","Spokane, WA","25875",19708,905,0,5262
"310","Springfield, IL","4238",3761,291,0,186
"311","Springfield, MA","6660",6660,0,0,0
"312","Springfield, MO","23672",22408,380,737,147
"313","Springfield, OH","2919",2919,0,0,0
"314","St. Cloud, MN","4673",4673,0,0,0
"315","St. George, UT","28628",25891,0,300,2437
"316","St. Joseph, MO-KS","1046",859,187,0,0
"317","St. Louis,* MO-IL","129152",122812,3303,2148,889
"318","State College, PA","6064",5712,352,0,0
"319","Stockton,* CA","103881",102088,0,0,1793
"320","Sumter,* SC","3495",2890,232,0,373
"321","Syracuse, NY","8034",7730,200,0,104
"322","Tallahassee, FL","36797",28544,146,278,7829
"323","Tampa-St. Petersburg-Clearwater,* FL","308138",276702,9667,4508,17261
"324","Terre Haute, IN","1272",1272,0,0,0
"325","Texarkana, TX-Texarkana, AR","1124",924,200,0,0
"326","Toledo, OH","21191",19854,485,852,0
"327","Topeka, KS","29844",29244,360,0,240
"328","Trenton-Ewing,* NJ","23059",6003,93,0,16963
"329","Tucson, AZ","114629",112619,198,0,1812
"330","Tulsa,* OK","43030",42530,0,0,500
"331","Tuscaloosa, AL","9668",9218,0,0,450
"332","Tyler, TX","5394",5117,0,0,277
"333","Utica-Rome, NY","1001",1001,0,0,0
"334","Valdosta, GA","8654",8219,40,0,395
"335","Vallejo-Fairfield,* CA","41626",41123,0,0,503
"336","Vero Beach,* FL","30453",27449,0,0,3004
"337","Victoria, TX","1409",1409,0,0,0
"338","Vineland-Millville-Bridgeton,* NJ","1668",1668,0,0,0
"339","Virginia Beach-Norfolk-Newport News,  VA-NC","85132",77150,2281,897,4804
"340","Visalia-Porterville, CA","24624",23477,290,857,0
"341","Waco, TX","12304",10905,1399,0,0
"342","Warner Robins, GA","11385",11385,0,0,0
"343","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","300517",252665,0,0,47852
"344","Waterloo-Cedar Falls, IA","4083",4083,0,0,0
"345","Wausau, WI","6300",6228,72,0,0
"346","Weirton-Steubenville, WV-OH","0",0,0,0,0
"347","Wenatchee, WA","6045",5813,232,0,0
"348","Wheeling, WV-OH","139",139,0,0,0
"349","Wichita Falls, TX","2717",2717,0,0,0
"350","Wichita, KS","19309",19219,90,0,0
"351","Williamsport, PA","344",344,0,0,0
"352","Wilmington,* NC","71227",65310,1616,237,4064
"353","Winchester, VA-WV","13076",13076,0,0,0
"354","Winston-Salem,* NC","30248",29476,0,772,0
"355","Worcester, MA","28183",27823,360,0,0
"356","Yakima, WA","5517",4767,173,248,329
"357","York-Hanover, PA","14002",13587,415,0,0
"358","Youngstown-Warren-Boardman, OH-PA","7034",6974,0,60,0
"359","Yuba City-Marysville, CA","23533",23533,0,0,0
"360","Yuma, AZ","24749",24749,0,0,0
