"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"225","Muskegon-Norton Shores, MI","6533",5442,1091,0,0
"226","Myrtle Beach-Conway-North Myrtle Beach,  SC","144783",84524,1385,1216,57658
"227","Napa, CA","9713",9713,0,0,0
"228","Naples-Marco Island,* FL","133962",83912,2002,4103,43945
"229","Nashville-Davidson--Murfreesboro,*  TN","260446",237684,1175,0,21587
"230","New Haven-Milford, CT","18275",15176,345,259,2495
"231","New Orleans-Metairie-Kenner,* LA","87524",82691,2976,150,1707
"232","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","864370",352958,60917,55856,394639
"233","Niles-Benton Harbor, MI","1914",1914,0,0,0
"234","Norwich-New London,* CT","24443",21651,0,1016,1776
"235","Ocala,* FL","74676",74676,0,0,0
"236","Ocean City,* NJ","43995",17919,8680,2628,14768
"237","Odessa,* TX","2496",2496,0,0,0
"238","Ogden-Clearfield, UT","69453",66805,1112,1536,0
"239","Oklahoma City,* OK","119682",117186,545,597,1354
"240","Olympia, WA","26271",25788,0,0,483
"241","Omaha-Council Bluffs,* NE-IA","72899",72434,182,0,283
"242","Orlando,* FL","480857",403387,263,2004,75203
"243","Oshkosh-Neenah, WI","11313",9692,1621,0,0
"244","Owensboro, KY","3329",3329,0,0,0
"245","Oxnard-Thousand Oaks-Ventura, CA","119574",106478,0,365,12731
"246","Palm Bay-Melbourne-Titusville,* FL","157384",115579,1769,0,40036
"247","Panama City-Lynn Haven,* FL","28645",19174,283,2906,6282
"248","Parkersburg-Marietta, WV-OH","2306",2306,0,0,0
"249","Pascagoula, MS","9562",9162,0,400,0
"250","Pensacola-Ferry Pass-Brent, FL","54359",44675,3453,1253,4978
"251","Peoria, IL","14464",13029,1115,0,320
"252","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","251093",223122,850,3500,23621
"253","Phoenix-Mesa-Scottsdale, AZ","806181",757960,470,4321,43430
"254","Pine Bluff, AR","1239",1118,50,0,71
"255","Pittsburgh,* PA","95906",87657,1163,740,6346
"256","Pittsfield, MA","918",918,0,0,0
"257","Pocatello, ID","5015",4755,0,260,0
"258","Port St. Lucie-Fort Pierce,* FL","170518",155517,0,1666,13335
"259","Portland-South Portland-Biddeford,  ME","64333",60453,2244,261,1375
"260","Portland-Vancouver-Beaverton,* OR-WA","260853",232545,2530,1934,23844
"261","Poughkeepsie-Newburgh-Middletown,  NY","29182",26580,290,0,2312
"262","Prescott, AZ","67437",65516,1423,498,0
"263","Providence-New Bedford-Fall River,  RI-MA","62307",55664,906,850,4887
"264","Provo-Orem, UT","83183",80689,562,0,1932
"265","Pueblo,* CO","16517",16517,0,0,0
"266","Punta Gorda,* FL","49780",39996,1392,914,7478
"267","Racine, WI","21428",20778,0,650,0
"268","Raleigh-Cary,* NC","247011",247011,0,0,0
"269","Rapid City, SD","13333",11399,0,0,1934
"270","Reading, PA","13954",13118,0,0,836
"271","Redding,* CA","20866",18770,181,977,938
"272","Reno-Sparks,* NV","98590",90773,128,489,7200
"273","Richmond,* VA","140448",134183,0,2589,3676
"274","Riverside-San Bernardino-Ontario,*  CA","1005534",935998,634,23251,45651
"275","Roanoke, VA","24075",22575,0,0,1500
"276","Rochester, MN","22502",22125,0,0,377
"277","Rochester, NY","30863",30563,0,300,0
"278","Rockford, IL","19542",17721,895,926,0
"279","Rocky Mount, NC","6201",5531,670,0,0
"280","Rome,* GA","6359",5505,505,0,349
"281","Sacramento--Arden-Arcade--Roseville,*  CA","321836",317485,475,1913,1963
"282","Saginaw-Saginaw Township North, MI","4700",4471,229,0,0
"283","Salem,* OR","33834",33037,797,0,0
"284","Salinas, CA","22269",22269,0,0,0
"285","Salisbury, MD","9939",8612,0,0,1327
"286","Salt Lake City,* UT","115945",109492,640,2354,3459
"287","San Angelo, TX","4679",4679,0,0,0
"288","San Antonio, TX","202215",194253,314,334,7314
"289","San Diego-Carlsbad-San Marcos,* CA","257642",225339,1770,11037,19496
"290","San Francisco-Oakland-Fremont,* CA","311506",258859,212,4941,47494
"291","San Jose-Sunnyvale-Santa Clara,* CA","102112",59550,1125,9862,31575
"292","San Luis Obispo-Paso Robles,* CA","34272",33585,0,0,687
"293","Sandusky, OH","267",0,0,0,267
"294","Santa Barbara-Santa Maria-Goleta,  CA","34180",32761,223,279,917
"295","Santa Cruz-Watsonville, CA","8031",7835,196,0,0
"296","Santa Fe,* NM","7702",7702,0,0,0
"297","Santa Rosa-Petaluma, CA","60355",36659,1122,0,22574
"298","Sarasota-Bradenton-Venice,* FL","224914",209953,1107,4930,8924
"299","Savannah, GA","35247",33004,2043,0,200
"300","Scranton--Wilkes-Barre, PA","5632",5470,0,162,0
"301","Seattle-Tacoma-Bellevue,* WA","412553",347885,3731,5900,55037
"302","Sheboygan, WI","3956",3547,409,0,0
"303","Sherman-Denison, TX","723",603,120,0,0
"304","Shreveport-Bossier City, LA","27567",27567,0,0,0
"305","Sioux City, IA-NE-SD","4772",4493,279,0,0
"306","Sioux Falls, SD","9988",8781,451,0,756
"307","South Bend-Mishawaka, IN-MI","17637",16077,0,0,1560
"308","Spartanburg, SC","18964",18964,0,0,0
"309","Spokane, WA","33785",26812,1133,293,5547
"310","Springfield, IL","6954",5565,736,374,279
"311","Springfield, MA","14602",14380,222,0,0
"312","Springfield, MO","64088",50564,2860,1890,8774
"313","Springfield, OH","3162",3162,0,0,0
"314","St. Cloud, MN","16788",16473,0,0,315
"315","St. George, UT","57394",51127,0,336,5931
"316","St. Joseph, MO-KS","2555",2555,0,0,0
"317","St. Louis,* MO-IL","239539",226644,2928,1658,8309
"318","State College, PA","9531",8701,830,0,0
"319","Stockton,* CA","114886",113487,446,0,953
"320","Sumter,* SC","6660",5720,262,678,0
"321","Syracuse, NY","23352",21112,0,0,2240
"322","Tallahassee, FL","40796",30886,1191,457,8262
"323","Tampa-St. Petersburg-Clearwater,* FL","565509",476286,823,2765,85635
"324","Terre Haute, IN","3647",2815,0,0,832
"325","Texarkana, TX-Texarkana, AR","2720",2555,165,0,0
"326","Toledo, OH","26851",23701,966,2184,0
"327","Topeka, KS","13220",13220,0,0,0
"328","Trenton-Ewing,* NJ","15224",11420,0,0,3804
"329","Tucson, AZ","206617",199499,1088,295,5735
"330","Tulsa,* OK","71969",58681,314,0,12974
"331","Tuscaloosa, AL","19025",18501,0,0,524
"332","Tyler, TX","8204",7684,0,150,370
"333","Utica-Rome, NY","589",589,0,0,0
"334","Valdosta, GA","12745",10791,117,0,1837
"335","Vallejo-Fairfield, CA","43202",42502,700,0,0
"336","Vero Beach,* FL","62423",61469,754,0,200
"337","Victoria, TX","2781",1584,0,714,483
"338","Vineland-Millville-Bridgeton,* NJ","7002",7002,0,0,0
"339","Virginia Beach-Norfolk-Newport News,  VA-NC","128359",120359,4395,1001,2604
"340","Visalia-Porterville, CA","53439",49198,557,3684,0
"341","Waco, TX","11513",7513,0,0,4000
"342","Warner Robins, GA","10609",10609,0,0,0
"343","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","734812",527963,0,623,206226
"344","Waterloo-Cedar Falls, IA","14945",7558,490,480,6417
"345","Wausau, WI","11628",11183,445,0,0
"346","Weirton-Steubenville, WV-OH","239",239,0,0,0
"347","Wenatchee, WA","9060",9060,0,0,0
