"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"245","Oshkosh-Neenah, WI","8169",7399,270,500,0
"246","Owensboro, KY","2149",2149,0,0,0
"247","Oxnard-Thousand Oaks-Ventura, CA","15460",13130,274,0,2056
"248","Palm Bay-Melbourne-Titusville,* FL","34253",30710,0,0,3543
"249","Palm Coast, FL","7989",7289,0,0,700
"250","Panama City-Lynn Haven, FL","5194",5194,0,0,0
"251","Parkersburg-Marietta-Vienna, WV-OH","1979",1979,0,0,0
"252","Pascagoula, MS","6691",6311,0,0,380
"253","Pensacola-Ferry Pass-Brent,* FL","18473",18473,0,0,0
"254","Peoria, IL","11731",11331,400,0,0
"255","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","176842",112895,2757,518,60672
"256","Phoenix-Mesa-Scottsdale,* AZ","289780",263842,1385,1421,23132
"257","Pine Bluff, AR","153",73,0,0,80
"258","Pittsburgh,* PA","62223",58647,443,1053,2080
"259","Pittsfield, MA","247",247,0,0,0
"260","Pocatello, ID","2945",2945,0,0,0
"261","Port St. Lucie,* FL","34976",27923,0,2169,4884
"262","Portland-South Portland-Biddeford,  ME","24024",22165,797,0,1062
"263","Portland-Vancouver-Beaverton,* OR-WA","104287",92968,4171,234,6914
"264","Poughkeepsie-Newburgh-Middletown,  NY","11381",9909,100,0,1372
"265","Prescott, AZ","13274",13274,0,0,0
"266","Providence-New Bedford-Fall River,  RI-MA","38875",26325,1044,0,11506
"267","Provo-Orem, UT","28261",22191,0,4469,1601
"268","Pueblo,* CO","11247",11010,237,0,0
"269","Punta Gorda,* FL","5054",5054,0,0,0
"270","Racine, WI","5561",5561,0,0,0
"271","Raleigh-Cary,* NC","209119",147474,0,0,61645
"272","Rapid City, SD","9746",9316,0,0,430
"273","Reading, PA","7295",7295,0,0,0
"274","Redding, CA","5726",5127,204,0,395
"275","Reno-Sparks,* NV","25526",25211,0,0,315
"276","Richmond,* VA","66994",65684,0,754,556
"277","Riverside-San Bernardino-Ontario,*  CA","147824",125185,89,2092,20458
"278","Roanoke, VA","10772",10772,0,0,0
"279","Rochester, MN","7532",7532,0,0,0
"280","Rochester, NY","18247",17534,0,713,0
"281","Rockford, IL","6921",4941,2,0,1978
"282","Rocky Mount, NC","4003",4003,0,0,0
"283","Rome, GA","4425",4260,165,0,0
"284","Sacramento--Arden-Arcade--Roseville,*  CA","72760",72026,0,734,0
"285","Saginaw-Saginaw Township North, MI","1582",1582,0,0,0
"286","Salem, OR","18612",15728,537,0,2347
"287","Salinas, CA","9167",4357,0,458,4352
"288","Salisbury, MD","4932",3154,0,0,1778
"289","Salt Lake City,* UT","76505",46095,790,1269,28351
"290","San Angelo,* TX","5117",5117,0,0,0
"291","San Antonio,* TX","114331",102160,2065,175,9931
