"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"254","Pine Bluff, AR","533",533,0,0,0
"255","Pittsburgh, PA","97514",89583,1292,2395,4244
"256","Pittsfield, MA","2171",2171,0,0,0
"257","Pocatello, ID","3844",3844,0,0,0
"258","Port St. Lucie-Fort Pierce,* FL","127418",102190,199,3923,21106
"259","Portland-South Portland-Biddeford,  ME","61334",50573,559,953,9249
"260","Portland-Vancouver-Beaverton,* OR-WA","237716",194657,996,2678,39385
"261","Poughkeepsie-Newburgh-Middletown,*  NY","52763",49753,450,200,2360
"262","Prescott, AZ","32385",31194,958,233,0
"263","Providence-New Bedford-Fall River,  RI-MA","52734",51096,553,290,795
"264","Provo-Orem, UT","51477",48601,140,632,2104
"265","Pueblo,* CO","13692",13571,121,0,0
"266","Punta Gorda,* FL","41682",26313,1157,4153,10059
"267","Racine,* WI","19001",17622,155,0,1224
"268","Raleigh-Cary,* NC","186324",171558,646,0,14120
"269","Rapid City, SD","13072",9469,0,0,3603
"270","Reading, PA","12861",11911,116,187,647
"271","Redding,* CA","17755",17755,0,0,0
"272","Reno-Sparks,* NV","80546",80546,0,0,0
"273","Richmond,* VA","101113",92833,0,0,8280
"274","Riverside-San Bernardino-Ontario,*  CA","816782",765107,1242,9118,41315
"275","Roanoke, VA","19403",19403,0,0,0
"276","Rochester, MN","27977",27746,231,0,0
"277","Rochester, NY","35664",31867,300,375,3122
"278","Rockford, IL","22374",20700,963,711,0
"279","Rocky Mount, NC","5868",5706,162,0,0
"280","Rome,* GA","6002",5510,492,0,0
"281","Sacramento--Arden-Arcade--Roseville,*  CA","399079",394303,2389,0,2387
"282","Saginaw-Saginaw Township North, MI","4840",4840,0,0,0
"283","Salem,* OR","30591",27354,1650,1230,357
"284","Salinas, CA","30636",30636,0,0,0
"285","Salisbury, MD","7110",6359,0,0,751
"286","Salt Lake City,* UT","112585",101432,198,1823,9132
"287","San Angelo, TX","4126",4126,0,0,0
"288","San Antonio, TX","183306",142938,1094,1130,38144
"289","San Diego-Carlsbad-San Marcos,* CA","228469",172474,4515,9303,42177
"290","San Francisco-Oakland-Fremont,* CA","300698",212570,3048,6452,78628
"291","San Jose-Sunnyvale-Santa Clara,* CA","64685",52178,0,4009,8498
"292","San Luis Obispo-Paso Robles,* CA","39210",38263,261,536,150
"293","Sandusky, OH","2880",1880,0,1000,0
"294","Santa Barbara-Santa Maria-Goleta,  CA","16485",16059,0,426,0
"295","Santa Cruz-Watsonville,* CA","10703",10703,0,0,0
"296","Santa Fe,* NM","7564",7564,0,0,0
"297","Santa Rosa-Petaluma,* CA","28168",26395,0,287,1486
"298","Sarasota-Bradenton-Venice,* FL","168510",147956,357,7336,12861
"299","Savannah, GA","40467",39432,0,0,1035
"300","Scranton--Wilkes-Barre, PA","9316",8996,0,0,320
"301","Seattle-Tacoma-Bellevue,* WA","284857",245461,7495,12997,18904
"302","Sheboygan, WI","6123",5883,240,0,0
"303","Sherman-Denison, TX","2432",2432,0,0,0
"304","Shreveport-Bossier City, LA","18869",18775,0,94,0
"305","Sioux City, IA-NE-SD","4604",4604,0,0,0
"306","Sioux Falls, SD","23666",18784,0,0,4882
"307","South Bend-Mishawaka, IN-MI","12189",12189,0,0,0
"308","Spartanburg, SC","17514",17514,0,0,0
"309","Spokane, WA","37173",32216,1532,1029,2396
"310","Springfield, IL","9378",7255,1384,0,739
"311","Springfield, MA","19743",17467,876,0,1400
"312","Springfield, MO","36621",35499,424,136,562
"313","Springfield, OH","2451",2451,0,0,0
"314","St. Cloud, MN","17432",16432,0,0,1000
"315","St. George, UT","36448",35855,593,0,0
"316","St. Joseph, MO-KS","2317",1930,151,0,236
"317","St. Louis,* MO-IL","196234",190080,4064,238,1852
"318","State College, PA","6909",6909,0,0,0
"319","Stockton,* CA","94212",94212,0,0,0
"320","Sumter,* SC","5501",4509,236,0,756
"321","Syracuse, NY","13713",13341,205,0,167
"322","Tallahassee, FL","39422",19724,366,795,18537
"323","Tampa-St. Petersburg-Clearwater,* FL","390058",289905,6442,1594,92117
"324","Terre Haute, IN","3125",2950,0,0,175
"325","Texarkana, TX-Texarkana, AR","1733",1733,0,0,0
"326","Toledo, OH","46850",30034,871,280,15665
"327","Topeka, KS","11007",11007,0,0,0
"328","Trenton-Ewing,* NJ","8224",6565,0,0,1659
"329","Tucson, AZ","123023",123023,0,0,0
"330","Tulsa, OK","57625",56089,758,0,778
"331","Tuscaloosa, AL","7236",6064,0,0,1172
"332","Tyler, TX","7141",6529,0,150,462
"333","Utica-Rome, NY","2750",2750,0,0,0
"334","Valdosta, GA","7174",7174,0,0,0
"335","Vallejo-Fairfield,* CA","30967",28564,626,0,1777
"336","Vero Beach,* FL","44261",37350,130,544,6237
"337","Victoria, TX","1703",1703,0,0,0
"338","Vineland-Millville-Bridgeton,* NJ","3041",3041,0,0,0
"339","Virginia Beach-Norfolk-Newport News,  VA-NC","112212",87723,618,716,23155
"340","Visalia-Porterville, CA","36418",35733,0,438,247
"341","Waco, TX","9119",7841,1042,0,236
"342","Warner Robins, GA","12992",12992,0,0,0
"343","Washington-Arlington-Alexandria,*  DC-VA-MD-WV","374470",332789,309,0,41372
"344","Waterloo-Cedar Falls, IA","7463",7223,240,0,0
"345","Wausau, WI","8743",7930,483,330,0
"346","Weirton-Steubenville, WV-OH","671",671,0,0,0
"347","Wenatchee, WA","9684",9684,0,0,0
"348","Wheeling, WV-OH","204",204,0,0,0
"349","Wichita Falls, TX","5028",5028,0,0,0
"350","Wichita, KS","31276",30705,571,0,0
"351","Williamsport, PA","386",386,0,0,0
"352","Wilmington,* NC","91926",79297,1534,428,10667
"353","Winchester, VA-WV","14144",14144,0,0,0
"354","Winston-Salem,* NC","39423",39423,0,0,0
"355","Worcester, MA","55573",52779,550,207,2037
"356","Yakima, WA","12621",11872,749,0,0
"357","York-Hanover, PA","29554",27306,0,316,1932
"358","Youngstown-Warren-Boardman, OH-PA","19372",16870,560,480,1462
"359","Yuba City-Marysville, CA","37677",37677,0,0,0
"360","Yuma, AZ","17178",17178,0,0,0
