"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"209","Medford, OR","2082",1841,241,0,0
"210","Memphis,* TN-MS-AR","19412",13690,0,509,5213
"211","Merced, CA","806",806,0,0,0
"212","Miami-Fort Lauderdale-Pompano Beach,*  FL","43770",26777,1466,775,14752
"213","Michigan City-La Porte, IN","1448",1448,0,0,0
"214","Midland,* TX","2504",2504,0,0,0
"215","Milwaukee-Waukesha-West Allis,* WI","18949",16974,875,0,1100
"216","Minneapolis-St. Paul-Bloomington,*  MN-WI","57889",54896,179,1251,1563
"217","Missoula,* MT","1351",1351,0,0,0
"218","Mobile, AL","12537",12537,0,0,0
"219","Modesto, CA","4829",3666,197,0,966
"220","Monroe, LA","1861",1478,0,0,383
"221","Monroe, MI","640",640,0,0,0
"222","Montgomery, AL","5192",5192,0,0,0
"223","Morgantown, WV","541",0,0,245,296
"224","Morristown, TN","1330",1330,0,0,0
"225","Mount Vernon-Anacortes, WA","3334",3334,0,0,0
"226","Muncie, IN","120",120,0,0,0
"227","Muskegon-Norton Shores, MI","1236",1031,205,0,0
"228","Myrtle Beach-North Myrtle Beach-Conway,  SC","17169",12843,0,0,4326
"229","Napa, CA","2195",2195,0,0,0
"230","Naples-Marco Island,* FL","12919",12919,0,0,0
"231","Nashville-Davidson--Murfreesboro,*  TN","48683",41293,265,125,7000
"232","New Haven-Milford, CT","3041",2549,0,0,492
"233","New Orleans-Metairie-Kenner,* LA","21265",20084,831,350,0
"234","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","225205",147759,1865,4094,71487
"235","Niles-Benton Harbor, MI","721",721,0,0,0
"236","Norwich-New London, CT","3275",3275,0,0,0
"237","Ocala,* FL","8165",7815,350,0,0
"238","Ocean City,* NJ","16285",8707,2345,0,5233
"239","Odessa,* TX","1614",1614,0,0,0
"240","Ogden-Clearfield, UT","16494",15134,0,355,1005
"241","Oklahoma City,* OK","34246",33582,158,0,506
"242","Olympia, WA","7857",5754,0,0,2103
"243","Omaha-Council Bluffs,* NE-IA","22938",21059,482,0,1397
"244","Orlando-Kissimmee,* FL","70444",47103,200,686,22455
"245","Oshkosh-Neenah, WI","1792",1592,200,0,0
