"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"256","Pine Bluff, AR","403",403,0,0,0
"257","Pittsburgh,* PA","70999",67788,477,744,1990
"258","Pittsfield, MA","446",446,0,0,0
"259","Pocatello, ID","3599",3270,329,0,0
"260","Port St. Lucie,* FL","27802",26102,266,344,1090
"261","Portland-South Portland-Biddeford,  ME","41942",37375,159,261,4147
"262","Portland-Vancouver-Beaverton,* OR-WA","143518",123279,832,0,19407
"263","Poughkeepsie-Newburgh-Middletown,  NY","14452",11560,0,403,2489
"264","Prescott, AZ","21268",19925,1034,309,0
"265","Providence-New Bedford-Fall River,  RI-MA","32939",29447,530,1472,1490
"266","Provo-Orem, UT","51891",46475,332,0,5084
"267","Pueblo,* CO","6394",6222,172,0,0
"268","Punta Gorda,* FL","11710",11710,0,0,0
"269","Racine, WI","4926",4304,622,0,0
"270","Raleigh-Cary,* NC","230669",205270,0,0,25399
"271","Rapid City, SD","11547",11128,419,0,0
"272","Reading, PA","7439",6580,492,0,367
"273","Redding, CA","6857",6630,227,0,0
"274","Reno-Sparks,* NV","39448",39133,0,0,315
"275","Richmond,* VA","75346",68869,181,1236,5060
"276","Riverside-San Bernardino-Ontario,*  CA","212126",196938,876,2290,12022
"277","Roanoke, VA","20045",20045,0,0,0
"278","Rochester, MN","11010",9834,0,0,1176
"279","Rochester, NY","16085",15359,276,450,0
"280","Rockford, IL","14229",10752,0,829,2648
"281","Rocky Mount, NC","4783",4783,0,0,0
"282","Rome, GA","2143",2143,0,0,0
"283","Sacramento--Arden-Arcade--Roseville,*  CA","95632",94607,0,0,1025
"284","Saginaw-Saginaw Township North, MI","2173",2173,0,0,0
"285","Salem, OR","22268",19922,396,0,1950
"286","Salinas, CA","15573",8830,0,0,6743
"287","Salisbury, MD","7380",5735,0,0,1645
"288","Salt Lake City,* UT","62424",50482,675,2956,8311
"289","San Angelo,* TX","4524",4524,0,0,0
"290","San Antonio,* TX","144592",103213,0,0,41379
"291","San Diego-Carlsbad-San Marcos,* CA","94921",55695,1054,1566,36606
"292","San Francisco-Oakland-Fremont,* CA","157215",123848,1715,1977,29675
"293","San Jose-Sunnyvale-Santa Clara,* CA","73353",49457,0,0,23896
"294","San Luis Obispo-Paso Robles, CA","7638",7301,0,0,337
"295","Sandusky, OH","0",0,0,0,0
"296","Santa Barbara-Santa Maria, CA","8292",7804,0,0,488
"297","Santa Cruz-Watsonville, CA","11687",4325,3362,812,3188
"298","Santa Fe,* NM","2270",2270,0,0,0
"299","Santa Rosa-Petaluma, CA","17760",15170,363,253,1974
"300","Sarasota-Bradenton-Venice,* FL","32780",26959,0,0,5821
"301","Savannah, GA","25387",22931,0,0,2456
"302","Scranton--Wilkes-Barre, PA","4971",4291,0,680,0
"303","Seattle-Tacoma-Bellevue,* WA","326910",192187,13696,14750,106277
"304","Sebastian-Vero Beach,* FL","40129",40129,0,0,0
"305","Sheboygan, WI","2182",1879,303,0,0
"306","Sherman-Denison, TX","209",209,0,0,0
"307","Shreveport-Bossier City, LA","18692",18692,0,0,0
"308","Sioux City, IA-NE-SD","1968",1788,0,180,0
"309","Sioux Falls, SD","24304",19129,2131,399,2645
"310","South Bend-Mishawaka, IN-MI","22657",9469,0,1788,11400
"311","Spartanburg, SC","31974",31974,0,0,0
"312","Spokane, WA","18248",17584,664,0,0
"313","Springfield, IL","4266",3022,812,0,432
"314","Springfield, MA","13754",10025,1625,0,2104
"315","Springfield, MO","16096",15262,0,378,456
"316","Springfield, OH","8236",1455,0,0,6781
"317","St. Cloud, MN","6697",6319,0,0,378
"318","St. George, UT","16347",13871,0,0,2476
"319","St. Joseph, MO-KS","2989",2149,840,0,0
"320","St. Louis,* MO-IL","139403",122426,2474,1686,12817
"321","State College, PA","7064",6338,0,0,726
"322","Stockton,* CA","29912",22137,0,0,7775
"323","Sumter,* SC","3685",3685,0,0,0
"324","Syracuse, NY","11940",11759,181,0,0
"325","Tallahassee, FL","36982",35112,0,0,1870
"326","Tampa-St. Petersburg-Clearwater,* FL","144156",100269,313,235,43339
"327","Terre Haute, IN","2313",1918,0,0,395
"328","Texarkana, TX-Texarkana, AR","1127",843,284,0,0
"329","Toledo, OH","13457",13303,154,0,0
"330","Topeka, KS","7678",7067,0,0,611
"331","Trenton-Ewing,* NJ","7462",6654,105,0,703
"332","Tucson,* AZ","65890",52051,521,3016,10302
"333","Tulsa,* OK","58764",58509,255,0,0
"334","Tuscaloosa, AL","12270",7957,0,0,4313
"335","Tyler, TX","3461",3230,0,0,231
"336","Utica-Rome, NY","326",326,0,0,0
