"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Saginaw-Bay City-Midland","MI MSA",23,21,2,0,0,1,2000
"St. Cloud","MN MSA",25,25,0,0,0,1,2000
"St. Joseph","MO MSA",14,4,2,0,8,1,2000
"St. Louis","MO-IL MSA",846,698,14,44,90,1,2000
"Salinas","CA MSA",132,54,18,60,0,1,2000
"Salt Lake City-Ogden","UT MSA",519,474,4,12,29,1,2000
"San Angelo","TX MSA",21,19,2,0,0,1,2000
"San Antonio","TX MSA",874,712,12,0,150,1,2000
"San Diego","CA MSA",956,625,2,7,322,1,2000
"San Francisco-Oakland-San Jose","CA CMSA",2372,1414,24,55,879,1,2000
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",139,98,2,9,30,1,2000
"Santa Barbara-Santa Maria- Lompoc","CA MSA",37,37,0,0,0,1,2000
"Santa Fe","NM MSA",29,29,0,0,0,1,2000
"Sarasota-Bradenton","FL MSA",533,415,2,11,105,1,2000
"Savannah","GA MSA",139,111,10,0,18,1,2000
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",21,21,0,0,0,1,2000
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",2155,1083,38,64,970,1,2000
"Sharon","PA MSA",10,8,2,0,0,1,2000
"Sheboygan","WI MSA",4,4,0,0,0,1,2000
"Sherman-Denison","TX MSA",13,11,2,0,0,1,2000
"Shreveport-Bossier City","LA MSA",82,82,0,0,0,1,2000
"Sioux City","IA-NE MSA",12,12,0,0,0,1,2000
"Sioux Falls","SD MSA",144,92,0,0,52,1,2000
"South Bend","IN MSA",128,68,6,0,54,1,2000
"Spokane","WA MSA",62,34,2,0,26,1,2000
"Springfield","IL MSA",36,34,2,0,0,1,2000
"Springfield","MO MSA",94,88,6,0,0,1,2000
"Springfield","MA MSA",38,38,0,0,0,1,2000
"State College","PA MSA",24,17,0,0,7,1,2000
"Steubenville-Weirton","OH-WV MSA",3,3,0,0,0,1,2000
"Stockton-Lodi","CA MSA",413,413,0,0,0,1,2000
"Sumter","SC MSA",33,24,4,0,5,1,2000
"Syracuse","NY MSA",44,42,2,0,0,1,2000
"Tallahassee","FL MSA",115,111,4,0,0,1,2000
"Tampa-St. Petersburg- Clearwater","FL MSA",1394,1006,24,12,352,1,2000
"Terre Haute","IN MSA",12,12,0,0,0,1,2000
"Texarkana  TX-Texarkana "," AR MSA",19,19,0,0,0,1,2000
"Toledo","OH MSA",114,86,4,8,16,1,2000
"Topeka","KS MSA",61,47,14,0,0,1,2000
"Tucson","AZ MSA",466,449,0,12,5,1,2000
"Tulsa","OK MSA",221,217,0,4,0,1,2000
"Tuscaloosa","AL MSA",60,52,8,0,0,1,2000
"Tyler","TX MSA",28,23,0,0,5,1,2000
"Utica-Rome","NY MSA",1,1,0,0,0,1,2000
"Victoria","TX MSA",15,15,0,0,0,1,2000
"Visalia-Tulare-Porterville","CA MSA",117,117,0,0,0,1,2000
"Waco","TX MSA",59,35,0,0,24,1,2000
"Washington-Baltimore","DC-MD- VA-WV CMSA",3577,2700,4,0,873,1,2000
"Waterloo-Cedar Falls","IA MSA",8,8,0,0,0,1,2000
"Wausau","WI MSA",15,15,0,0,0,1,2000
"West Palm Beach-Boca Raton","Raton FL MSA",698,557,8,8,125,1,2000
"Wheeling","WV-OH MSA",2,2,0,0,0,1,2000
"Wichita","KS MSA",164,156,8,0,0,1,2000
"Wichita Falls","TX MSA",11,11,0,0,0,1,2000
"Wilmington","NC MSA",392,184,0,3,205,1,2000
"Yakima","WA MSA",28,11,4,4,9,1,2000
"York","PA MSA",76,64,8,4,0,1,2000
"Youngstown-Warren","OH MSA",55,45,2,0,8,1,2000
"Yuba City","CA MSA",18,18,0,0,0,1,2000
"Yuma","AZ MSA",75,75,0,0,0,1,2000
"Abilene","TX MSA",16,16,0,0,0,2,2000
"Albany","GA MSA",47,47,0,0,0,2,2000
"Albany-Schenectady-Troy","NY MSA",87,82,0,0,5,2,2000
"Albuquerque","NM MSA",427,407,0,0,20,2,2000
"Alexandria","LA MSA",33,33,0,0,0,2,2000
"Allentown-Bethlehem-Easton","PA MSA",119,116,0,3,0,2,2000
"Altoona","PA MSA",3,3,0,0,0,2,2000
"Amarillo","TX MSA",39,39,0,0,0,2,2000
"Anchorage","AK MSA",35,31,4,0,0,2,2000
"Anniston","AL MSA",19,13,0,0,6,2,2000
"Appleton-Oshkosh-Neenah","WI MSA",129,101,8,0,20,2,2000
"Asheville","NC MSA",94,80,8,0,6,2,2000
"Athens","GA MSA",159,101,16,4,38,2,2000
"Atlanta","GA MSA",4927,3852,14,76,985,2,2000
"Augusta-Aiken","GA-SC MSA",221,212,0,3,6,2,2000
"Austin-San Marcos","TX MSA",1182,828,4,0,350,2,2000
"Bakersfield","CA MSA",195,163,0,11,21,2,2000
"Bangor","ME MSA",10,10,0,0,0,2,2000
"Barnstable-Yarmouth","MA MSA",94,89,2,3,0,2,2000
"Baton Rouge","LA MSA",161,124,2,3,32,2,2000
"Beaumont-Port Arthur","TX MSA",52,52,0,0,0,2,2000
"Bellingham","WA MSA",76,67,4,0,5,2,2000
"Benton Harbor","MI MSA",5,5,0,0,0,2,2000
"Billings","MT MSA",32,32,0,0,0,2,2000
"Biloxi-Gulfport-Pascagoula","MS MSA",193,188,2,3,0,2,2000
"Binghamton","NY MSA",3,3,0,0,0,2,2000
"Birmingham","AL MSA",365,365,0,0,0,2,2000
"Bismarck","ND MSA",7,7,0,0,0,2,2000
"Bloomington","IN MSA",36,30,0,0,6,2,2000
"Bloomington-Normal","IL MSA",105,43,0,0,62,2,2000
"Boise City","ID MSA",396,386,10,0,0,2,2000
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1023,921,34,25,43,2,2000
"Brownsville-Harlingen-San Benito","TX MSA",182,147,6,12,17,2,2000
"Bryan-College Station","TX MSA",79,79,0,0,0,2,2000
"Buffalo-Niagara Falls","NY MSA",116,94,0,0,22,2,2000
"Burlington","VT MSA",44,37,2,0,5,2,2000
"Canton-Massillon","OH MSA",85,67,6,7,5,2,2000
"Casper","WY MSA",4,4,0,0,0,2,2000
"Cedar Rapids","IA MSA",45,29,8,8,0,2,2000
"Champaign-Urbana","IL MSA",67,26,0,0,41,2,2000
"Charleston-North Charleston","SC MSA",360,244,70,0,46,2,2000
"Charleston","WV MSA",23,18,0,0,5,2,2000
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1821,1053,2,32,734,2,2000
"Charlottesville","VA MSA",92,86,6,0,0,2,2000
"Chattanooga","TN-GA MSA",182,177,0,0,5,2,2000
"Cheyenne","WY MSA",35,25,2,0,8,2,2000
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",2919,2007,12,164,736,2,2000
"Chico-Paradise","CA MSA",42,42,0,0,0,2,2000
"Cincinnati-Hamilton","OH-KY- IN CMSA",823,684,18,23,98,2,2000
"Clarksville-Hopkinsville","TN-KY MSA",145,129,0,0,16,2,2000
"Cleveland-Akron","OH CMSA",700,585,16,17,82,2,2000
"Colorado Springs","CO MSA",572,320,0,12,240,2,2000
"Columbia","MO MSA",88,78,0,0,10,2,2000
"Columbia","SC MSA",340,332,0,0,8,2,2000
"Columbus","GA-AL MSA",90,81,0,3,6,2,2000
"Columbus","OH MSA",991,666,8,62,255,2,2000
"Corpus Christi","TX MSA",102,78,2,3,19,2,2000
"Cumberland","MD-WV MSA",10,10,0,0,0,2,2000
